,"bioguide","first","first_last","icpsr","last","opensecrets","term_count","term_end","term_start","type","cycle"
966,"K000375","William","William R. Keating",21140,"Keating","N00031933",4,"2019-01-03","2017-01-03","rep",2016
967,"K000375","William","William R. Keating",21140,"Keating","N00031933",5,"2021-01-03","2019-01-03","rep",2018
968,"K000376","Mike","Mike Kelly",21167,"Kelly","N00031647",1,"2013-01-03","2011-01-05","rep",2010
969,"K000376","Mike","Mike Kelly",21167,"Kelly","N00031647",2,"2015-01-03","2013-01-03","rep",2012
970,"K000376","Mike","Mike Kelly",21167,"Kelly","N00031647",3,"2017-01-03","2015-01-06","rep",2014
971,"K000376","Mike","Mike Kelly",21167,"Kelly","N00031647",4,"2019-01-03","2017-01-03","rep",2016
972,"K000376","Mike","Mike Kelly",21167,"Kelly","N00031647",5,"2021-01-03","2019-01-03","rep",2018
980,"K000188","Ron","Ron Kind",29769,"Kind","N00004403",8,"2013-01-03","2011-01-05","rep",2010
981,"K000188","Ron","Ron Kind",29769,"Kind","N00004403",9,"2015-01-03","2013-01-03","rep",2012
982,"K000188","Ron","Ron Kind",29769,"Kind","N00004403",10,"2017-01-03","2015-01-06","rep",2014
983,"K000188","Ron","Ron Kind",29769,"Kind","N00004403",11,"2019-01-03","2017-01-03","rep",2016
984,"K000188","Ron","Ron Kind",29769,"Kind","N00004403",12,"2021-01-03","2019-01-03","rep",2018
994,"K000210","Peter","Peter T. King",29375,"King","N00001193",10,"2013-01-03","2011-01-05","rep",2010
995,"K000210","Peter","Peter T. King",29375,"King","N00001193",11,"2015-01-03","2013-01-03","rep",2012
996,"K000210","Peter","Peter T. King",29375,"King","N00001193",12,"2017-01-03","2015-01-06","rep",2014
997,"K000210","Peter","Peter T. King",29375,"King","N00001193",13,"2019-01-03","2017-01-03","rep",2016
998,"K000210","Peter","Peter T. King",29375,"King","N00001193",14,"2021-01-03","2019-01-03","rep",2018
1003,"K000362","Steve","Steve King",20325,"King","N00025237",5,"2013-01-03","2011-01-05","rep",2010
1004,"K000362","Steve","Steve King",20325,"King","N00025237",6,"2015-01-03","2013-01-03","rep",2012
1005,"K000362","Steve","Steve King",20325,"King","N00025237",7,"2017-01-03","2015-01-06","rep",2014
1006,"K000362","Steve","Steve King",20325,"King","N00025237",8,"2019-01-03","2017-01-03","rep",2016
1007,"K000362","Steve","Steve King",20325,"King","N00025237",9,"2021-01-03","2019-01-03","rep",2018
1008,"K000378","Adam","Adam Kinzinger",21128,"Kinzinger","N00030667",1,"2013-01-03","2011-01-05","rep",2010
1009,"K000378","Adam","Adam Kinzinger",21128,"Kinzinger","N00030667",2,"2015-01-03","2013-01-03","rep",2012
1010,"K000378","Adam","Adam Kinzinger",21128,"Kinzinger","N00030667",3,"2017-01-03","2015-01-06","rep",2014
1011,"K000378","Adam","Adam Kinzinger",21128,"Kinzinger","N00030667",4,"2019-01-03","2017-01-03","rep",2016
1012,"K000378","Adam","Adam Kinzinger",21128,"Kinzinger","N00030667",5,"2021-01-03","2019-01-03","rep",2018
1015,"L000564","Doug","Doug Lamborn",20704,"Lamborn","N00028133",3,"2013-01-03","2011-01-05","rep",2010
1016,"L000564","Doug","Doug Lamborn",20704,"Lamborn","N00028133",4,"2015-01-03","2013-01-03","rep",2012
1017,"L000564","Doug","Doug Lamborn",20704,"Lamborn","N00028133",5,"2017-01-03","2015-01-06","rep",2014
1018,"L000564","Doug","Doug Lamborn",20704,"Lamborn","N00028133",6,"2019-01-03","2017-01-03","rep",2016
1019,"L000564","Doug","Doug Lamborn",20704,"Lamborn","N00028133",7,"2021-01-03","2019-01-03","rep",2018
1025,"L000559","James","James R. Langevin",20136,"Langevin","N00009724",6,"2013-01-03","2011-01-05","rep",2010
1026,"L000559","James","James R. Langevin",20136,"Langevin","N00009724",7,"2015-01-03","2013-01-03","rep",2012
1027,"L000559","James","James R. Langevin",20136,"Langevin","N00009724",8,"2017-01-03","2015-01-06","rep",2014
1028,"L000559","James","James R. Langevin",20136,"Langevin","N00009724",9,"2019-01-03","2017-01-03","rep",2016
1029,"L000559","James","James R. Langevin",20136,"Langevin","N00009724",10,"2021-01-03","2019-01-03","rep",2018
1030,"L000575","James","James Lankford",21166,"Lankford","N00031129",1,"2013-01-03","2011-01-05","rep",2010
1031,"L000575","James","James Lankford",21166,"Lankford","N00031129",2,"2015-01-03","2013-01-03","rep",2012
1032,"L000575","James","James Lankford",21166,"Lankford","N00031129",3,"2017-01-03","2015-01-06","sen",2014
1033,"L000575","James","James Lankford",21166,"Lankford","N00031129",4,"2023-01-03","2017-01-03","sen",2016
1039,"L000560","Rick","Rick Larsen",20145,"Larsen","N00009759",6,"2013-01-03","2011-01-05","rep",2010
1040,"L000560","Rick","Rick Larsen",20145,"Larsen","N00009759",7,"2015-01-03","2013-01-03","rep",2012
1041,"L000560","Rick","Rick Larsen",20145,"Larsen","N00009759",8,"2017-01-03","2015-01-06","rep",2014
1042,"L000560","Rick","Rick Larsen",20145,"Larsen","N00009759",9,"2019-01-03","2017-01-03","rep",2016
1043,"L000560","Rick","Rick Larsen",20145,"Larsen","N00009759",10,"2021-01-03","2019-01-03","rep",2018
1050,"L000557","John","John B. Larson",29908,"Larson","N00000575",7,"2013-01-03","2011-01-05","rep",2010
1051,"L000557","John","John B. Larson",29908,"Larson","N00000575",8,"2015-01-03","2013-01-03","rep",2012
1052,"L000557","John","John B. Larson",29908,"Larson","N00000575",9,"2017-01-03","2015-01-06","rep",2014
1053,"L000557","John","John B. Larson",29908,"Larson","N00000575",10,"2019-01-03","2017-01-03","rep",2016
1054,"L000557","John","John B. Larson",29908,"Larson","N00000575",11,"2021-01-03","2019-01-03","rep",2018
1057,"L000566","Robert","Robert E. Latta",20755,"Latta","N00012233",3,"2013-01-03","2011-01-05","rep",2010
1058,"L000566","Robert","Robert E. Latta",20755,"Latta","N00012233",4,"2015-01-03","2013-01-03","rep",2012
1059,"L000566","Robert","Robert E. Latta",20755,"Latta","N00012233",5,"2017-01-03","2015-01-06","rep",2014
1060,"L000566","Robert","Robert E. Latta",20755,"Latta","N00012233",6,"2019-01-03","2017-01-03","rep",2016
1061,"L000566","Robert","Robert E. Latta",20755,"Latta","N00012233",7,"2021-01-03","2019-01-03","rep",2018
1068,"L000174","Patrick","Patrick J. Leahy",14307,"Leahy","N00009918",7,"2017-01-03","2011-01-05","sen",2010
1069,"L000174","Patrick","Patrick J. Leahy",14307,"Leahy","N00009918",8,"2023-01-03","2017-01-03","sen",2016
1077,"L000551","Barbara","Barbara Lee",29778,"Lee","N00008046",8,"2013-01-03","2011-01-05","rep",2010
1078,"L000551","Barbara","Barbara Lee",29778,"Lee","N00008046",9,"2015-01-03","2013-01-03","rep",2012
1079,"L000551","Barbara","Barbara Lee",29778,"Lee","N00008046",10,"2017-01-03","2015-01-06","rep",2014
1080,"L000551","Barbara","Barbara Lee",29778,"Lee","N00008046",11,"2019-01-03","2017-01-03","rep",2016
1081,"L000551","Barbara","Barbara Lee",29778,"Lee","N00008046",12,"2021-01-03","2019-01-03","rep",2018
1082,"L000577","Mike","Mike Lee",41110,"Lee","N00031696",1,"2017-01-03","2011-01-05","sen",2010
1083,"L000577","Mike","Mike Lee",41110,"Lee","N00031696",2,"2023-01-03","2017-01-03","sen",2016
1096,"L000287","John","John Lewis",15431,"Lewis","N00002577",13,"2013-01-03","2011-01-05","rep",2010
1097,"L000287","John","John Lewis",15431,"Lewis","N00002577",14,"2015-01-03","2013-01-03","rep",2012
1098,"L000287","John","John Lewis",15431,"Lewis","N00002577",15,"2017-01-03","2015-01-06","rep",2014
1099,"L000287","John","John Lewis",15431,"Lewis","N00002577",16,"2019-01-03","2017-01-03","rep",2016
1100,"L000287","John","John Lewis",15431,"Lewis","N00002577",17,"2021-01-03","2019-01-03","rep",2018
1104,"L000563","Daniel","Daniel Lipinski",20508,"Lipinski","N00027239",4,"2013-01-03","2011-01-05","rep",2010
1105,"L000563","Daniel","Daniel Lipinski",20508,"Lipinski","N00027239",5,"2015-01-03","2013-01-03","rep",2012
1106,"L000563","Daniel","Daniel Lipinski",20508,"Lipinski","N00027239",6,"2017-01-03","2015-01-06","rep",2014
1107,"L000563","Daniel","Daniel Lipinski",20508,"Lipinski","N00027239",7,"2019-01-03","2017-01-03","rep",2016
1108,"L000563","Daniel","Daniel Lipinski",20508,"Lipinski","N00027239",8,"2021-01-03","2019-01-03","rep",2018
1111,"L000565","David","David Loebsack",20720,"Loebsack","N00027741",3,"2013-01-03","2011-01-05","rep",2010
1112,"L000565","David","David Loebsack",20720,"Loebsack","N00027741",4,"2015-01-03","2013-01-03","rep",2012
1113,"L000565","David","David Loebsack",20720,"Loebsack","N00027741",5,"2017-01-03","2015-01-06","rep",2014
1114,"L000565","David","David Loebsack",20720,"Loebsack","N00027741",6,"2019-01-03","2017-01-03","rep",2016
1115,"L000565","David","David Loebsack",20720,"Loebsack","N00027741",7,"2021-01-03","2019-01-03","rep",2018
1124,"L000397","Zoe","Zoe Lofgren",29504,"Lofgren","N00007479",9,"2013-01-03","2011-01-05","rep",2010
1125,"L000397","Zoe","Zoe Lofgren",29504,"Lofgren","N00007479",10,"2015-01-03","2013-01-03","rep",2012
1126,"L000397","Zoe","Zoe Lofgren",29504,"Lofgren","N00007479",11,"2017-01-03","2015-01-06","rep",2014
1127,"L000397","Zoe","Zoe Lofgren",29504,"Lofgren","N00007479",12,"2019-01-03","2017-01-03","rep",2016
1128,"L000397","Zoe","Zoe Lofgren",29504,"Lofgren","N00007479",13,"2021-01-03","2019-01-03","rep",2018
1129,"L000576","Billy","Billy Long",21150,"Long","N00030676",1,"2013-01-03","2011-01-05","rep",2010
1130,"L000576","Billy","Billy Long",21150,"Long","N00030676",2,"2015-01-03","2013-01-03","rep",2012
1131,"L000576","Billy","Billy Long",21150,"Long","N00030676",3,"2017-01-03","2015-01-06","rep",2014
1132,"L000576","Billy","Billy Long",21150,"Long","N00030676",4,"2019-01-03","2017-01-03","rep",2016
1133,"L000576","Billy","Billy Long",21150,"Long","N00030676",5,"2021-01-03","2019-01-03","rep",2018
1145,"L000480","Nita","Nita M. Lowey",15612,"Lowey","N00001024",12,"2013-01-03","2011-01-05","rep",2010
1146,"L000480","Nita","Nita M. Lowey",15612,"Lowey","N00001024",13,"2015-01-03","2013-01-03","rep",2012
1147,"L000480","Nita","Nita M. Lowey",15612,"Lowey","N00001024",14,"2017-01-03","2015-01-06","rep",2014
1148,"L000480","Nita","Nita M. Lowey",15612,"Lowey","N00001024",15,"2019-01-03","2017-01-03","rep",2016
1149,"L000480","Nita","Nita M. Lowey",15612,"Lowey","N00001024",16,"2021-01-03","2019-01-03","rep",2018
1159,"L000491","Frank","Frank D. Lucas",29393,"Lucas","N00005559",10,"2013-01-03","2011-01-05","rep",2010
1160,"L000491","Frank","Frank D. Lucas",29393,"Lucas","N00005559",11,"2015-01-03","2013-01-03","rep",2012
1161,"L000491","Frank","Frank D. Lucas",29393,"Lucas","N00005559",12,"2017-01-03","2015-01-06","rep",2014
1162,"L000491","Frank","Frank D. Lucas",29393,"Lucas","N00005559",13,"2019-01-03","2017-01-03","rep",2016
1163,"L000491","Frank","Frank D. Lucas",29393,"Lucas","N00005559",14,"2021-01-03","2019-01-03","rep",2018
1165,"L000569","Blaine","Blaine Luetkemeyer",20926,"Luetkemeyer","N00030026",2,"2013-01-03","2011-01-05","rep",2010
1166,"L000569","Blaine","Blaine Luetkemeyer",20926,"Luetkemeyer","N00030026",3,"2015-01-03","2013-01-03","rep",2012
1167,"L000569","Blaine","Blaine Luetkemeyer",20926,"Luetkemeyer","N00030026",4,"2017-01-03","2015-01-06","rep",2014
1168,"L000569","Blaine","Blaine Luetkemeyer",20926,"Luetkemeyer","N00030026",5,"2019-01-03","2017-01-03","rep",2016
1169,"L000569","Blaine","Blaine Luetkemeyer",20926,"Luetkemeyer","N00030026",6,"2021-01-03","2019-01-03","rep",2018
1171,"L000570","Ben","Ben Ray Luján",20932,"Luján","N00029562",2,"2013-01-03","2011-01-05","rep",2010
1172,"L000570","Ben","Ben Ray Luján",20932,"Luján","N00029562",3,"2015-01-03","2013-01-03","rep",2012
1173,"L000570","Ben","Ben Ray Luján",20932,"Luján","N00029562",4,"2017-01-03","2015-01-06","rep",2014
1174,"L000570","Ben","Ben Ray Luján",20932,"Luján","N00029562",5,"2019-01-03","2017-01-03","rep",2016
1175,"L000570","Ben","Ben Ray Luján",20932,"Luján","N00029562",6,"2021-01-03","2019-01-03","rep",2018
1181,"L000562","Stephen","Stephen F. Lynch",20119,"Lynch","N00013855",6,"2013-01-03","2011-01-05","rep",2010
1182,"L000562","Stephen","Stephen F. Lynch",20119,"Lynch","N00013855",7,"2015-01-03","2013-01-03","rep",2012
1183,"L000562","Stephen","Stephen F. Lynch",20119,"Lynch","N00013855",8,"2017-01-03","2015-01-06","rep",2014
1184,"L000562","Stephen","Stephen F. Lynch",20119,"Lynch","N00013855",9,"2019-01-03","2017-01-03","rep",2016
1185,"L000562","Stephen","Stephen F. Lynch",20119,"Lynch","N00013855",10,"2021-01-03","2019-01-03","rep",2018
1195,"M000087","Carolyn","Carolyn B. Maloney",29379,"Maloney","N00000078",10,"2013-01-03","2011-01-05","rep",2010
1196,"M000087","Carolyn","Carolyn B. Maloney",29379,"Maloney","N00000078",11,"2015-01-03","2013-01-03","rep",2012
1197,"M000087","Carolyn","Carolyn B. Maloney",29379,"Maloney","N00000078",12,"2017-01-03","2015-01-06","rep",2014
1198,"M000087","Carolyn","Carolyn B. Maloney",29379,"Maloney","N00000078",13,"2019-01-03","2017-01-03","rep",2016
1199,"M000087","Carolyn","Carolyn B. Maloney",29379,"Maloney","N00000078",14,"2021-01-03","2019-01-03","rep",2018
1203,"M001158","Kenny","Kenny Marchant",20532,"Marchant","N00026710",4,"2013-01-03","2011-01-05","rep",2010
1204,"M001158","Kenny","Kenny Marchant",20532,"Marchant","N00026710",5,"2015-01-03","2013-01-03","rep",2012
1205,"M001158","Kenny","Kenny Marchant",20532,"Marchant","N00026710",6,"2017-01-03","2015-01-06","rep",2014
1206,"M001158","Kenny","Kenny Marchant",20532,"Marchant","N00026710",7,"2019-01-03","2017-01-03","rep",2016
1207,"M001158","Kenny","Kenny Marchant",20532,"Marchant","N00026710",8,"2021-01-03","2019-01-03","rep",2018
1226,"M000133","Edward","Edward J. Markey",14435,"Markey","N00000270",19,"2013-01-03","2011-01-05","rep",2010
1227,"M000133","Edward","Edward J. Markey",14435,"Markey","N00000270",20,"2013-07-15","2013-01-03","rep",2012
1228,"M000133","Edward","Edward J. Markey",14435,"Markey","N00000270",21,"2015-01-03","2013-07-16","sen",2012
1229,"M000133","Edward","Edward J. Markey",14435,"Markey","N00000270",22,"2021-01-03","2015-01-06","sen",2014
1233,"M001163","Doris","Doris O. Matsui",20538,"Matsui","N00027459",4,"2013-01-03","2011-01-05","rep",2010
1234,"M001163","Doris","Doris O. Matsui",20538,"Matsui","N00027459",5,"2015-01-03","2013-01-03","rep",2012
1235,"M001163","Doris","Doris O. Matsui",20538,"Matsui","N00027459",6,"2017-01-03","2015-01-06","rep",2014
1236,"M001163","Doris","Doris O. Matsui",20538,"Matsui","N00027459",7,"2019-01-03","2017-01-03","rep",2016
1237,"M001163","Doris","Doris O. Matsui",20538,"Matsui","N00027459",8,"2021-01-03","2019-01-03","rep",2018
1240,"M001165","Kevin","Kevin McCarthy",20703,"McCarthy","N00028152",3,"2013-01-03","2011-01-05","rep",2010
1241,"M001165","Kevin","Kevin McCarthy",20703,"McCarthy","N00028152",4,"2015-01-03","2013-01-03","rep",2012
1242,"M001165","Kevin","Kevin McCarthy",20703,"McCarthy","N00028152",5,"2017-01-03","2015-01-06","rep",2014
1243,"M001165","Kevin","Kevin McCarthy",20703,"McCarthy","N00028152",6,"2019-01-03","2017-01-03","rep",2016
1244,"M001165","Kevin","Kevin McCarthy",20703,"McCarthy","N00028152",7,"2021-01-03","2019-01-03","rep",2018
1248,"M001157","Michael","Michael T. McCaul",20530,"McCaul","N00026460",4,"2013-01-03","2011-01-05","rep",2010
1249,"M001157","Michael","Michael T. McCaul",20530,"McCaul","N00026460",5,"2015-01-03","2013-01-03","rep",2012
1250,"M001157","Michael","Michael T. McCaul",20530,"McCaul","N00026460",6,"2017-01-03","2015-01-06","rep",2014
1251,"M001157","Michael","Michael T. McCaul",20530,"McCaul","N00026460",7,"2019-01-03","2017-01-03","rep",2016
1252,"M001157","Michael","Michael T. McCaul",20530,"McCaul","N00026460",8,"2021-01-03","2019-01-03","rep",2018
1254,"M001177","Tom","Tom McClintock",20903,"McClintock","N00006863",2,"2013-01-03","2011-01-05","rep",2010
1255,"M001177","Tom","Tom McClintock",20903,"McClintock","N00006863",3,"2015-01-03","2013-01-03","rep",2012
1256,"M001177","Tom","Tom McClintock",20903,"McClintock","N00006863",4,"2017-01-03","2015-01-06","rep",2014
1257,"M001177","Tom","Tom McClintock",20903,"McClintock","N00006863",5,"2019-01-03","2017-01-03","rep",2016
1258,"M001177","Tom","Tom McClintock",20903,"McClintock","N00006863",6,"2021-01-03","2019-01-03","rep",2018
1264,"M001143","Betty","Betty McCollum",20122,"McCollum","N00012942",6,"2013-01-03","2011-01-05","rep",2010
1265,"M001143","Betty","Betty McCollum",20122,"McCollum","N00012942",7,"2015-01-03","2013-01-03","rep",2012
1266,"M001143","Betty","Betty McCollum",20122,"McCollum","N00012942",8,"2017-01-03","2015-01-06","rep",2014
1267,"M001143","Betty","Betty McCollum",20122,"McCollum","N00012942",9,"2019-01-03","2017-01-03","rep",2016
1268,"M001143","Betty","Betty McCollum",20122,"McCollum","N00012942",10,"2021-01-03","2019-01-03","rep",2018
1276,"M000312","James","James P. McGovern",29729,"McGovern","N00000179",8,"2013-01-03","2011-01-05","rep",2010
1277,"M000312","James","James P. McGovern",29729,"McGovern","N00000179",9,"2015-01-03","2013-01-03","rep",2012
1278,"M000312","James","James P. McGovern",29729,"McGovern","N00000179",10,"2017-01-03","2015-01-06","rep",2014
1279,"M000312","James","James P. McGovern",29729,"McGovern","N00000179",11,"2019-01-03","2017-01-03","rep",2016
1280,"M000312","James","James P. McGovern",29729,"McGovern","N00000179",12,"2021-01-03","2019-01-03","rep",2018
1284,"M001156","Patrick","Patrick T. McHenry",20522,"McHenry","N00026627",4,"2013-01-03","2011-01-05","rep",2010
1285,"M001156","Patrick","Patrick T. McHenry",20522,"McHenry","N00026627",5,"2015-01-03","2013-01-03","rep",2012
1286,"M001156","Patrick","Patrick T. McHenry",20522,"McHenry","N00026627",6,"2017-01-03","2015-01-06","rep",2014
1287,"M001156","Patrick","Patrick T. McHenry",20522,"McHenry","N00026627",7,"2019-01-03","2017-01-03","rep",2016
1288,"M001156","Patrick","Patrick T. McHenry",20522,"McHenry","N00026627",8,"2021-01-03","2019-01-03","rep",2018
1289,"M001180","David","David B. McKinley",21188,"McKinley","N00031681",1,"2013-01-03","2011-01-05","rep",2010
1290,"M001180","David","David B. McKinley",21188,"McKinley","N00031681",2,"2015-01-03","2013-01-03","rep",2012
1291,"M001180","David","David B. McKinley",21188,"McKinley","N00031681",3,"2017-01-03","2015-01-06","rep",2014
1292,"M001180","David","David B. McKinley",21188,"McKinley","N00031681",4,"2019-01-03","2017-01-03","rep",2016
1293,"M001180","David","David B. McKinley",21188,"McKinley","N00031681",5,"2021-01-03","2019-01-03","rep",2018
1297,"M001159","Cathy","Cathy McMorris Rodgers",20535,"McMorris Rodgers","N00026314",4,"2013-01-03","2011-01-05","rep",2010
1298,"M001159","Cathy","Cathy McMorris Rodgers",20535,"McMorris Rodgers","N00026314",5,"2015-01-03","2013-01-03","rep",2012
1299,"M001159","Cathy","Cathy McMorris Rodgers",20535,"McMorris Rodgers","N00026314",6,"2017-01-03","2015-01-06","rep",2014
1300,"M001159","Cathy","Cathy McMorris Rodgers",20535,"McMorris Rodgers","N00026314",7,"2019-01-03","2017-01-03","rep",2016
1301,"M001159","Cathy","Cathy McMorris Rodgers",20535,"McMorris Rodgers","N00026314",8,"2021-01-03","2019-01-03","rep",2018
1304,"M001166","Jerry","Jerry McNerney",20702,"McNerney","N00026926",3,"2013-01-03","2011-01-05","rep",2010
1305,"M001166","Jerry","Jerry McNerney",20702,"McNerney","N00026926",4,"2015-01-03","2013-01-03","rep",2012
1306,"M001166","Jerry","Jerry McNerney",20702,"McNerney","N00026926",5,"2017-01-03","2015-01-06","rep",2014
1307,"M001166","Jerry","Jerry McNerney",20702,"McNerney","N00026926",6,"2019-01-03","2017-01-03","rep",2016
1308,"M001166","Jerry","Jerry McNerney",20702,"McNerney","N00026926",7,"2021-01-03","2019-01-03","rep",2018
1316,"M001137","Gregory","Gregory W. Meeks",29776,"Meeks","N00001171",8,"2013-01-03","2011-01-05","rep",2010
1317,"M001137","Gregory","Gregory W. Meeks",29776,"Meeks","N00001171",9,"2015-01-03","2013-01-03","rep",2012
1318,"M001137","Gregory","Gregory W. Meeks",29776,"Meeks","N00001171",10,"2017-01-03","2015-01-06","rep",2014
1319,"M001137","Gregory","Gregory W. Meeks",29776,"Meeks","N00001171",11,"2019-01-03","2017-01-03","rep",2016
1320,"M001137","Gregory","Gregory W. Meeks",29776,"Meeks","N00001171",12,"2021-01-03","2019-01-03","rep",2018
1324,"M001160","Gwen","Gwen Moore",20537,"Moore","N00026914",4,"2013-01-03","2011-01-05","rep",2010
1325,"M001160","Gwen","Gwen Moore",20537,"Moore","N00026914",5,"2015-01-03","2013-01-03","rep",2012
1326,"M001160","Gwen","Gwen Moore",20537,"Moore","N00026914",6,"2017-01-03","2015-01-06","rep",2014
1327,"M001160","Gwen","Gwen Moore",20537,"Moore","N00026914",7,"2019-01-03","2017-01-03","rep",2016
1328,"M001160","Gwen","Gwen Moore",20537,"Moore","N00026914",8,"2021-01-03","2019-01-03","rep",2018
1336,"M000934","Jerry","Jerry Moran",29722,"Moran","N00005282",8,"2017-01-03","2011-01-05","sen",2010
1337,"M000934","Jerry","Jerry Moran",29722,"Moran","N00005282",9,"2023-01-03","2017-01-03","sen",2016
1340,"M001153","Lisa","Lisa Murkowski",40300,"Murkowski","N00026050",3,"2017-01-03","2011-01-05","sen",2010
1341,"M001153","Lisa","Lisa Murkowski",40300,"Murkowski","N00026050",4,"2023-01-03","2017-01-03","sen",2016
1344,"M001169","Christopher","Christopher Murphy",20707,"Murphy","N00027566",3,"2013-01-03","2011-01-05","rep",2010
1345,"M001169","Christopher","Christopher Murphy",20707,"Murphy","N00027566",4,"2019-01-03","2013-01-03","sen",2012
1346,"M001169","Christopher","Christopher Murphy",20707,"Murphy","N00027566",5,"2025-01-03","2019-01-03","sen",2018
1350,"M001111","Patty","Patty Murray",49308,"Murray","N00007876",4,"2017-01-03","2011-01-05","sen",2010
1351,"M001111","Patty","Patty Murray",49308,"Murray","N00007876",5,"2023-01-03","2017-01-03","sen",2016
1362,"N000002","Jerrold","Jerrold Nadler",29377,"Nadler","N00000939",11,"2013-01-03","2011-01-05","rep",2010
1363,"N000002","Jerrold","Jerrold Nadler",29377,"Nadler","N00000939",12,"2015-01-03","2013-01-03","rep",2012
1364,"N000002","Jerrold","Jerrold Nadler",29377,"Nadler","N00000939",13,"2017-01-03","2015-01-06","rep",2014
1365,"N000002","Jerrold","Jerrold Nadler",29377,"Nadler","N00000939",14,"2019-01-03","2017-01-03","rep",2016
1366,"N000002","Jerrold","Jerrold Nadler",29377,"Nadler","N00000939",15,"2021-01-03","2019-01-03","rep",2018
1373,"N000179","Grace","Grace F. Napolitano",29903,"Napolitano","N00006789",7,"2013-01-03","2011-01-05","rep",2010
1374,"N000179","Grace","Grace F. Napolitano",29903,"Napolitano","N00006789",8,"2015-01-03","2013-01-03","rep",2012
1375,"N000179","Grace","Grace F. Napolitano",29903,"Napolitano","N00006789",9,"2017-01-03","2015-01-06","rep",2014
1376,"N000179","Grace","Grace F. Napolitano",29903,"Napolitano","N00006789",10,"2019-01-03","2017-01-03","rep",2016
1377,"N000179","Grace","Grace F. Napolitano",29903,"Napolitano","N00006789",11,"2021-01-03","2019-01-03","rep",2018
1389,"N000015","Richard","Richard E. Neal",15616,"Neal","N00000153",12,"2013-01-03","2011-01-05","rep",2010
1390,"N000015","Richard","Richard E. Neal",15616,"Neal","N00000153",13,"2015-01-03","2013-01-03","rep",2012
1391,"N000015","Richard","Richard E. Neal",15616,"Neal","N00000153",14,"2017-01-03","2015-01-06","rep",2014
1392,"N000015","Richard","Richard E. Neal",15616,"Neal","N00000153",15,"2019-01-03","2017-01-03","rep",2016
1393,"N000015","Richard","Richard E. Neal",15616,"Neal","N00000153",16,"2021-01-03","2019-01-03","rep",2018
1404,"N000147","Eleanor","Eleanor Holmes Norton",,"Norton","N00001692",11,"2013-01-03","2011-01-05","rep",2010
1405,"N000147","Eleanor","Eleanor Holmes Norton",,"Norton","N00001692",12,"2015-01-03","2013-01-03","rep",2012
1406,"N000147","Eleanor","Eleanor Holmes Norton",,"Norton","N00001692",13,"2017-01-03","2015-01-06","rep",2014
1407,"N000147","Eleanor","Eleanor Holmes Norton",,"Norton","N00001692",14,"2019-01-03","2017-01-03","rep",2016
1408,"N000147","Eleanor","Eleanor Holmes Norton",,"Norton","N00001692",15,"2021-01-03","2019-01-03","rep",2018
1413,"N000181","Devin","Devin Nunes",20307,"Nunes","N00007248",5,"2013-01-03","2011-01-05","rep",2010
1414,"N000181","Devin","Devin Nunes",20307,"Nunes","N00007248",6,"2015-01-03","2013-01-03","rep",2012
1415,"N000181","Devin","Devin Nunes",20307,"Nunes","N00007248",7,"2017-01-03","2015-01-06","rep",2014
1416,"N000181","Devin","Devin Nunes",20307,"Nunes","N00007248",8,"2019-01-03","2017-01-03","rep",2016
1417,"N000181","Devin","Devin Nunes",20307,"Nunes","N00007248",9,"2021-01-03","2019-01-03","rep",2018
1419,"O000168","Pete","Pete Olson",20948,"Olson","N00029285",2,"2013-01-03","2011-01-05","rep",2010
1420,"O000168","Pete","Pete Olson",20948,"Olson","N00029285",3,"2015-01-03","2013-01-03","rep",2012
1421,"O000168","Pete","Pete Olson",20948,"Olson","N00029285",4,"2017-01-03","2015-01-06","rep",2014
1422,"O000168","Pete","Pete Olson",20948,"Olson","N00029285",5,"2019-01-03","2017-01-03","rep",2016
1423,"O000168","Pete","Pete Olson",20948,"Olson","N00029285",6,"2021-01-03","2019-01-03","rep",2018
1424,"P000601","Steven","Steven M. Palazzo",21148,"Palazzo","N00031958",1,"2013-01-03","2011-01-05","rep",2010
1425,"P000601","Steven","Steven M. Palazzo",21148,"Palazzo","N00031958",2,"2015-01-03","2013-01-03","rep",2012
1426,"P000601","Steven","Steven M. Palazzo",21148,"Palazzo","N00031958",3,"2017-01-03","2015-01-06","rep",2014
1427,"P000601","Steven","Steven M. Palazzo",21148,"Palazzo","N00031958",4,"2019-01-03","2017-01-03","rep",2016
1428,"P000601","Steven","Steven M. Palazzo",21148,"Palazzo","N00031958",5,"2021-01-03","2019-01-03","rep",2018
1441,"P000034","Frank","Frank Pallone, Jr.",15454,"Pallone","N00000781",13,"2013-01-03","2011-01-05","rep",2010
1442,"P000034","Frank","Frank Pallone, Jr.",15454,"Pallone","N00000781",14,"2015-01-03","2013-01-03","rep",2012
1443,"P000034","Frank","Frank Pallone, Jr.",15454,"Pallone","N00000781",15,"2017-01-03","2015-01-06","rep",2014
1444,"P000034","Frank","Frank Pallone, Jr.",15454,"Pallone","N00000781",16,"2019-01-03","2017-01-03","rep",2016
1445,"P000034","Frank","Frank Pallone, Jr.",15454,"Pallone","N00000781",17,"2021-01-03","2019-01-03","rep",2018
1453,"P000096","Bill","Bill Pascrell, Jr.",29741,"Pascrell","N00000751",8,"2013-01-03","2011-01-05","rep",2010
