,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Kenny Marchant (R),N00026710,21500,Votesane PAC,0,21500,2010
1,Kenny Marchant (R),N00026710,11200,Blackstone Group,0,11200,2010
2,Kenny Marchant (R),N00026710,0,Council of Insurance Agents & Brokers,10000,10000,2010
3,Kenny Marchant (R),N00026710,0,Majority Cmte PAC,10000,10000,2010
4,Kenny Marchant (R),N00026710,10000,Southwest Nursery,0,10000,2010
5,Kenny Marchant (R),N00026710,8476,Show Me Institute,0,8476,2010
6,Kenny Marchant (R),N00026710,8100,Western Extrusions,0,8100,2010
7,Kenny Marchant (R),N00026710,7750,Bernard Marcus Family Foundation,0,7750,2010
8,Kenny Marchant (R),N00026710,0,National Apartment Assn,7500,7500,2010
9,Kenny Marchant (R),N00026710,6500,Capitol Counsel,0,6500,2010
0,Kenny Marchant (R),N00026710,28250,Votesane PAC,0,28250,2012
1,Kenny Marchant (R),N00026710,3450,American Airlines,8500,11950,2012
2,Kenny Marchant (R),N00026710,0,Chesapeake Energy,10000,10000,2012
3,Kenny Marchant (R),N00026710,0,Credit Union National Assn,10000,10000,2012
4,Kenny Marchant (R),N00026710,0,Every Republican is Crucial PAC,10000,10000,2012
5,Kenny Marchant (R),N00026710,0,National Assn of Insurance & Financial Advisors,10000,10000,2012
6,Kenny Marchant (R),N00026710,0,National Auto Dealers Assn,10000,10000,2012
7,Kenny Marchant (R),N00026710,0,National Beer Wholesalers Assn,10000,10000,2012
8,Kenny Marchant (R),N00026710,0,New York Life Insurance,10000,10000,2012
9,Kenny Marchant (R),N00026710,0,Texas Farm Bureau,9647,9647,2012
0,Kenny Marchant (R),N00026710,4316,Energy Future Holdings Corp,5999,10315,2014
1,Kenny Marchant (R),N00026710,0,BBVA Compass,10000,10000,2014
2,Kenny Marchant (R),N00026710,0,Chesapeake Energy,10000,10000,2014
3,Kenny Marchant (R),N00026710,0,Council of Insurance Agents & Brokers,10000,10000,2014
4,Kenny Marchant (R),N00026710,0,Credit Union National Assn,10000,10000,2014
5,Kenny Marchant (R),N00026710,0,Farm Credit Council,10000,10000,2014
6,Kenny Marchant (R),N00026710,0,Lockheed Martin,10000,10000,2014
7,Kenny Marchant (R),N00026710,0,National Assn of Realtors,10000,10000,2014
8,Kenny Marchant (R),N00026710,0,National Auto Dealers Assn,10000,10000,2014
9,Kenny Marchant (R),N00026710,0,National Thoroughbred Racing Assn,10000,10000,2014
0,Kenny Marchant (R),N00026710,0,Citigroup Inc,14000,14000,2016
1,Kenny Marchant (R),N00026710,3100,New York Life Insurance,7500,10600,2016
2,Kenny Marchant (R),N00026710,0,Council of Insurance Agents & Brokers,10000,10000,2016
3,Kenny Marchant (R),N00026710,0,Credit Union National Assn,10000,10000,2016
4,Kenny Marchant (R),N00026710,0,Farm Credit Council,10000,10000,2016
5,Kenny Marchant (R),N00026710,0,Majority Cmte PAC,10000,10000,2016
6,Kenny Marchant (R),N00026710,0,National Apartment Assn,10000,10000,2016
7,Kenny Marchant (R),N00026710,0,National Assn of Real Estate Investment Trusts,10000,10000,2016
8,Kenny Marchant (R),N00026710,0,National Assn of Realtors,10000,10000,2016
9,Kenny Marchant (R),N00026710,0,National Auto Dealers Assn,10000,10000,2016
0,Kenny Marchant (R),N00026710,1000,National Assn of Real Estate Investment Trusts,10000,11000,2018
1,Kenny Marchant (R),N00026710,10800,Plains Capital Bank,0,10800,2018
2,Kenny Marchant (R),N00026710,0,American Bankers Assn,10000,10000,2018
3,Kenny Marchant (R),N00026710,0,American Institute of CPAs,10000,10000,2018
4,Kenny Marchant (R),N00026710,0,Celanese Corp,10000,10000,2018
5,Kenny Marchant (R),N00026710,0,Citigroup Inc,10000,10000,2018
6,Kenny Marchant (R),N00026710,0,Credit Union National Assn,10000,10000,2018
7,Kenny Marchant (R),N00026710,0,Farm Credit Council,10000,10000,2018
8,Kenny Marchant (R),N00026710,0,Investment Co Institute,10000,10000,2018
9,Kenny Marchant (R),N00026710,0,Morgan Stanley,10000,10000,2018
