,cand_name,cid,indivs,org_name,pacs,total,cycle
0,David Price (D),N00002260,12155,Duke University,0,12155,2010
1,David Price (D),N00002260,0,Raytheon Co,8000,8000,2010
2,David Price (D),N00002260,5600,SAS Institute,0,5600,2010
3,David Price (D),N00002260,5200,University of North Carolina/Chapel Hill,0,5200,2010
4,David Price (D),N00002260,0,Aircraft Owners & Pilots Assn,5000,5000,2010
5,David Price (D),N00002260,0,American Federation of Teachers,5000,5000,2010
6,David Price (D),N00002260,0,American Maritime Officers,5000,5000,2010
7,David Price (D),N00002260,0,Communications Workers of America,5000,5000,2010
8,David Price (D),N00002260,0,Deloitte LLP,5000,5000,2010
9,David Price (D),N00002260,0,Delta Air Lines,5000,5000,2010
0,David Price (D),N00002260,34200,Duke University,0,34200,2012
1,David Price (D),N00002260,20350,University of North Carolina/Chapel Hill,0,20350,2012
2,David Price (D),N00002260,8000,JStreetPAC,5000,13000,2012
3,David Price (D),N00002260,11700,SAS Institute,0,11700,2012
4,David Price (D),N00002260,0,Communications Workers of America,10000,10000,2012
5,David Price (D),N00002260,0,CSX Corp,10000,10000,2012
6,David Price (D),N00002260,0,Deloitte LLP,10000,10000,2012
7,David Price (D),N00002260,0,General Dynamics,10000,10000,2012
8,David Price (D),N00002260,0,Honeywell International,10000,10000,2012
9,David Price (D),N00002260,0,International Assn of Fire Fighters,10000,10000,2012
0,David Price (D),N00002260,28422,Duke University,0,28422,2014
1,David Price (D),N00002260,12850,University of North Carolina/Chapel Hill,0,12850,2014
2,David Price (D),N00002260,12650,SAS Institute,0,12650,2014
3,David Price (D),N00002260,0,American Crystal Sugar,10000,10000,2014
4,David Price (D),N00002260,0,American Federation of Teachers,10000,10000,2014
5,David Price (D),N00002260,0,Deloitte LLP,10000,10000,2014
6,David Price (D),N00002260,0,Grifols Inc,10000,10000,2014
7,David Price (D),N00002260,0,Harris Corp,10000,10000,2014
8,David Price (D),N00002260,0,Honeywell International,10000,10000,2014
9,David Price (D),N00002260,0,International Assn of Fire Fighters,10000,10000,2014
0,David Price (D),N00002260,21100,Duke University,0,21100,2016
1,David Price (D),N00002260,13975,University of North Carolina/Chapel Hill,0,13975,2016
2,David Price (D),N00002260,0,American Assn for Justice,10000,10000,2016
3,David Price (D),N00002260,0,American Crystal Sugar,10000,10000,2016
4,David Price (D),N00002260,0,American Federation of Teachers,10000,10000,2016
5,David Price (D),N00002260,0,CSX Corp,10000,10000,2016
6,David Price (D),N00002260,0,Deloitte LLP,10000,10000,2016
7,David Price (D),N00002260,0,Gentiva Health Services,10000,10000,2016
8,David Price (D),N00002260,0,Harris Corp,10000,10000,2016
9,David Price (D),N00002260,0,Honeywell International,10000,10000,2016
0,David Price (D),N00002260,33425,Duke University,0,33425,2018
1,David Price (D),N00002260,16775,University of North Carolina/Chapel Hill,0,16775,2018
2,David Price (D),N00002260,10800,SAS Institute,0,10800,2018
3,David Price (D),N00002260,0,American Federation of State/Cnty/Munic Employees,10000,10000,2018
4,David Price (D),N00002260,0,American Federation of Teachers,10000,10000,2018
5,David Price (D),N00002260,0,BASF Corp,10000,10000,2018
6,David Price (D),N00002260,0,Communications Workers of America,10000,10000,2018
7,David Price (D),N00002260,0,Deloitte LLP,10000,10000,2018
8,David Price (D),N00002260,0,Harris Corp,10000,10000,2018
9,David Price (D),N00002260,0,Honeywell International,10000,10000,2018
