,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Paul Cook (R),N00034224,5000,CEMEX Inc,10000,15000,2014
1,Paul Cook (R),N00034224,10400,Frontier Enterprises,0,10400,2014
2,Paul Cook (R),N00034224,10400,"Pehl, Foutz et al",0,10400,2014
3,Paul Cook (R),N00034224,0,Air Line Pilots Assn,10000,10000,2014
4,Paul Cook (R),N00034224,0,American Society of Anesthesiologists,10000,10000,2014
5,Paul Cook (R),N00034224,0,Carpenters & Joiners Union,10000,10000,2014
6,Paul Cook (R),N00034224,0,Cooperative of American Physicians,10000,10000,2014
7,Paul Cook (R),N00034224,0,Credit Union National Assn,10000,10000,2014
8,Paul Cook (R),N00034224,0,Every Republican is Crucial PAC,10000,10000,2014
9,Paul Cook (R),N00034224,0,Freedom Project,10000,10000,2014
0,Paul Cook (R),N00034224,11300,Chandi Group USA,0,11300,2016
1,Paul Cook (R),N00034224,1250,CEMEX Inc,10000,11250,2016
2,Paul Cook (R),N00034224,10800,Esri,0,10800,2016
3,Paul Cook (R),N00034224,2700,PG&E Corp,7500,10200,2016
4,Paul Cook (R),N00034224,0,Air Line Pilots Assn,10000,10000,2016
5,Paul Cook (R),N00034224,0,American Pistachio Growers,10000,10000,2016
6,Paul Cook (R),N00034224,0,Carpenters & Joiners Union,10000,10000,2016
7,Paul Cook (R),N00034224,0,Credit Union National Assn,10000,10000,2016
8,Paul Cook (R),N00034224,0,Eye of the Tiger PAC,10000,10000,2016
9,Paul Cook (R),N00034224,0,General Atomics,10000,10000,2016
0,Paul Cook (R),N00034224,13500,Mani Brothers Real Estate Group,0,13500,2018
1,Paul Cook (R),N00034224,11300,Chandi Group USA,0,11300,2018
2,Paul Cook (R),N00034224,1000,CEMEX Inc,10000,11000,2018
3,Paul Cook (R),N00034224,1000,PG&E Corp,10000,11000,2018
4,Paul Cook (R),N00034224,0,Air Line Pilots Assn,10000,10000,2018
5,Paul Cook (R),N00034224,0,American Postal Workers Union,10000,10000,2018
6,Paul Cook (R),N00034224,0,Boeing Co,10000,10000,2018
7,Paul Cook (R),N00034224,0,Carpenters & Joiners Union,10000,10000,2018
8,Paul Cook (R),N00034224,0,Credit Union National Assn,10000,10000,2018
9,Paul Cook (R),N00034224,0,Eureka PAC,10000,10000,2018
0,Eric Swalwell (D),N00033508,8500,Calpine Corp,3000,11500,2012
1,Eric Swalwell (D),N00033508,10000,Charter Properties,0,10000,2012
2,Eric Swalwell (D),N00033508,10000,Mackenzie Patterson Fuller,0,10000,2012
3,Eric Swalwell (D),N00033508,9711,Wine Group,0,9711,2012
4,Eric Swalwell (D),N00033508,7700,Eden Realty,0,7700,2012
5,Eric Swalwell (D),N00033508,7500,All American Label,0,7500,2012
6,Eric Swalwell (D),N00033508,0,National Electrical Contractors Assn,7500,7500,2012
7,Eric Swalwell (D),N00033508,7000,Landmark Exchange Management,0,7000,2012
8,Eric Swalwell (D),N00033508,5750,Pleasanton Garbage Service,0,5750,2012
9,Eric Swalwell (D),N00033508,5500,Bridgelux,0,5500,2012
0,Eric Swalwell (D),N00033508,5750,PG&E Corp,10000,15750,2014
1,Eric Swalwell (D),N00033508,2500,Intel Corp,10000,12500,2014
2,Eric Swalwell (D),N00033508,5975,Calpine Corp,6000,11975,2014
3,Eric Swalwell (D),N00033508,1250,Safeway Inc,10000,11250,2014
4,Eric Swalwell (D),N00033508,1200,Bechtel Group,10000,11200,2014
5,Eric Swalwell (D),N00033508,0,United Food & Commercial Workers Union,11000,11000,2014
6,Eric Swalwell (D),N00033508,10400,Marble Bridge Funding Group,0,10400,2014
7,Eric Swalwell (D),N00033508,10300,Darcie Kent Vineyards,0,10300,2014
8,Eric Swalwell (D),N00033508,10200,All American Label,0,10200,2014
9,Eric Swalwell (D),N00033508,0,Abbott Laboratories,10000,10000,2014
