,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Betty McCollum (D),N00012942,14936,Robins Kaplan LLP,6000,20936,2012
1,Betty McCollum (D),N00012942,17100,Heartland Realty Investors,0,17100,2012
2,Betty McCollum (D),N00012942,10950,JStreetPAC,3000,13950,2012
3,Betty McCollum (D),N00012942,1000,National Community Action Foundation,10000,11000,2012
4,Betty McCollum (D),N00012942,0,American College of Radiology,10000,10000,2012
5,Betty McCollum (D),N00012942,0,American Federation of Teachers,10000,10000,2012
6,Betty McCollum (D),N00012942,0,Boilermakers Union,10000,10000,2012
7,Betty McCollum (D),N00012942,0,Communications Workers of America,10000,10000,2012
8,Betty McCollum (D),N00012942,0,International Brotherhood of Electrical Workers,10000,10000,2012
9,Betty McCollum (D),N00012942,0,Machinists/Aerospace Workers Union,10000,10000,2012
0,Betty McCollum (D),N00012942,24900,Heartland Realty Investors,0,24900,2014
1,Betty McCollum (D),N00012942,500,National Community Action Foundation,10000,10500,2014
2,Betty McCollum (D),N00012942,0,Air Line Pilots Assn,10000,10000,2014
3,Betty McCollum (D),N00012942,0,American Crystal Sugar,10000,10000,2014
4,Betty McCollum (D),N00012942,0,American Federation of Teachers,10000,10000,2014
5,Betty McCollum (D),N00012942,0,American Society of Anesthesiologists,10000,10000,2014
6,Betty McCollum (D),N00012942,0,General Dynamics,10000,10000,2014
7,Betty McCollum (D),N00012942,0,International Brotherhood of Electrical Workers,10000,10000,2014
8,Betty McCollum (D),N00012942,0,Laborers Union,10000,10000,2014
9,Betty McCollum (D),N00012942,0,Lockridge Grindal Nauen PLLP,10000,10000,2014
0,Betty McCollum (D),N00012942,32000,Heartland Realty Investors,0,32000,2016
1,Betty McCollum (D),N00012942,5200,General Mills,7000,12200,2016
2,Betty McCollum (D),N00012942,0,American Crystal Sugar,10000,10000,2016
3,Betty McCollum (D),N00012942,0,American Federation of Teachers,10000,10000,2016
4,Betty McCollum (D),N00012942,0,Boeing Co,10000,10000,2016
5,Betty McCollum (D),N00012942,0,General Dynamics,10000,10000,2016
6,Betty McCollum (D),N00012942,0,Intel Corp,10000,10000,2016
7,Betty McCollum (D),N00012942,0,International Brotherhood of Electrical Workers,10000,10000,2016
8,Betty McCollum (D),N00012942,0,Machinists/Aerospace Workers Union,10000,10000,2016
9,Betty McCollum (D),N00012942,0,National Assn of Realtors,10000,10000,2016
0,Betty McCollum (D),N00012942,32400,Heartland Realty Investors,0,32400,2018
1,Betty McCollum (D),N00012942,10800,Minneapolis Radiation Oncology,0,10800,2018
2,Betty McCollum (D),N00012942,0,Air Line Pilots Assn,10000,10000,2018
3,Betty McCollum (D),N00012942,0,American Assn for Justice,10000,10000,2018
4,Betty McCollum (D),N00012942,0,American Crystal Sugar,10000,10000,2018
5,Betty McCollum (D),N00012942,0,American Federation of State/Cnty/Munic Employees,10000,10000,2018
6,Betty McCollum (D),N00012942,0,American Federation of Teachers,10000,10000,2018
7,Betty McCollum (D),N00012942,0,American Society of Anesthesiologists,10000,10000,2018
8,Betty McCollum (D),N00012942,0,Boeing Co,10000,10000,2018
9,Betty McCollum (D),N00012942,0,Delta Air Lines,10000,10000,2018
0,James P McGovern (D),N00000179,11200,Harry Miller Co,0,11200,2010
1,James P McGovern (D),N00000179,0,Teamsters Union,10000,10000,2010
2,James P McGovern (D),N00000179,0,UNITE HERE,10000,10000,2010
3,James P McGovern (D),N00000179,3750,King & Spalding,5000,8750,2010
4,James P McGovern (D),N00000179,7000,Cassidy & Assoc,0,7000,2010
5,James P McGovern (D),N00000179,0,"Sheet Metal, Air, Rail & Transportation Union",7000,7000,2010
6,James P McGovern (D),N00000179,5600,Clivus Multrum,0,5600,2010
7,James P McGovern (D),N00000179,0,American Assn for Justice,5000,5000,2010
8,James P McGovern (D),N00000179,0,American Dental Assn,5000,5000,2010
9,James P McGovern (D),N00000179,0,American Federation of State/Cnty/Munic Employees,5000,5000,2010
