,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Dutch Ruppersberger (D),N00025482,10400,Mantech International,10000,20400,2014
1,Dutch Ruppersberger (D),N00025482,10400,SpaceX,6000,16400,2014
2,Dutch Ruppersberger (D),N00025482,12500,Law Offices of Peter G Angelos,0,12500,2014
3,Dutch Ruppersberger (D),N00025482,0,Northrop Grumman Innovation Systems,11500,11500,2014
4,Dutch Ruppersberger (D),N00025482,11250,University of Maryland Medical System,0,11250,2014
5,Dutch Ruppersberger (D),N00025482,750,Northrop Grumman,10000,10750,2014
6,Dutch Ruppersberger (D),N00025482,1000,General Dynamics,9500,10500,2014
7,Dutch Ruppersberger (D),N00025482,0,American Assn for Justice,10000,10000,2014
8,Dutch Ruppersberger (D),N00025482,0,American Assn of Orthopaedic Surgeons,10000,10000,2014
9,Dutch Ruppersberger (D),N00025482,0,American College of Emergency Physicians,10000,10000,2014
0,Dutch Ruppersberger (D),N00025482,7700,Mantech International,10000,17700,2016
1,Dutch Ruppersberger (D),N00025482,4610,Northrop Grumman,10000,14610,2016
2,Dutch Ruppersberger (D),N00025482,10600,Capital Funding Group,0,10600,2016
3,Dutch Ruppersberger (D),N00025482,10300,Intelligenesis,0,10300,2016
4,Dutch Ruppersberger (D),N00025482,250,General Dynamics,10000,10250,2016
5,Dutch Ruppersberger (D),N00025482,100,Boeing Co,10000,10100,2016
6,Dutch Ruppersberger (D),N00025482,0,American Assn of Orthopaedic Surgeons,10000,10000,2016
7,Dutch Ruppersberger (D),N00025482,0,American College of Emergency Physicians,10000,10000,2016
8,Dutch Ruppersberger (D),N00025482,0,American College of Radiology,10000,10000,2016
9,Dutch Ruppersberger (D),N00025482,0,American College of Surgeons Prof Assn,10000,10000,2016
0,Dutch Ruppersberger (D),N00025482,23010,Northrop Grumman,10000,33010,2018
1,Dutch Ruppersberger (D),N00025482,2700,Mantech International,8500,11200,2018
2,Dutch Ruppersberger (D),N00025482,10800,Capital Funding Group,0,10800,2018
3,Dutch Ruppersberger (D),N00025482,250,General Dynamics,10000,10250,2018
4,Dutch Ruppersberger (D),N00025482,15,Leidos Inc,10000,10015,2018
5,Dutch Ruppersberger (D),N00025482,0,American College of Emergency Physicians,10000,10000,2018
6,Dutch Ruppersberger (D),N00025482,0,American College of Radiology,10000,10000,2018
7,Dutch Ruppersberger (D),N00025482,0,American College of Surgeons Prof Assn,10000,10000,2018
8,Dutch Ruppersberger (D),N00025482,0,American Federation of Teachers,10000,10000,2018
9,Dutch Ruppersberger (D),N00025482,0,Boeing Co,10000,10000,2018
0,Bobby L Rush (D),N00004887,0,International Brotherhood of Electrical Workers,7500,7500,2010
1,Bobby L Rush (D),N00004887,0,American Society of Anesthesiologists,6000,6000,2010
2,Bobby L Rush (D),N00004887,0,Exelon Corp,6000,6000,2010
3,Bobby L Rush (D),N00004887,0,American Assn of Clinical Urologists,5000,5000,2010
4,Bobby L Rush (D),N00004887,0,AT&T Inc,5000,5000,2010
5,Bobby L Rush (D),N00004887,0,Dominion Energy,5000,5000,2010
6,Bobby L Rush (D),N00004887,0,Laborers Union,5000,5000,2010
7,Bobby L Rush (D),N00004887,0,Lowe's Companies,5000,5000,2010
8,Bobby L Rush (D),N00004887,0,Machinists/Aerospace Workers Union,5000,5000,2010
9,Bobby L Rush (D),N00004887,0,National Rural Electric Cooperative Assn,5000,5000,2010
0,Bobby L Rush (D),N00004887,3500,Comcast Corp,10000,13500,2012
1,Bobby L Rush (D),N00004887,500,Exelon Corp,10000,10500,2012
2,Bobby L Rush (D),N00004887,0,Carpenters & Joiners Union,10000,10000,2012
3,Bobby L Rush (D),N00004887,0,CSX Corp,10000,10000,2012
4,Bobby L Rush (D),N00004887,0,Laborers Union,10000,10000,2012
5,Bobby L Rush (D),N00004887,0,Machinists/Aerospace Workers Union,10000,10000,2012
6,Bobby L Rush (D),N00004887,0,NCTA The Internet & Television Assn,10000,10000,2012
7,Bobby L Rush (D),N00004887,0,Verizon Communications,10000,10000,2012
8,Bobby L Rush (D),N00004887,0,Motorola Solutions,8500,8500,2012
9,Bobby L Rush (D),N00004887,0,American Assn for Justice,8000,8000,2012
