,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Bruce Westerman (R),N00035527,3500,Murphy Oil,7500,11000,2016
1,Bruce Westerman (R),N00035527,0,American Council of Engineering Cos,10000,10000,2016
2,Bruce Westerman (R),N00035527,0,American Kidney Stone Management,10000,10000,2016
3,Bruce Westerman (R),N00035527,0,Lockheed Martin,10000,10000,2016
4,Bruce Westerman (R),N00035527,0,Majority Cmte PAC,10000,10000,2016
5,Bruce Westerman (R),N00035527,0,National Alliance of Forest Owners,8500,8500,2016
6,Bruce Westerman (R),N00035527,8300,Deltic Timber,0,8300,2016
7,Bruce Westerman (R),N00035527,8100,Price Companies,0,8100,2016
8,Bruce Westerman (R),N00035527,0,National Assn of Realtors,8000,8000,2016
9,Bruce Westerman (R),N00035527,0,Raytheon Co,8000,8000,2016
0,Bruce Westerman (R),N00035527,18450,Stephens Inc,2500,20950,2018
1,Bruce Westerman (R),N00035527,9450,Murphy Oil,10000,19450,2018
2,Bruce Westerman (R),N00035527,16150,Simmons First National Bank,1000,17150,2018
3,Bruce Westerman (R),N00035527,0,National Alliance of Forest Owners,13750,13750,2018
4,Bruce Westerman (R),N00035527,0,Federal Forest Resource Coalition,12500,12500,2018
5,Bruce Westerman (R),N00035527,2500,Weyerhaeuser Co,10000,12500,2018
6,Bruce Westerman (R),N00035527,12400,Maxwell Hardwood Flooring,0,12400,2018
7,Bruce Westerman (R),N00035527,11350,Sierra Pacific Industries,0,11350,2018
8,Bruce Westerman (R),N00035527,11100,Deltic Timber,0,11100,2018
9,Bruce Westerman (R),N00035527,9100,McDonald's Corp,2000,11100,2018
0,Ruben Gallego (D),N00036097,11800,Snell & Wilmer,0,11800,2014
1,Ruben Gallego (D),N00036097,475,Human Rights Campaign,10000,10475,2014
2,Ruben Gallego (D),N00036097,250,Communications Workers of America,10000,10250,2014
3,Ruben Gallego (D),N00036097,0,Credit Union National Assn,10000,10000,2014
4,Ruben Gallego (D),N00036097,0,International Assn of Fire Fighters,10000,10000,2014
5,Ruben Gallego (D),N00036097,0,Plumbers/Pipefitters Union Local 469,10000,10000,2014
6,Ruben Gallego (D),N00036097,0,Service Employees International Union,10000,10000,2014
7,Ruben Gallego (D),N00036097,0,United Food & Commercial Workers Union,10000,10000,2014
8,Ruben Gallego (D),N00036097,0,VoteVets.org,10000,10000,2014
9,Ruben Gallego (D),N00036097,7800,Optima Inc,0,7800,2014
0,Ruben Gallego (D),N00036097,10800,Apercen Partners,0,10800,2016
1,Ruben Gallego (D),N00036097,1050,Salt River Valley Water Users' Assn,9000,10050,2016
2,Ruben Gallego (D),N00036097,0,Air Line Pilots Assn,10000,10000,2016
3,Ruben Gallego (D),N00036097,0,Border Health,10000,10000,2016
4,Ruben Gallego (D),N00036097,0,Carpenters & Joiners Union,10000,10000,2016
5,Ruben Gallego (D),N00036097,0,Honeywell International,10000,10000,2016
6,Ruben Gallego (D),N00036097,0,International Brotherhood of Electrical Workers,10000,10000,2016
7,Ruben Gallego (D),N00036097,0,Machinists/Aerospace Workers Union,10000,10000,2016
8,Ruben Gallego (D),N00036097,0,National Air Traffic Controllers Assn,10000,10000,2016
9,Ruben Gallego (D),N00036097,0,National Beer Wholesalers Assn,10000,10000,2016
0,Ruben Gallego (D),N00036097,11750,Axon,0,11750,2018
1,Ruben Gallego (D),N00036097,10800,Don Bennett Moon Pc,0,10800,2018
2,Ruben Gallego (D),N00036097,769,UNITE HERE,10000,10769,2018
3,Ruben Gallego (D),N00036097,50,Machinists/Aerospace Workers Union,10000,10050,2018
4,Ruben Gallego (D),N00036097,0,Air Line Pilots Assn,10000,10000,2018
5,Ruben Gallego (D),N00036097,0,Border Health,10000,10000,2018
6,Ruben Gallego (D),N00036097,0,Brotherhood of Locomotive Engineers & Trainmen,10000,10000,2018
7,Ruben Gallego (D),N00036097,0,Committee for Hispanic Causes-BOLD PAC,10000,10000,2018
8,Ruben Gallego (D),N00036097,0,Dell Technologies,10000,10000,2018
9,Ruben Gallego (D),N00036097,3500,General Dynamics,6500,10000,2018
