,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Daniel Lipinski (D),N00027239,11600,D'Escoto Inc,0,11600,2010
1,Daniel Lipinski (D),N00027239,11200,Weglarz Co,0,11200,2010
2,Daniel Lipinski (D),N00027239,0,American Short Line & Regional RR Assn,10000,10000,2010
3,Daniel Lipinski (D),N00027239,0,Cheniere Energy,10000,10000,2010
4,Daniel Lipinski (D),N00027239,0,Machinists/Aerospace Workers Union,10000,10000,2010
5,Daniel Lipinski (D),N00027239,0,Operating Engineers Union,10000,10000,2010
6,Daniel Lipinski (D),N00027239,0,Raytheon Co,10000,10000,2010
7,Daniel Lipinski (D),N00027239,8200,Stanford University,0,8200,2010
8,Daniel Lipinski (D),N00027239,0,Trinity Industries,8000,8000,2010
9,Daniel Lipinski (D),N00027239,6400,Collins Engineers,0,6400,2010
0,Daniel Lipinski (D),N00027239,3000,BNSF Railway,10000,13000,2012
1,Daniel Lipinski (D),N00027239,13000,Scheck Industries,0,13000,2012
2,Daniel Lipinski (D),N00027239,0,American Council of Engineering Cos,10000,10000,2012
3,Daniel Lipinski (D),N00027239,0,Brotherhood of Locomotive Engineers & Trainmen,10000,10000,2012
4,Daniel Lipinski (D),N00027239,0,Carpenters & Joiners Union,10000,10000,2012
5,Daniel Lipinski (D),N00027239,0,Caterpillar Inc,10000,10000,2012
6,Daniel Lipinski (D),N00027239,0,CSX Corp,10000,10000,2012
7,Daniel Lipinski (D),N00027239,0,International Brotherhood of Electrical Workers,10000,10000,2012
8,Daniel Lipinski (D),N00027239,0,Ironworkers Union,10000,10000,2012
9,Daniel Lipinski (D),N00027239,0,Machinists/Aerospace Workers Union,10000,10000,2012
0,Daniel Lipinski (D),N00027239,0,Plumbers/Pipefitters Union,15000,15000,2014
1,Daniel Lipinski (D),N00027239,0,Air Line Pilots Assn,10000,10000,2014
2,Daniel Lipinski (D),N00027239,0,Amalgamated Transit Union,10000,10000,2014
3,Daniel Lipinski (D),N00027239,0,American Council of Engineering Cos,10000,10000,2014
4,Daniel Lipinski (D),N00027239,0,Blue Dog PAC,10000,10000,2014
5,Daniel Lipinski (D),N00027239,0,BNSF Railway,10000,10000,2014
6,Daniel Lipinski (D),N00027239,0,Carpenters & Joiners Union,10000,10000,2014
7,Daniel Lipinski (D),N00027239,0,Caterpillar Inc,10000,10000,2014
8,Daniel Lipinski (D),N00027239,0,CSX Corp,10000,10000,2014
9,Daniel Lipinski (D),N00027239,0,Honeywell International,10000,10000,2014
0,Daniel Lipinski (D),N00027239,10800,Platinum Health Care,0,10800,2016
1,Daniel Lipinski (D),N00027239,0,Air Line Pilots Assn,10000,10000,2016
2,Daniel Lipinski (D),N00027239,0,American Council of Engineering Cos,10000,10000,2016
3,Daniel Lipinski (D),N00027239,0,Blue Dog PAC,10000,10000,2016
4,Daniel Lipinski (D),N00027239,0,BNSF Railway,10000,10000,2016
5,Daniel Lipinski (D),N00027239,0,Carpenters & Joiners Union,10000,10000,2016
6,Daniel Lipinski (D),N00027239,0,Caterpillar Inc,10000,10000,2016
7,Daniel Lipinski (D),N00027239,0,CSX Corp,10000,10000,2016
8,Daniel Lipinski (D),N00027239,0,Federal Aviation Admin Managers Assn,10000,10000,2016
9,Daniel Lipinski (D),N00027239,0,Honeywell International,10000,10000,2016
0,Daniel Lipinski (D),N00027239,13900,Weglarz Co,0,13900,2018
1,Daniel Lipinski (D),N00027239,3700,Caterpillar Inc,10000,13700,2018
2,Daniel Lipinski (D),N00027239,2700,BNSF Railway,10000,12700,2018
3,Daniel Lipinski (D),N00027239,11400,Collins Engineers,0,11400,2018
4,Daniel Lipinski (D),N00027239,10800,Henry Crown & Co,0,10800,2018
5,Daniel Lipinski (D),N00027239,5500,Southwest Airlines,4999,10499,2018
6,Daniel Lipinski (D),N00027239,5400,Exelon Corp,5000,10400,2018
7,Daniel Lipinski (D),N00027239,0,American Council of Engineering Cos,10000,10000,2018
8,Daniel Lipinski (D),N00027239,0,Blue Dog PAC,10000,10000,2018
9,Daniel Lipinski (D),N00027239,0,Bricklayers Union,10000,10000,2018
