,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Cedric Richmond (D),N00030184,11500,Entergy Corp,10000,21500,2018
1,Cedric Richmond (D),N00030184,15800,Geocent LLC,0,15800,2018
2,Cedric Richmond (D),N00030184,0,Mallinckrodt Pharmaceuticals,12500,12500,2018
3,Cedric Richmond (D),N00030184,6200,Acadian Ambulance Service,5000,11200,2018
4,Cedric Richmond (D),N00030184,1000,Capital One Financial,10000,11000,2018
5,Cedric Richmond (D),N00030184,1000,Cox Enterprises,10000,11000,2018
6,Cedric Richmond (D),N00030184,2700,Quicken Loans,8000,10700,2018
7,Cedric Richmond (D),N00030184,500,MGM Resorts International,10000,10500,2018
8,Cedric Richmond (D),N00030184,0,American Crystal Sugar,10000,10000,2018
9,Cedric Richmond (D),N00030184,0,American Federation of State/Cnty/Munic Employees,10000,10000,2018
0,Martha Roby (R),N00030768,0,Building Leadership & Inspiring New Enterprise,10000,10000,2010
1,Martha Roby (R),N00030768,0,PricewaterhouseCoopers,10000,10000,2010
2,Martha Roby (R),N00030768,5600,Arizona Diamondbacks,0,5600,2010
3,Martha Roby (R),N00030768,5600,Hunt Consolidated,0,5600,2010
4,Martha Roby (R),N00030768,0,American Bankers Assn,5000,5000,2010
5,Martha Roby (R),N00030768,0,AT&T Inc,5000,5000,2010
6,Martha Roby (R),N00030768,0,Caterpillar Inc,5000,5000,2010
7,Martha Roby (R),N00030768,0,Deloitte LLP,5000,5000,2010
8,Martha Roby (R),N00030768,0,E-PAC,5000,5000,2010
9,Martha Roby (R),N00030768,0,International Paper,5000,5000,2010
0,Martha Roby (R),N00030768,6000,Publix Super Markets,6000,12000,2012
1,Martha Roby (R),N00030768,11750,Jim Wilson & Assoc,0,11750,2012
2,Martha Roby (R),N00030768,5158,Balch & Bingham,6500,11658,2012
3,Martha Roby (R),N00030768,11250,Southeast Wood Treating,0,11250,2012
4,Martha Roby (R),N00030768,0,Alabama Farmers Federation,10000,10000,2012
5,Martha Roby (R),N00030768,0,Alabama Peanut Producers Assn,10000,10000,2012
6,Martha Roby (R),N00030768,0,American Bankers Assn,10000,10000,2012
7,Martha Roby (R),N00030768,0,Blue Cross/Blue Shield of Alabama,10000,10000,2012
8,Martha Roby (R),N00030768,0,Defend America PAC,10000,10000,2012
9,Martha Roby (R),N00030768,0,Every Republican is Crucial PAC,10000,10000,2012
0,Martha Roby (R),N00030768,15300,AAA Cooper Transportation,0,15300,2014
1,Martha Roby (R),N00030768,1000,Alabama Power,10000,11000,2014
2,Martha Roby (R),N00030768,11000,Smith's Inc,0,11000,2014
3,Martha Roby (R),N00030768,10400,Aronov Realty Management,0,10400,2014
4,Martha Roby (R),N00030768,10400,Conference America,0,10400,2014
5,Martha Roby (R),N00030768,250,Alabama Farmers Federation,10000,10250,2014
6,Martha Roby (R),N00030768,0,Ernst & Young,10000,10000,2014
7,Martha Roby (R),N00030768,0,Every Republican is Crucial PAC,10000,10000,2014
8,Martha Roby (R),N00030768,0,Honeywell International,10000,10000,2014
9,Martha Roby (R),N00030768,0,Lockheed Martin,10000,10000,2014
0,Martha Roby (R),N00030768,16200,Jim Wilson & Assoc,0,16200,2016
1,Martha Roby (R),N00030768,15800,Aronov Realty Management,0,15800,2016
2,Martha Roby (R),N00030768,500,United Parcel Service,12500,13000,2016
3,Martha Roby (R),N00030768,12800,AAA Cooper Transportation,0,12800,2016
4,Martha Roby (R),N00030768,10800,Conference America,0,10800,2016
5,Martha Roby (R),N00030768,3200,Balch & Bingham,7500,10700,2016
6,Martha Roby (R),N00030768,4500,"Maynard, Cooper & Gale",6000,10500,2016
7,Martha Roby (R),N00030768,10224,Resource Management Service LLC,0,10224,2016
8,Martha Roby (R),N00030768,0,Alabama Power,10000,10000,2016
9,Martha Roby (R),N00030768,0,American Bankers Assn,10000,10000,2016
