,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Mark Amodei (R),N00031177,11200,Clearpath Foundation,0,11200,2010
1,Mark Amodei (R),N00031177,11200,Rocky Research,0,11200,2010
2,Mark Amodei (R),N00031177,3800,Sierra Nevada Corp,4500,8300,2010
3,Mark Amodei (R),N00031177,6000,Bill Miller Engineering,0,6000,2010
4,Mark Amodei (R),N00031177,5850,State of Nevada,0,5850,2010
5,Mark Amodei (R),N00031177,0,AT&T Inc,5000,5000,2010
6,Mark Amodei (R),N00031177,0,Carpenters & Joiners Union,5000,5000,2010
7,Mark Amodei (R),N00031177,0,General Motors,5000,5000,2010
8,Mark Amodei (R),N00031177,0,Honeywell International,5000,5000,2010
9,Mark Amodei (R),N00031177,0,MGM Resorts International,5000,5000,2010
0,Mark Amodei (R),N00031177,0,American Bankers Assn,15000,15000,2012
1,Mark Amodei (R),N00031177,0,Every Republican is Crucial PAC,15000,15000,2012
2,Mark Amodei (R),N00031177,0,Freedom Project,15000,15000,2012
3,Mark Amodei (R),N00031177,0,AT&T Inc,14000,14000,2012
4,Mark Amodei (R),N00031177,3000,Las Vegas Sands,11000,14000,2012
5,Mark Amodei (R),N00031177,4500,NV Energy,9500,14000,2012
6,Mark Amodei (R),N00031177,13800,Hartman & Hartman,0,13800,2012
7,Mark Amodei (R),N00031177,0,National Assn of Realtors,13000,13000,2012
8,Mark Amodei (R),N00031177,0,Barrick Goldstrike Mines,12500,12500,2012
9,Mark Amodei (R),N00031177,0,National Assn of Home Builders,12500,12500,2012
0,Mark Amodei (R),N00031177,5700,Sierra Nevada Corp,8000,13700,2014
1,Mark Amodei (R),N00031177,1500,International Game Technology,10000,11500,2014
2,Mark Amodei (R),N00031177,0,American Society of Anesthesiologists,10000,10000,2014
3,Mark Amodei (R),N00031177,0,Barrick Goldstrike Mines,10000,10000,2014
4,Mark Amodei (R),N00031177,0,Caesars Entertainment,10000,10000,2014
5,Mark Amodei (R),N00031177,0,Every Republican is Crucial PAC,10000,10000,2014
6,Mark Amodei (R),N00031177,0,National Assn of Home Builders,10000,10000,2014
7,Mark Amodei (R),N00031177,0,National Auto Dealers Assn,10000,10000,2014
8,Mark Amodei (R),N00031177,1000,National Mining Assn,8000,9000,2014
9,Mark Amodei (R),N00031177,0,NV Energy,9000,9000,2014
0,Mark Amodei (R),N00031177,5800,Sierra Nevada Corp,7000,12800,2016
1,Mark Amodei (R),N00031177,0,American Society of Anesthesiologists,12500,12500,2016
2,Mark Amodei (R),N00031177,4750,Newmont Mining,6000,10750,2016
3,Mark Amodei (R),N00031177,0,Barrick Goldstrike Mines,10000,10000,2016
4,Mark Amodei (R),N00031177,0,Boeing Co,10000,10000,2016
5,Mark Amodei (R),N00031177,0,National Assn of Home Builders,10000,10000,2016
6,Mark Amodei (R),N00031177,0,National Cattlemen's Beef Assn,10000,10000,2016
7,Mark Amodei (R),N00031177,0,Majority Cmte PAC,9349,9349,2016
8,Mark Amodei (R),N00031177,9300,Bill Miller Engineering,0,9300,2016
9,Mark Amodei (R),N00031177,0,AT&T Inc,8500,8500,2016
0,Mark Amodei (R),N00031177,17200,Station Casinos,2000,19200,2018
1,Mark Amodei (R),N00031177,5900,Sierra Nevada Corp,10000,15900,2018
2,Mark Amodei (R),N00031177,9200,Ultimate Fighting Championship,5000,14200,2018
3,Mark Amodei (R),N00031177,10800,South Point Hotel & Casino,0,10800,2018
4,Mark Amodei (R),N00031177,5400,Las Vegas Sands,5000,10400,2018
5,Mark Amodei (R),N00031177,0,American Bankers Assn,10000,10000,2018
6,Mark Amodei (R),N00031177,0,American Institute of CPAs,10000,10000,2018
7,Mark Amodei (R),N00031177,0,American Society of Anesthesiologists,10000,10000,2018
8,Mark Amodei (R),N00031177,0,Barrick Goldstrike Mines,10000,10000,2018
9,Mark Amodei (R),N00031177,0,Boeing Co,10000,10000,2018
