,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Linda Sanchez (D),N00024870,88000,Votesane PAC,0,88000,2018
1,Linda Sanchez (D),N00024870,10800,Hackman Capital Partners,0,10800,2018
2,Linda Sanchez (D),N00024870,500,National Assn of Real Estate Investment Trusts,10000,10500,2018
3,Linda Sanchez (D),N00024870,2700,Eli Lilly & Co,7500,10200,2018
4,Linda Sanchez (D),N00024870,2700,Pfizer Inc,7500,10200,2018
5,Linda Sanchez (D),N00024870,2,Aetna Inc,10000,10002,2018
6,Linda Sanchez (D),N00024870,1,Novartis Corp,10000,10001,2018
7,Linda Sanchez (D),N00024870,0,Air Line Pilots Assn,10000,10000,2018
8,Linda Sanchez (D),N00024870,0,American Academy of Dermatology Assn,10000,10000,2018
9,Linda Sanchez (D),N00024870,0,American Crystal Sugar,10000,10000,2018
0,Bennie G Thompson (D),N00003288,20526,McDonald's Corp,0,20526,2010
1,Bennie G Thompson (D),N00003288,16500,Astrophysics Inc,0,16500,2010
2,Bennie G Thompson (D),N00003288,0,Air Line Pilots Assn,10000,10000,2010
3,Bennie G Thompson (D),N00003288,0,Painters & Allied Trades Union,10000,10000,2010
4,Bennie G Thompson (D),N00003288,0,UNITE HERE,10000,10000,2010
5,Bennie G Thompson (D),N00003288,0,Huntington Ingalls Industries,8000,8000,2010
6,Bennie G Thompson (D),N00003288,0,United Mine Workers of America,7500,7500,2010
7,Bennie G Thompson (D),N00003288,0,American Federation of Government Employees,6000,6000,2010
8,Bennie G Thompson (D),N00003288,0,Raytheon Co,6000,6000,2010
9,Bennie G Thompson (D),N00003288,5600,South Houston Asphalt & Concrete LLC,0,5600,2010
0,Bennie G Thompson (D),N00003288,0,Air Line Pilots Assn,10000,10000,2012
1,Bennie G Thompson (D),N00003288,0,American Crystal Sugar,10000,10000,2012
2,Bennie G Thompson (D),N00003288,0,American Maritime Officers,10000,10000,2012
3,Bennie G Thompson (D),N00003288,0,Boeing Co,10000,10000,2012
4,Bennie G Thompson (D),N00003288,0,Communications Workers of America,10000,10000,2012
5,Bennie G Thompson (D),N00003288,0,CSX Corp,10000,10000,2012
6,Bennie G Thompson (D),N00003288,0,Deloitte LLP,10000,10000,2012
7,Bennie G Thompson (D),N00003288,0,Entergy Corp,10000,10000,2012
8,Bennie G Thompson (D),N00003288,0,FedEx Corp,10000,10000,2012
9,Bennie G Thompson (D),N00003288,0,Honeywell International,10000,10000,2012
0,Bennie G Thompson (D),N00003288,0,Air Line Pilots Assn,10000,10000,2014
1,Bennie G Thompson (D),N00003288,0,American Assn for Justice,10000,10000,2014
2,Bennie G Thompson (D),N00003288,0,American Crystal Sugar,10000,10000,2014
3,Bennie G Thompson (D),N00003288,0,Deloitte LLP,10000,10000,2014
4,Bennie G Thompson (D),N00003288,0,Enterprise Rent-A-Car,10000,10000,2014
5,Bennie G Thompson (D),N00003288,0,FedEx Corp,10000,10000,2014
6,Bennie G Thompson (D),N00003288,0,Honeywell International,10000,10000,2014
7,Bennie G Thompson (D),N00003288,0,International Brotherhood of Electrical Workers,10000,10000,2014
8,Bennie G Thompson (D),N00003288,0,Ironworkers Union,10000,10000,2014
9,Bennie G Thompson (D),N00003288,0,Lockheed Martin,10000,10000,2014
0,Bennie G Thompson (D),N00003288,6250,Osi Systems,8000,14250,2016
1,Bennie G Thompson (D),N00003288,0,Air Line Pilots Assn,10000,10000,2016
2,Bennie G Thompson (D),N00003288,0,American Assn for Justice,10000,10000,2016
3,Bennie G Thompson (D),N00003288,0,American Crystal Sugar,10000,10000,2016
4,Bennie G Thompson (D),N00003288,0,AT&T Inc,10000,10000,2016
5,Bennie G Thompson (D),N00003288,0,BNSF Railway,10000,10000,2016
6,Bennie G Thompson (D),N00003288,0,Communications Workers of America,10000,10000,2016
7,Bennie G Thompson (D),N00003288,0,Cox Enterprises,10000,10000,2016
8,Bennie G Thompson (D),N00003288,0,CSX Corp,10000,10000,2016
9,Bennie G Thompson (D),N00003288,0,Deloitte LLP,10000,10000,2016
