,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Tom Graves (R),N00030788,16200,Textile Management Assoc,0,16200,2016
1,Tom Graves (R),N00030788,14000,National Distributing Co,0,14000,2016
2,Tom Graves (R),N00030788,13500,Pts Tax,0,13500,2016
3,Tom Graves (R),N00030788,13000,United Minerals & Properties,0,13000,2016
4,Tom Graves (R),N00030788,0,Honeywell International,12500,12500,2016
5,Tom Graves (R),N00030788,10800,Big Time Products,0,10800,2016
6,Tom Graves (R),N00030788,10800,Dove Transportation,0,10800,2016
7,Tom Graves (R),N00030788,10800,"Hurt, Norton & Assoc",0,10800,2016
8,Tom Graves (R),N00030788,10800,Textile Rubber & Chemical Co,0,10800,2016
9,Tom Graves (R),N00030788,10800,Xana Management,0,10800,2016
0,Tom Graves (R),N00030788,16200,Textile Management Assoc,0,16200,2018
1,Tom Graves (R),N00030788,5400,General Dynamics,10000,15400,2018
2,Tom Graves (R),N00030788,5000,GEO Group,10000,15000,2018
3,Tom Graves (R),N00030788,13500,Pts Tax,0,13500,2018
4,Tom Graves (R),N00030788,13500,United Minerals & Properties,0,13500,2018
5,Tom Graves (R),N00030788,0,Investment Co Institute,12500,12500,2018
6,Tom Graves (R),N00030788,12300,"Hurt, Norton & Assoc",0,12300,2018
7,Tom Graves (R),N00030788,12150,Herndon Properties LLC,0,12150,2018
8,Tom Graves (R),N00030788,1500,Comcast Corp,10000,11500,2018
9,Tom Graves (R),N00030788,10800,Daniel Defense,0,10800,2018
0,Al Green (D),N00026686,0,UNITE HERE,10000,10000,2010
1,Al Green (D),N00026686,0,Communications Workers of America,5000,5000,2010
2,Al Green (D),N00026686,0,International Longshoremens Assn,5000,5000,2010
3,Al Green (D),N00026686,0,Machinists/Aerospace Workers Union,5000,5000,2010
4,Al Green (D),N00026686,0,National Assn of Real Estate Investment Trusts,5000,5000,2010
5,Al Green (D),N00026686,0,Service Employees International Union,5000,5000,2010
6,Al Green (D),N00026686,4300,Quicken Loans,0,4300,2010
7,Al Green (D),N00026686,4000,"Mires, Ran et al",0,4000,2010
8,Al Green (D),N00026686,0,American Federation of State/Cnty/Munic Employees,3000,3000,2010
9,Al Green (D),N00026686,0,National Assn of Realtors,3000,3000,2010
0,Al Green (D),N00026686,0,Carpenters & Joiners Union,10000,10000,2012
1,Al Green (D),N00026686,0,Communications Workers of America,10000,10000,2012
2,Al Green (D),N00026686,0,Laborers Union/Midwest Region,10000,10000,2012
3,Al Green (D),N00026686,10000,Link Group,0,10000,2012
4,Al Green (D),N00026686,0,Machinists/Aerospace Workers Union,10000,10000,2012
5,Al Green (D),N00026686,0,Operating Engineers Union,10000,10000,2012
6,Al Green (D),N00026686,0,National Assn of Realtors,9000,9000,2012
7,Al Green (D),N00026686,0,Bank of America,8000,8000,2012
8,Al Green (D),N00026686,0,National Multifamily Housing Council,7000,7000,2012
9,Al Green (D),N00026686,4700,Bracewell LLP,1500,6200,2012
0,Al Green (D),N00026686,13250,Harmony Public Schools,0,13250,2014
1,Al Green (D),N00026686,12393,Williams Kherkher,0,12393,2014
2,Al Green (D),N00026686,10200,Hall Law Firm,0,10200,2014
3,Al Green (D),N00026686,0,Communications Workers of America,10000,10000,2014
4,Al Green (D),N00026686,0,International Longshoremens Assn,10000,10000,2014
5,Al Green (D),N00026686,0,Machinists/Aerospace Workers Union,10000,10000,2014
6,Al Green (D),N00026686,0,National Assn of Realtors,10000,10000,2014
7,Al Green (D),N00026686,0,Plumbers/Pipefitters Union,10000,10000,2014
8,Al Green (D),N00026686,0,National Multifamily Housing Council,8000,8000,2014
9,Al Green (D),N00026686,7600,Dannenbaum Engineering,0,7600,2014
