,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Jaime Herrera Beutler (R),N00031559,19774,WinRed,0,19774,2010
1,Jaime Herrera Beutler (R),N00031559,12200,Fisher Investments,0,12200,2010
2,Jaime Herrera Beutler (R),N00031559,11200,Bk2 Holdings,0,11200,2010
3,Jaime Herrera Beutler (R),N00031559,11200,Blackstone Group,0,11200,2010
4,Jaime Herrera Beutler (R),N00031559,11200,Clearpath Foundation,0,11200,2010
5,Jaime Herrera Beutler (R),N00031559,0,Eye of the Tiger PAC,10000,10000,2010
6,Jaime Herrera Beutler (R),N00031559,0,Majority Cmte PAC,10000,10000,2010
7,Jaime Herrera Beutler (R),N00031559,5250,Paccar Inc,3500,8750,2010
8,Jaime Herrera Beutler (R),N00031559,0,American Congress of Obstetricians & Gynecologists,8500,8500,2010
9,Jaime Herrera Beutler (R),N00031559,8476,Show Me Institute,0,8476,2010
0,Jaime Herrera Beutler (R),N00031559,18000,Pacific Bells Inc,0,18000,2012
1,Jaime Herrera Beutler (R),N00031559,15000,Moneytree Inc,0,15000,2012
2,Jaime Herrera Beutler (R),N00031559,11500,Kiewit Pacific Co,0,11500,2012
3,Jaime Herrera Beutler (R),N00031559,1259,Boeing Co,10000,11259,2012
4,Jaime Herrera Beutler (R),N00031559,11000,L&E Bottling,0,11000,2012
5,Jaime Herrera Beutler (R),N00031559,4250,Weyerhaeuser Co,6500,10750,2012
6,Jaime Herrera Beutler (R),N00031559,10500,Jea Senior Living,0,10500,2012
7,Jaime Herrera Beutler (R),N00031559,250,Pacific Seafood Group,10000,10250,2012
8,Jaime Herrera Beutler (R),N00031559,10000,Acorn Ventures,0,10000,2012
9,Jaime Herrera Beutler (R),N00031559,0,Credit Union National Assn,10000,10000,2012
0,Jaime Herrera Beutler (R),N00031559,8050,Weyerhaeuser Co,10000,18050,2014
1,Jaime Herrera Beutler (R),N00031559,11400,Jea Senior Living,0,11400,2014
2,Jaime Herrera Beutler (R),N00031559,10700,Pacific Bells Inc,0,10700,2014
3,Jaime Herrera Beutler (R),N00031559,4100,Microsoft Corp,6500,10600,2014
4,Jaime Herrera Beutler (R),N00031559,10400,Acorn Ventures,0,10400,2014
5,Jaime Herrera Beutler (R),N00031559,10400,APE,0,10400,2014
6,Jaime Herrera Beutler (R),N00031559,10400,Fisher Investments,0,10400,2014
7,Jaime Herrera Beutler (R),N00031559,10400,Holland Partner Group,0,10400,2014
8,Jaime Herrera Beutler (R),N00031559,10400,Kiewit Pacific Co,0,10400,2014
9,Jaime Herrera Beutler (R),N00031559,10400,Nierenberg Investment Management,0,10400,2014
0,Jaime Herrera Beutler (R),N00031559,12500,Fisher Investments,0,12500,2016
1,Jaime Herrera Beutler (R),N00031559,11700,L&E Bottling Co,0,11700,2016
2,Jaime Herrera Beutler (R),N00031559,10800,Acorn Ventures,0,10800,2016
3,Jaime Herrera Beutler (R),N00031559,10800,Holland Partner Group,0,10800,2016
4,Jaime Herrera Beutler (R),N00031559,10746,Big Al's-Barrel Cellars,0,10746,2016
5,Jaime Herrera Beutler (R),N00031559,500,Weyerhaeuser Co,10000,10500,2016
6,Jaime Herrera Beutler (R),N00031559,10400,Columbia Vista Corp,0,10400,2016
7,Jaime Herrera Beutler (R),N00031559,0,Boeing Co,10000,10000,2016
8,Jaime Herrera Beutler (R),N00031559,0,Credit Union National Assn,10000,10000,2016
9,Jaime Herrera Beutler (R),N00031559,0,Majority Cmte PAC,10000,10000,2016
0,Jaime Herrera Beutler (R),N00031559,13400,DaVita Inc,8500,21900,2018
1,Jaime Herrera Beutler (R),N00031559,21600,Fisher Investments,0,21600,2018
2,Jaime Herrera Beutler (R),N00031559,18500,Trident Seafoods,2700,21200,2018
3,Jaime Herrera Beutler (R),N00031559,8650,Weyerhaeuser Co,10000,18650,2018
4,Jaime Herrera Beutler (R),N00031559,15800,L&E Bottling Co,0,15800,2018
5,Jaime Herrera Beutler (R),N00031559,14200,Columbia Ventures,0,14200,2018
6,Jaime Herrera Beutler (R),N00031559,6600,Susan B Anthony List,7500,14100,2018
7,Jaime Herrera Beutler (R),N00031559,13400,Pacific Bells Inc,0,13400,2018
8,Jaime Herrera Beutler (R),N00031559,8100,Winning for Women,5000,13100,2018
9,Jaime Herrera Beutler (R),N00031559,6125,Pacific Seafood Processors Assn,5000,11125,2018
