,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Austin Scott (R),N00032457,0,Farm Credit Council,10000,10000,2010
1,Austin Scott (R),N00032457,1000,Land O'Lakes,7500,8500,2010
2,Austin Scott (R),N00032457,0,Home Depot,7500,7500,2010
3,Austin Scott (R),N00032457,6100,Allen Pritchett & Bassett LLP,0,6100,2010
4,Austin Scott (R),N00032457,5600,Bloodworth Wholesale,0,5600,2010
5,Austin Scott (R),N00032457,5600,Butler Automotive Group,0,5600,2010
6,Austin Scott (R),N00032457,5600,H2 Capital,0,5600,2010
7,Austin Scott (R),N00032457,5600,Herb Realty,0,5600,2010
8,Austin Scott (R),N00032457,5600,Yancey Brothers,0,5600,2010
9,Austin Scott (R),N00032457,0,AFLAC Inc,5000,5000,2010
0,Austin Scott (R),N00032457,25800,Lasseter Tractor,0,25800,2012
1,Austin Scott (R),N00032457,12800,Georgia Sports Medicine,0,12800,2012
2,Austin Scott (R),N00032457,250,Northrop Grumman,10000,10250,2012
3,Austin Scott (R),N00032457,0,AFLAC Inc,10000,10000,2012
4,Austin Scott (R),N00032457,0,American Assn of Orthopaedic Surgeons,10000,10000,2012
5,Austin Scott (R),N00032457,0,Deere & Co,10000,10000,2012
6,Austin Scott (R),N00032457,0,Every Republican is Crucial PAC,10000,10000,2012
7,Austin Scott (R),N00032457,0,Georgia Power,10000,10000,2012
8,Austin Scott (R),N00032457,0,Home Depot,10000,10000,2012
9,Austin Scott (R),N00032457,0,Honeywell International,9998,9998,2012
0,Austin Scott (R),N00032457,13000,Lasseter Tractor,0,13000,2014
1,Austin Scott (R),N00032457,0,United Parcel Service,12500,12500,2014
2,Austin Scott (R),N00032457,0,National Cattlemen's Beef Assn,11000,11000,2014
3,Austin Scott (R),N00032457,500,Coca-Cola Co,10000,10500,2014
4,Austin Scott (R),N00032457,500,Home Depot,10000,10500,2014
5,Austin Scott (R),N00032457,500,Northrop Grumman,10000,10500,2014
6,Austin Scott (R),N00032457,10400,Daniel Defense,0,10400,2014
7,Austin Scott (R),N00032457,0,American Assn of Orthopaedic Surgeons,10000,10000,2014
8,Austin Scott (R),N00032457,0,American Crystal Sugar,10000,10000,2014
9,Austin Scott (R),N00032457,0,Deere & Co,10000,10000,2014
0,Austin Scott (R),N00032457,10000,Intercontinental Exchange Inc,10000,20000,2016
1,Austin Scott (R),N00032457,0,AFLAC Inc,10000,10000,2016
2,Austin Scott (R),N00032457,0,American Assn of Orthopaedic Surgeons,10000,10000,2016
3,Austin Scott (R),N00032457,0,American Crystal Sugar,10000,10000,2016
4,Austin Scott (R),N00032457,0,Coca-Cola Co,10000,10000,2016
5,Austin Scott (R),N00032457,0,Deere & Co,10000,10000,2016
6,Austin Scott (R),N00032457,0,Farm Credit Council,10000,10000,2016
7,Austin Scott (R),N00032457,0,Georgia Power,10000,10000,2016
8,Austin Scott (R),N00032457,0,Home Depot,10000,10000,2016
9,Austin Scott (R),N00032457,0,Honeywell International,10000,10000,2016
0,Austin Scott (R),N00032457,1000,Home Depot,10000,11000,2018
1,Austin Scott (R),N00032457,10800,Daniel Defense,0,10800,2018
2,Austin Scott (R),N00032457,501,Northrop Grumman,10000,10501,2018
3,Austin Scott (R),N00032457,500,Georgia Power,10000,10500,2018
4,Austin Scott (R),N00032457,0,AFLAC Inc,10000,10000,2018
5,Austin Scott (R),N00032457,0,Alabama Farmers Federation,10000,10000,2018
6,Austin Scott (R),N00032457,0,American Crystal Sugar,10000,10000,2018
7,Austin Scott (R),N00032457,0,Archer Daniels Midland,10000,10000,2018
8,Austin Scott (R),N00032457,0,Deere & Co,10000,10000,2018
9,Austin Scott (R),N00032457,0,Desert Caucus,10000,10000,2018
