,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Michael McCaul (R),N00026460,30000,iHeartCommunications Inc,4000,34000,2012
1,Michael McCaul (R),N00026460,8000,Dell Technologies,10000,18000,2012
2,Michael McCaul (R),N00026460,3500,Deloitte LLP,10000,13500,2012
3,Michael McCaul (R),N00026460,10650,Harmony Public Schools,0,10650,2012
4,Michael McCaul (R),N00026460,0,American Bankers Assn,10000,10000,2012
5,Michael McCaul (R),N00026460,0,American Crystal Sugar,10000,10000,2012
6,Michael McCaul (R),N00026460,0,BAE Systems,10000,10000,2012
7,Michael McCaul (R),N00026460,10000,Heritage Title Co of Austin,0,10000,2012
8,Michael McCaul (R),N00026460,10000,Horizon Bank,0,10000,2012
9,Michael McCaul (R),N00026460,0,International Franchise Assn,10000,10000,2012
0,Michael McCaul (R),N00026460,15600,Duty Free Americas,0,15600,2014
1,Michael McCaul (R),N00026460,2500,Deloitte LLP,10000,12500,2014
2,Michael McCaul (R),N00026460,4500,Osi Systems,7000,11500,2014
3,Michael McCaul (R),N00026460,11400,Silver Eagle Distributors,0,11400,2014
4,Michael McCaul (R),N00026460,1000,Boeing Co,10000,11000,2014
5,Michael McCaul (R),N00026460,1600,Honeywell International,9000,10600,2014
6,Michael McCaul (R),N00026460,10100,Fred Haas Toyota Country,0,10100,2014
7,Michael McCaul (R),N00026460,1000,AT&T Inc,9000,10000,2014
8,Michael McCaul (R),N00026460,0,BNSF Railway,10000,10000,2014
9,Michael McCaul (R),N00026460,0,CSX Corp,10000,10000,2014
0,Michael McCaul (R),N00026460,26000,Duty Free Americas,0,26000,2016
1,Michael McCaul (R),N00026460,20400,Woodbranch Investments,0,20400,2016
2,Michael McCaul (R),N00026460,14000,Southwest Airlines,4999,18999,2016
3,Michael McCaul (R),N00026460,15000,Pan Am Equities,0,15000,2016
4,Michael McCaul (R),N00026460,13050,Clear,0,13050,2016
5,Michael McCaul (R),N00026460,12400,Fred Haas Toyota Country,0,12400,2016
6,Michael McCaul (R),N00026460,10800,Cypress Real Estate Advisors,0,10800,2016
7,Michael McCaul (R),N00026460,10800,Dannenbaum Engineering,0,10800,2016
8,Michael McCaul (R),N00026460,10800,Silver Eagle Distributors,0,10800,2016
9,Michael McCaul (R),N00026460,10700,Fifth Generation Inc,0,10700,2016
0,Michael McCaul (R),N00026460,27000,S&B Engineers & Constructors,5000,32000,2018
1,Michael McCaul (R),N00026460,9500,Leidos Inc,8500,18000,2018
2,Michael McCaul (R),N00026460,15200,Sentrillion,0,15200,2018
3,Michael McCaul (R),N00026460,13500,Astrophysics Inc,0,13500,2018
4,Michael McCaul (R),N00026460,13500,Maund Auto Group,0,13500,2018
5,Michael McCaul (R),N00026460,2500,Osi Systems,10000,12500,2018
6,Michael McCaul (R),N00026460,11905,Fred Haas Toyota Country,0,11905,2018
7,Michael McCaul (R),N00026460,1000,AT&T Inc,10000,11000,2018
8,Michael McCaul (R),N00026460,10800,Core Laboratories,0,10800,2018
9,Michael McCaul (R),N00026460,10800,Dannenbaum Engineering,0,10800,2018
0,Tom McClintock (R),N00006863,11200,Blackstone Group,0,11200,2010
1,Tom McClintock (R),N00006863,9474,Bernard Marcus Family Foundation,0,9474,2010
2,Tom McClintock (R),N00006863,8476,Show Me Institute,0,8476,2010
3,Tom McClintock (R),N00006863,5600,Bk2 Holdings,0,5600,2010
4,Tom McClintock (R),N00006863,5600,Crown Assoc Realty,0,5600,2010
5,Tom McClintock (R),N00006863,5600,Franklin Mountain Management,0,5600,2010
6,Tom McClintock (R),N00006863,5600,Irving Moskowitz Foundation,0,5600,2010
7,Tom McClintock (R),N00006863,5600,Mountaire Corp,0,5600,2010
8,Tom McClintock (R),N00006863,5600,Parman Capital Group,0,5600,2010
9,Tom McClintock (R),N00006863,5600,Senegence International,0,5600,2010
