,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Andy Barr (R),N00031233,36500,Alliance Coal,5000,41500,2012
1,Andy Barr (R),N00031233,20950,University of Kentucky,0,20950,2012
2,Andy Barr (R),N00031233,20000,Mahlon Miller & Sons,0,20000,2012
3,Andy Barr (R),N00031233,20000,Office Suites Plus,0,20000,2012
4,Andy Barr (R),N00031233,19000,Forcht Group of Kentucky,0,19000,2012
5,Andy Barr (R),N00031233,14369,Ball Homes,0,14369,2012
6,Andy Barr (R),N00031233,12500,Mister P Express,0,12500,2012
7,Andy Barr (R),N00031233,12500,Pine Branch Coal Sales,0,12500,2012
8,Andy Barr (R),N00031233,500,Arch Coal,11000,11500,2012
9,Andy Barr (R),N00031233,1500,Express Scripts,10000,11500,2012
0,Andy Barr (R),N00031233,42000,Alliance Coal,11000,53000,2014
1,Andy Barr (R),N00031233,31400,Forcht Group of Kentucky,0,31400,2014
2,Andy Barr (R),N00031233,20100,Lorillard Tobacco,7910,28010,2014
3,Andy Barr (R),N00031233,22500,RJ Corman Railroad Group,0,22500,2014
4,Andy Barr (R),N00031233,13000,Brown-Forman Corp,5000,18000,2014
5,Andy Barr (R),N00031233,13000,Arch Coal,2500,15500,2014
6,Andy Barr (R),N00031233,15000,Reschini Group,0,15000,2014
7,Andy Barr (R),N00031233,13698,Jennmar Corp,0,13698,2014
8,Andy Barr (R),N00031233,5100,Patriot Coal Corp,8500,13600,2014
9,Andy Barr (R),N00031233,13200,University of Kentucky,0,13200,2014
0,Andy Barr (R),N00031233,38000,Votesane PAC,0,38000,2016
1,Andy Barr (R),N00031233,24300,RJ Corman Railroad Group,0,24300,2016
2,Andy Barr (R),N00031233,13650,Alliance Coal,10000,23650,2016
3,Andy Barr (R),N00031233,18200,Brown-Forman Corp,4288,22488,2016
4,Andy Barr (R),N00031233,20200,Ball Homes,0,20200,2016
5,Andy Barr (R),N00031233,18900,Mt Brilliant Farm,0,18900,2016
6,Andy Barr (R),N00031233,16000,Matrix Energy,0,16000,2016
7,Andy Barr (R),N00031233,5385,JPMorgan Chase & Co,10000,15385,2016
8,Andy Barr (R),N00031233,1500,Morgan Stanley,10000,11500,2016
9,Andy Barr (R),N00031233,1250,Humana Inc,10000,11250,2016
0,Andy Barr (R),N00031233,31250,Alliance Coal,7500,38750,2018
1,Andy Barr (R),N00031233,21171,Quicken Loans,10000,31171,2018
2,Andy Barr (R),N00031233,13100,Goldman Sachs,10000,23100,2018
3,Andy Barr (R),N00031233,22100,Jennmar Corp,0,22100,2018
4,Andy Barr (R),N00031233,21186,Walker Co,0,21186,2018
5,Andy Barr (R),N00031233,10800,Brown-Forman Corp,10000,20800,2018
6,Andy Barr (R),N00031233,20800,GoldenTree Asset Management,0,20800,2018
7,Andy Barr (R),N00031233,20200,Forcht Group of Kentucky,0,20200,2018
8,Andy Barr (R),N00031233,16800,Ball Homes,0,16800,2018
9,Andy Barr (R),N00031233,16800,Sportsman's Market,0,16800,2018
0,Elizabeth Warren (D),N00033492,506595,EMILY's List,0,506595,2012
1,Elizabeth Warren (D),N00033492,129540,Moveon.org,318977,448517,2012
2,Elizabeth Warren (D),N00033492,242150,Harvard University,0,242150,2012
3,Elizabeth Warren (D),N00033492,99400,Massachusetts Institute of Technology,0,99400,2012
4,Elizabeth Warren (D),N00033492,76200,Boston University,0,76200,2012
5,Elizabeth Warren (D),N00033492,71960,Massachusetts General Hospital,0,71960,2012
6,Elizabeth Warren (D),N00033492,67077,Brown Rudnick LLP,1000,68077,2012
7,Elizabeth Warren (D),N00033492,56450,Harvard University Law School,0,56450,2012
8,Elizabeth Warren (D),N00033492,51931,League of Conservation Voters,2620,54551,2012
9,Elizabeth Warren (D),N00033492,52950,Ropes & Gray,0,52950,2012
