,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Anna Eshoo (D),N00007335,57500,Votesane PAC,0,57500,2018
1,Anna Eshoo (D),N00007335,16200,Oracle Corp,5280,21480,2018
2,Anna Eshoo (D),N00007335,20650,Stanford University,0,20650,2018
3,Anna Eshoo (D),N00007335,18900,"Kleiner, Perkins et al",0,18900,2018
4,Anna Eshoo (D),N00007335,15850,Altos Eye Physicians,0,15850,2018
5,Anna Eshoo (D),N00007335,5400,Cisco Systems,7500,12900,2018
6,Anna Eshoo (D),N00007335,0,Mallinckrodt Pharmaceuticals,11500,11500,2018
7,Anna Eshoo (D),N00007335,10800,Marcus & Millichap,0,10800,2018
8,Anna Eshoo (D),N00007335,10800,ME Fox & Co,0,10800,2018
9,Anna Eshoo (D),N00007335,10800,Parker Foundation,0,10800,2018
0,Chuck Fleischmann (R),N00030815,18700,McKee Foods,0,18700,2010
1,Chuck Fleischmann (R),N00030815,16200,Wright Brothers Construction,0,16200,2010
2,Chuck Fleischmann (R),N00030815,11200,Bechtel Group,0,11200,2010
3,Chuck Fleischmann (R),N00030815,10800,Analysis & Measurement Services,0,10800,2010
4,Chuck Fleischmann (R),N00030815,10800,Oak Ridge National Laboratory,0,10800,2010
5,Chuck Fleischmann (R),N00030815,10600,McKee Baking Co,0,10600,2010
6,Chuck Fleischmann (R),N00030815,0,GEO Group,10000,10000,2010
7,Chuck Fleischmann (R),N00030815,0,Jacobs Engineering Group,10000,10000,2010
8,Chuck Fleischmann (R),N00030815,0,Majority Cmte PAC,10000,10000,2010
9,Chuck Fleischmann (R),N00030815,9200,Protection Strategies Inc,0,9200,2010
0,Chuck Fleischmann (R),N00030815,18000,Unum Group,10000,28000,2012
1,Chuck Fleischmann (R),N00030815,18500,Wright Brothers Construction,0,18500,2012
2,Chuck Fleischmann (R),N00030815,0,Freedom Project,15000,15000,2012
3,Chuck Fleischmann (R),N00030815,0,National Beer Wholesalers Assn,15000,15000,2012
4,Chuck Fleischmann (R),N00030815,14999,Healthmark Ventures,0,14999,2012
5,Chuck Fleischmann (R),N00030815,13000,Lawler Wood LLC,0,13000,2012
6,Chuck Fleischmann (R),N00030815,2750,Husch Blackwell LLP,10000,12750,2012
7,Chuck Fleischmann (R),N00030815,12500,Gibco Construction,0,12500,2012
8,Chuck Fleischmann (R),N00030815,0,Honeywell International,12499,12499,2012
9,Chuck Fleischmann (R),N00030815,11500,Jones Management Services,0,11500,2012
0,Chuck Fleischmann (R),N00030815,32200,DeRoyal Industries,0,32200,2014
1,Chuck Fleischmann (R),N00030815,20700,McKee Foods,0,20700,2014
2,Chuck Fleischmann (R),N00030815,20600,Wright Brothers Construction,0,20600,2014
3,Chuck Fleischmann (R),N00030815,18600,Joseph DeCosimo & Co,0,18600,2014
4,Chuck Fleischmann (R),N00030815,8000,HCA Inc,7500,15500,2014
5,Chuck Fleischmann (R),N00030815,14900,Jones Management Services,0,14900,2014
6,Chuck Fleischmann (R),N00030815,14300,Pointer Management,0,14300,2014
7,Chuck Fleischmann (R),N00030815,13000,Gibco Construction,0,13000,2014
8,Chuck Fleischmann (R),N00030815,2600,Unum Group,10000,12600,2014
9,Chuck Fleischmann (R),N00030815,2500,Bechtel Group,10000,12500,2014
0,Chuck Fleischmann (R),N00030815,31000,DeRoyal Industries,0,31000,2016
1,Chuck Fleischmann (R),N00030815,21500,Pointer Management,0,21500,2016
2,Chuck Fleischmann (R),N00030815,18900,McKee Foods,0,18900,2016
3,Chuck Fleischmann (R),N00030815,8650,Bechtel Group,10000,18650,2016
4,Chuck Fleischmann (R),N00030815,16400,Haury & Smith Contractors,0,16400,2016
5,Chuck Fleischmann (R),N00030815,16000,Ingram Industries,0,16000,2016
6,Chuck Fleischmann (R),N00030815,15900,Wright Brothers Construction,0,15900,2016
7,Chuck Fleischmann (R),N00030815,10000,Unum Group,5000,15000,2016
8,Chuck Fleischmann (R),N00030815,13750,Ucor,0,13750,2016
9,Chuck Fleischmann (R),N00030815,13500,Spectra Tech,0,13500,2016
