,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Marcy Kaptur (D),N00003522,0,American Crystal Sugar,10000,10000,2016
1,Marcy Kaptur (D),N00003522,0,American Federation of State/Cnty/Munic Employees,10000,10000,2016
2,Marcy Kaptur (D),N00003522,0,American Federation of Teachers,10000,10000,2016
3,Marcy Kaptur (D),N00003522,0,American Postal Workers Union,10000,10000,2016
4,Marcy Kaptur (D),N00003522,0,Boeing Co,10000,10000,2016
5,Marcy Kaptur (D),N00003522,0,Communications Workers of America,10000,10000,2016
6,Marcy Kaptur (D),N00003522,0,FirstEnergy Corp,10000,10000,2016
7,Marcy Kaptur (D),N00003522,0,Ford Motor Co,10000,10000,2016
8,Marcy Kaptur (D),N00003522,0,International Brotherhood of Electrical Workers,10000,10000,2016
9,Marcy Kaptur (D),N00003522,0,International Longshoremens Assn,10000,10000,2016
0,Marcy Kaptur (D),N00003522,0,Boilermakers Union Local 85,15000,15000,2018
1,Marcy Kaptur (D),N00003522,11800,Forest City Enterprises,2500,14300,2018
2,Marcy Kaptur (D),N00003522,0,General Atomics,12000,12000,2018
3,Marcy Kaptur (D),N00003522,0,American Assn for Justice,10000,10000,2018
4,Marcy Kaptur (D),N00003522,0,American Crystal Sugar,10000,10000,2018
5,Marcy Kaptur (D),N00003522,0,American Federation of State/Cnty/Munic Employees,10000,10000,2018
6,Marcy Kaptur (D),N00003522,0,American Federation of Teachers,10000,10000,2018
7,Marcy Kaptur (D),N00003522,0,American Postal Workers Union,10000,10000,2018
8,Marcy Kaptur (D),N00003522,0,Bechtel Group,10000,10000,2018
9,Marcy Kaptur (D),N00003522,0,Boeing Co,10000,10000,2018
0,Bill Keating (D),N00031933,10000,Edward G Sawyer Co,0,10000,2010
1,Bill Keating (D),N00031933,0,Raytheon Co,10000,10000,2010
2,Bill Keating (D),N00031933,0,Teamsters Union,10000,10000,2010
3,Bill Keating (D),N00031933,0,BAE Systems,7500,7500,2010
4,Bill Keating (D),N00031933,0,Northrop Grumman,7500,7500,2010
5,Bill Keating (D),N00031933,0,Lockheed Martin,6500,6500,2010
6,Bill Keating (D),N00031933,0,Honeywell International,6000,6000,2010
7,Bill Keating (D),N00031933,5600,Rentals Unlimited,0,5600,2010
8,Bill Keating (D),N00031933,0,American Federation of State/Cnty/Munic Employees,5000,5000,2010
9,Bill Keating (D),N00031933,0,Machinists/Aerospace Workers Union,5000,5000,2010
0,Bill Keating (D),N00031933,10250,DLA Piper,2000,12250,2012
1,Bill Keating (D),N00031933,9500,Nixon Peabody LLP,2000,11500,2012
2,Bill Keating (D),N00031933,1000,EMD Serono Inc,10000,11000,2012
3,Bill Keating (D),N00031933,11000,Src Sales & Marketing,0,11000,2012
4,Bill Keating (D),N00031933,0,AmeriPAC: The Fund for a Greater America,10000,10000,2012
5,Bill Keating (D),N00031933,0,Carpenters & Joiners Union,10000,10000,2012
6,Bill Keating (D),N00031933,0,International Assn of Fire Fighters,10000,10000,2012
7,Bill Keating (D),N00031933,0,International Brotherhood of Electrical Workers,10000,10000,2012
8,Bill Keating (D),N00031933,0,Machinists/Aerospace Workers Union,10000,10000,2012
9,Bill Keating (D),N00031933,0,National Beer Wholesalers Assn,10000,10000,2012
0,Bill Keating (D),N00031933,12590,Superior Plumbing,0,12590,2014
1,Bill Keating (D),N00031933,10100,Src Sales & Marketing,0,10100,2014
2,Bill Keating (D),N00031933,0,American Assn for Justice,10000,10000,2014
3,Bill Keating (D),N00031933,0,American Crystal Sugar,10000,10000,2014
4,Bill Keating (D),N00031933,0,American Federation of Teachers,10000,10000,2014
5,Bill Keating (D),N00031933,0,AmeriPAC: The Fund for a Greater America,10000,10000,2014
6,Bill Keating (D),N00031933,0,Carpenters & Joiners Union,10000,10000,2014
7,Bill Keating (D),N00031933,0,EMD Serono Inc,10000,10000,2014
8,Bill Keating (D),N00031933,0,Honeywell International,10000,10000,2014
9,Bill Keating (D),N00031933,0,International Assn of Fire Fighters,10000,10000,2014
