,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Derek Kilmer (D),N00034453,23400,Microsoft Corp,7500,30900,2018
1,Derek Kilmer (D),N00034453,11800,New Democrat Coalition,5000,16800,2018
2,Derek Kilmer (D),N00034453,4750,Weyerhaeuser Co,10000,14750,2018
3,Derek Kilmer (D),N00034453,2500,Amazon.Com,10000,12500,2018
4,Derek Kilmer (D),N00034453,1910,Boeing Co,10000,11910,2018
5,Derek Kilmer (D),N00034453,11022,Digital Control Inc,0,11022,2018
6,Derek Kilmer (D),N00034453,10800,Far Star Ventures,0,10800,2018
7,Derek Kilmer (D),N00034453,10800,Wilburforce Foundation,0,10800,2018
8,Derek Kilmer (D),N00034453,2,Home Depot,10000,10002,2018
9,Derek Kilmer (D),N00034453,0,Air Line Pilots Assn,10000,10000,2018
0,Dennis Heck (D),N00031557,34660,State of Washington,0,34660,2012
1,Dennis Heck (D),N00031557,18500,Democratic Congressional Campaign Cmte,3035,21535,2012
2,Dennis Heck (D),N00031557,16814,Strategies 360,0,16814,2012
3,Dennis Heck (D),N00031557,4500,Russell Investments,10000,14500,2012
4,Dennis Heck (D),N00031557,10050,Microsoft Corp,3500,13550,2012
5,Dennis Heck (D),N00031557,3200,Boeing Co,10000,13200,2012
6,Dennis Heck (D),N00031557,3000,New Democrat Coalition,10000,13000,2012
7,Dennis Heck (D),N00031557,12750,Denny Miller Assoc,0,12750,2012
8,Dennis Heck (D),N00031557,11350,University of Washington,0,11350,2012
9,Dennis Heck (D),N00031557,0,Amalgamated Transit Union,10000,10000,2012
0,Dennis Heck (D),N00031557,24700,State of Washington,0,24700,2014
1,Dennis Heck (D),N00031557,17900,Strategies 360,0,17900,2014
2,Dennis Heck (D),N00031557,5800,Boeing Co,10000,15800,2014
3,Dennis Heck (D),N00031557,2750,Puget Sound Energy,9999,12749,2014
4,Dennis Heck (D),N00031557,12650,Madrona Venture Group,0,12650,2014
5,Dennis Heck (D),N00031557,0,Russell Investments,12500,12500,2014
6,Dennis Heck (D),N00031557,500,International Brotherhood of Electrical Workers,10000,10500,2014
7,Dennis Heck (D),N00031557,500,Investment Co Institute,10000,10500,2014
8,Dennis Heck (D),N00031557,10400,"Doughty, Hanson & Co",0,10400,2014
9,Dennis Heck (D),N00031557,0,American Federation of State/Cnty/Munic Employees,10000,10000,2014
0,Dennis Heck (D),N00031557,56500,Votesane PAC,0,56500,2016
1,Dennis Heck (D),N00031557,9300,Boeing Co,10000,19300,2016
2,Dennis Heck (D),N00031557,13970,State Of Washington,0,13970,2016
3,Dennis Heck (D),N00031557,500,Credit Union National Assn,10000,10500,2016
4,Dennis Heck (D),N00031557,0,American Bankers Assn,10000,10000,2016
5,Dennis Heck (D),N00031557,0,American Land Title Assn,10000,10000,2016
6,Dennis Heck (D),N00031557,0,Ernst & Young,10000,10000,2016
7,Dennis Heck (D),N00031557,0,General Electric,10000,10000,2016
8,Dennis Heck (D),N00031557,0,Honeywell International,10000,10000,2016
9,Dennis Heck (D),N00031557,0,Investment Co Institute,10000,10000,2016
0,Dennis Heck (D),N00031557,14125,State of Washington,0,14125,2018
1,Dennis Heck (D),N00031557,3200,Boeing Co,10000,13200,2018
2,Dennis Heck (D),N00031557,8400,Annaly Capital Management,2700,11100,2018
3,Dennis Heck (D),N00031557,10400,"Doughty, Hanson & Co",0,10400,2018
4,Dennis Heck (D),N00031557,0,American Assn for Justice,10000,10000,2018
5,Dennis Heck (D),N00031557,0,American Institute of CPAs,10000,10000,2018
6,Dennis Heck (D),N00031557,0,American Land Title Assn,10000,10000,2018
7,Dennis Heck (D),N00031557,0,Capital One Financial,10000,10000,2018
8,Dennis Heck (D),N00031557,0,Credit Union National Assn,10000,10000,2018
9,Dennis Heck (D),N00031557,0,Deloitte LLP,10000,10000,2018
