,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Rob Wittman (R),N00029459,10150,Huntington Ingalls Industries,10000,20150,2012
1,Rob Wittman (R),N00029459,500,Dominion Resources,10000,10500,2012
2,Rob Wittman (R),N00029459,10500,Hilldrup Moving & Storage,0,10500,2012
3,Rob Wittman (R),N00029459,0,American Bankers Assn,10000,10000,2012
4,Rob Wittman (R),N00029459,0,American Maritime Officers,10000,10000,2012
5,Rob Wittman (R),N00029459,0,Anheuser-Busch,10000,10000,2012
6,Rob Wittman (R),N00029459,0,BAE Systems,10000,10000,2012
7,Rob Wittman (R),N00029459,10000,Bevans Oyster Co,0,10000,2012
8,Rob Wittman (R),N00029459,0,Boeing Co,10000,10000,2012
9,Rob Wittman (R),N00029459,0,Deloitte LLP,10000,10000,2012
0,Rob Wittman (R),N00029459,15100,Huntington Ingalls Industries,10000,25100,2014
1,Rob Wittman (R),N00029459,13150,Hilldrup Companies,0,13150,2014
2,Rob Wittman (R),N00029459,2800,Lockheed Martin,10000,12800,2014
3,Rob Wittman (R),N00029459,1500,SAIC,10000,11500,2014
4,Rob Wittman (R),N00029459,0,American Bankers Assn,10000,10000,2014
5,Rob Wittman (R),N00029459,0,American Maritime Officers,10000,10000,2014
6,Rob Wittman (R),N00029459,0,BAE Systems,10000,10000,2014
7,Rob Wittman (R),N00029459,0,Boeing Co,10000,10000,2014
8,Rob Wittman (R),N00029459,0,CSX Corp,10000,10000,2014
9,Rob Wittman (R),N00029459,0,Deloitte LLP,10000,10000,2014
0,Rob Wittman (R),N00029459,9000,Huntington Ingalls Industries,9500,18500,2016
1,Rob Wittman (R),N00029459,2700,Lockheed Martin,10000,12700,2016
2,Rob Wittman (R),N00029459,10800,Bevans Oyster Co,0,10800,2016
3,Rob Wittman (R),N00029459,0,American Bankers Assn,10000,10000,2016
4,Rob Wittman (R),N00029459,0,Anheuser-Busch,10000,10000,2016
5,Rob Wittman (R),N00029459,0,BAE Systems,10000,10000,2016
6,Rob Wittman (R),N00029459,0,CSX Corp,10000,10000,2016
7,Rob Wittman (R),N00029459,0,Deloitte LLP,10000,10000,2016
8,Rob Wittman (R),N00029459,0,Honeywell International,10000,10000,2016
9,Rob Wittman (R),N00029459,0,National Air Traffic Controllers Assn,10000,10000,2016
0,Rob Wittman (R),N00029459,21400,Huntington Ingalls Industries,10000,31400,2018
1,Rob Wittman (R),N00029459,17150,Hilldrup Companies,0,17150,2018
2,Rob Wittman (R),N00029459,2000,General Dynamics,10000,12000,2018
3,Rob Wittman (R),N00029459,2000,Lockheed Martin,10000,12000,2018
4,Rob Wittman (R),N00029459,1000,Cox Enterprises,10000,11000,2018
5,Rob Wittman (R),N00029459,10800,Bevans Oyster Co,0,10800,2018
6,Rob Wittman (R),N00029459,500,Raytheon Co,10000,10500,2018
7,Rob Wittman (R),N00029459,450,L3 Technologies,10000,10450,2018
8,Rob Wittman (R),N00029459,250,BAE Systems,10000,10250,2018
9,Rob Wittman (R),N00029459,250,BWX Technologies,10000,10250,2018
0,Steve Womack (R),N00031857,17800,Stephens Inc,0,17800,2010
1,Steve Womack (R),N00031857,0,Lockheed Martin,8000,8000,2010
2,Steve Womack (R),N00031857,0,General Dynamics,7500,7500,2010
3,Steve Womack (R),N00031857,0,Home Depot,7500,7500,2010
4,Steve Womack (R),N00031857,1050,Walmart Inc,5000,6050,2010
5,Steve Womack (R),N00031857,0,Koch Industries,6000,6000,2010
6,Steve Womack (R),N00031857,5600,Kansas City Royals,0,5600,2010
7,Steve Womack (R),N00031857,5600,Mathews Management Co,0,5600,2010
8,Steve Womack (R),N00031857,5300,McKee Foods,0,5300,2010
9,Steve Womack (R),N00031857,5300,S-3 Group,0,5300,2010
