,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Kevin McCarthy (R),N00028152,24500,Oracle Corp,5000,29500,2012
1,Kevin McCarthy (R),N00028152,16000,Chevron Corp,10000,26000,2012
2,Kevin McCarthy (R),N00028152,13500,Comcast Corp,12500,26000,2012
3,Kevin McCarthy (R),N00028152,24000,Pacific Advisors,0,24000,2012
4,Kevin McCarthy (R),N00028152,12500,Occidental Petroleum,10000,22500,2012
5,Kevin McCarthy (R),N00028152,11000,Goldman Sachs,10000,21000,2012
6,Kevin McCarthy (R),N00028152,12500,Bechtel Group,5000,17500,2012
7,Kevin McCarthy (R),N00028152,7500,Enterprise Rent-A-Car,10000,17500,2012
8,Kevin McCarthy (R),N00028152,0,American Health Care Assn,15000,15000,2012
9,Kevin McCarthy (R),N00028152,15000,Carlyle Group,0,15000,2012
0,Kevin McCarthy (R),N00028152,91250,Votesane PAC,0,91250,2014
1,Kevin McCarthy (R),N00028152,45800,Clean Energy Fuels Corp,0,45800,2014
2,Kevin McCarthy (R),N00028152,30350,Wells Fargo,10000,40350,2014
3,Kevin McCarthy (R),N00028152,21100,Comcast Corp,17500,38600,2014
4,Kevin McCarthy (R),N00028152,28150,Goldman Sachs,10000,38150,2014
5,Kevin McCarthy (R),N00028152,24600,Chevron Corp,10000,34600,2014
6,Kevin McCarthy (R),N00028152,31320,State Farm Insurance,0,31320,2014
7,Kevin McCarthy (R),N00028152,17100,Hewlett-Packard,10000,27100,2014
8,Kevin McCarthy (R),N00028152,17400,Gilead Sciences,8000,25400,2014
9,Kevin McCarthy (R),N00028152,10000,Gen Equity,10000,20000,2014
0,Kevin McCarthy (R),N00028152,62800,Goldman Sachs,10000,72800,2016
1,Kevin McCarthy (R),N00028152,51500,Farmers Insurance,0,51500,2016
2,Kevin McCarthy (R),N00028152,37600,Altria Group,10000,47600,2016
3,Kevin McCarthy (R),N00028152,33750,Amgen Inc,10000,43750,2016
4,Kevin McCarthy (R),N00028152,43000,California Resources Corp,0,43000,2016
5,Kevin McCarthy (R),N00028152,26300,New York Life Insurance,10000,36300,2016
6,Kevin McCarthy (R),N00028152,32000,Grimmway Farms,0,32000,2016
7,Kevin McCarthy (R),N00028152,20400,Microsoft Corp,10000,30400,2016
8,Kevin McCarthy (R),N00028152,20000,USAA,10000,30000,2016
9,Kevin McCarthy (R),N00028152,18900,Capital Group Companies,10000,28900,2016
0,Kevin McCarthy (R),N00028152,79300,Goldman Sachs,10000,89300,2018
1,Kevin McCarthy (R),N00028152,44350,MetLife Inc,10000,54350,2018
2,Kevin McCarthy (R),N00028152,40600,Citigroup Inc,10000,50600,2018
3,Kevin McCarthy (R),N00028152,48600,Federated Investors Inc,0,48600,2018
4,Kevin McCarthy (R),N00028152,34500,Oracle Corp,10000,44500,2018
5,Kevin McCarthy (R),N00028152,34350,Amgen Inc,10000,44350,2018
6,Kevin McCarthy (R),N00028152,27500,Gilead Sciences,10000,37500,2018
7,Kevin McCarthy (R),N00028152,33200,NorPAC,0,33200,2018
8,Kevin McCarthy (R),N00028152,21050,Altria Group,10000,31050,2018
9,Kevin McCarthy (R),N00028152,19700,Eli Lilly & Co,10000,29700,2018
0,Michael McCaul (R),N00026460,11200,Assemblies of God Bible Institute,0,11200,2010
1,Michael McCaul (R),N00026460,11200,Blackstone Group,0,11200,2010
2,Michael McCaul (R),N00026460,11200,Hya Enterprise,0,11200,2010
3,Michael McCaul (R),N00026460,11200,iHeartMedia Inc,0,11200,2010
4,Michael McCaul (R),N00026460,11200,Lanier Law Firm,0,11200,2010
5,Michael McCaul (R),N00026460,11200,Supply Chain Management Consultant,0,11200,2010
6,Michael McCaul (R),N00026460,10800,Maund Auto Group,0,10800,2010
7,Michael McCaul (R),N00026460,10800,Williams Brothers Construction,0,10800,2010
8,Michael McCaul (R),N00026460,0,Deloitte LLP,10000,10000,2010
9,Michael McCaul (R),N00026460,0,Desert Caucus,10000,10000,2010
