,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Duncan D. Hunter (R),N00029258,5800,Island Doctors,0,5800,2010
1,Duncan D. Hunter (R),N00029258,5600,Majestic Realty,0,5600,2010
2,Duncan D. Hunter (R),N00029258,5500,Presidio Components,0,5500,2010
3,Duncan D. Hunter (R),N00029258,0,Peace Through Strength PAC,5000,5000,2010
4,Duncan D. Hunter (R),N00029258,3000,Rt Management Services LLC,0,3000,2010
5,Duncan D. Hunter (R),N00029258,2800,Bel-Air Swap Meet,0,2800,2010
6,Duncan D. Hunter (R),N00029258,2800,Cr Laurence Co,0,2800,2010
7,Duncan D. Hunter (R),N00029258,2800,Land Mgr & Investor,0,2800,2010
8,Duncan D. Hunter (R),N00029258,2800,Park Place Group,0,2800,2010
9,Duncan D. Hunter (R),N00029258,2700,Aaa Environmental,0,2700,2010
0,Duncan D Hunter (R),N00029258,6450,General Atomics,10000,16450,2012
1,Duncan D Hunter (R),N00029258,4300,BAE Systems,10000,14300,2012
2,Duncan D Hunter (R),N00029258,1200,General Dynamics,10000,11200,2012
3,Duncan D Hunter (R),N00029258,0,American Assn of Orthopaedic Surgeons,10000,10000,2012
4,Duncan D Hunter (R),N00029258,0,American Crystal Sugar,10000,10000,2012
5,Duncan D Hunter (R),N00029258,0,American Maritime Officers,10000,10000,2012
6,Duncan D Hunter (R),N00029258,0,AT&T Inc,10000,10000,2012
7,Duncan D Hunter (R),N00029258,0,Bridgepoint Education,10000,10000,2012
8,Duncan D Hunter (R),N00029258,0,Cobham Management Services,10000,10000,2012
9,Duncan D Hunter (R),N00029258,0,Honeywell International,10000,10000,2012
0,Duncan D Hunter (R),N00029258,31100,Edison Chouest Offshore,0,31100,2014
1,Duncan D Hunter (R),N00029258,2600,General Atomics,10000,12600,2014
2,Duncan D Hunter (R),N00029258,1500,BAE Systems,10000,11500,2014
3,Duncan D Hunter (R),N00029258,11500,Bollinger Shipyards,0,11500,2014
4,Duncan D Hunter (R),N00029258,0,American Assn of Orthopaedic Surgeons,10000,10000,2014
5,Duncan D Hunter (R),N00029258,0,American Resort Development Assn,10000,10000,2014
6,Duncan D Hunter (R),N00029258,0,American Waterways Operators,10000,10000,2014
7,Duncan D Hunter (R),N00029258,0,AT&T Inc,10000,10000,2014
8,Duncan D Hunter (R),N00029258,0,Boeing Co,10000,10000,2014
9,Duncan D Hunter (R),N00029258,0,Boilermakers Union,10000,10000,2014
0,Duncan D Hunter (R),N00029258,20250,General Atomics,10000,30250,2016
1,Duncan D Hunter (R),N00029258,12800,Edison Chouest Offshore,0,12800,2016
2,Duncan D Hunter (R),N00029258,1000,Cubic Corp,10000,11000,2016
3,Duncan D Hunter (R),N00029258,1000,Northrop Grumman,10000,11000,2016
4,Duncan D Hunter (R),N00029258,7250,Van Scoyoc Assoc,2976,10226,2016
5,Duncan D Hunter (R),N00029258,0,American Assn of Orthopaedic Surgeons,10000,10000,2016
6,Duncan D Hunter (R),N00029258,0,American Council of Engineering Cos,10000,10000,2016
7,Duncan D Hunter (R),N00029258,0,American Crystal Sugar,10000,10000,2016
8,Duncan D Hunter (R),N00029258,0,American Waterways Operators,10000,10000,2016
9,Duncan D Hunter (R),N00029258,0,AT&T Inc,10000,10000,2016
0,Duncan D Hunter (R),N00029258,2500,General Dynamics,10000,12500,2018
1,Duncan D Hunter (R),N00029258,0,Cubic Corp,11000,11000,2018
2,Duncan D Hunter (R),N00029258,250,General Atomics,10000,10250,2018
3,Duncan D Hunter (R),N00029258,0,Bill PAC (Shuster),10000,10000,2018
4,Duncan D Hunter (R),N00029258,0,BRETTPAC,10000,10000,2018
5,Duncan D Hunter (R),N00029258,0,Eureka PAC,10000,10000,2018
6,Duncan D Hunter (R),N00029258,0,Majority Cmte PAC,10000,10000,2018
7,Duncan D Hunter (R),N00029258,0,National Funeral Directors Assn,10000,10000,2018
8,Duncan D Hunter (R),N00029258,0,Peace Through Strength PAC,10000,10000,2018
9,Duncan D Hunter (R),N00029258,10000,Total Military Management,0,10000,2018
