,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Mac Thornberry (R),N00006052,26900,Raytheon Co,10000,36900,2018
1,Mac Thornberry (R),N00006052,19350,General Atomics,10000,29350,2018
2,Mac Thornberry (R),N00006052,17750,BAE Systems,10000,27750,2018
3,Mac Thornberry (R),N00006052,10600,MacAndrews & Forbes,5000,15600,2018
4,Mac Thornberry (R),N00006052,5400,Northrop Grumman,10000,15400,2018
5,Mac Thornberry (R),N00006052,13500,Dian Graves Owen Foundation,0,13500,2018
6,Mac Thornberry (R),N00006052,3500,Huntington Ingalls Industries,10000,13500,2018
7,Mac Thornberry (R),N00006052,1000,Lockheed Martin,10000,11000,2018
8,Mac Thornberry (R),N00006052,1000,Parsons Corp,10000,11000,2018
9,Mac Thornberry (R),N00006052,10800,Hunt Companies,0,10800,2018
0,John Thune (R),N00004572,63700,NextEra Energy,9500,73200,2010
1,John Thune (R),N00004572,44200,Blackstone Group,0,44200,2010
2,John Thune (R),N00004572,40800,Arizona Tile,0,40800,2010
3,John Thune (R),N00004572,18600,Schneider National,20000,38600,2010
4,John Thune (R),N00004572,30250,Sinclair Broadcast Group,7000,37250,2010
5,John Thune (R),N00004572,29633,New York Life Insurance,6000,35633,2010
6,John Thune (R),N00004572,23000,Prudential Financial,12000,35000,2010
7,John Thune (R),N00004572,29800,Capital Group Companies,0,29800,2010
8,John Thune (R),N00004572,19150,Verizon Communications,10000,29150,2010
9,John Thune (R),N00004572,17000,AT&T Inc,10000,27000,2010
0,John Thune (R),N00004572,38000,NextEra Energy,7000,45000,2016
1,John Thune (R),N00004572,42746,Sanford Health,0,42746,2016
2,John Thune (R),N00004572,36999,Blackstone Group,0,36999,2016
3,John Thune (R),N00004572,34600,Arizona Tile,0,34600,2016
4,John Thune (R),N00004572,23000,Prudential Financial,10000,33000,2016
5,John Thune (R),N00004572,28250,Sinclair Broadcast Group,3000,31250,2016
6,John Thune (R),N00004572,19150,Verizon Communications,10000,29150,2016
7,John Thune (R),N00004572,15600,Schneider National,12500,28100,2016
8,John Thune (R),N00004572,17000,AT&T Inc,10000,27000,2016
9,John Thune (R),N00004572,13200,Comcast Corp,10000,23200,2016
0,Scott Tipton (R),N00027509,25410,WinRed,0,25410,2010
1,Scott Tipton (R),N00027509,11200,Bancroft Investments,0,11200,2010
2,Scott Tipton (R),N00027509,0,Raytheon Co,10000,10000,2010
3,Scott Tipton (R),N00027509,5600,Bank of America,2000,7600,2010
4,Scott Tipton (R),N00027509,0,Lockheed Martin,6000,6000,2010
5,Scott Tipton (R),N00027509,0,Xcel Energy,6000,6000,2010
6,Scott Tipton (R),N00027509,5600,Anschutz Corp,0,5600,2010
7,Scott Tipton (R),N00027509,5600,Blackstone Group,0,5600,2010
8,Scott Tipton (R),N00027509,5600,Craig Realty Group,0,5600,2010
9,Scott Tipton (R),N00027509,5600,Franklin Mountain Management,0,5600,2010
0,Scott Tipton (R),N00027509,17500,Sg Interests,0,17500,2012
1,Scott Tipton (R),N00027509,17000,CoorsTek Inc,0,17000,2012
2,Scott Tipton (R),N00027509,13500,Seakr Engineering,0,13500,2012
3,Scott Tipton (R),N00027509,7426,"Brownstein, Hyatt et al",5000,12426,2012
4,Scott Tipton (R),N00027509,10249,DISH Network,2000,12249,2012
5,Scott Tipton (R),N00027509,1500,Koch Industries,10000,11500,2012
6,Scott Tipton (R),N00027509,11274,Laramie Energy,0,11274,2012
7,Scott Tipton (R),N00027509,500,Express Scripts,10000,10500,2012
8,Scott Tipton (R),N00027509,10250,Anschutz Corp,0,10250,2012
9,Scott Tipton (R),N00027509,0,American Bankers Assn,10000,10000,2012
