,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Bill Foster (D),N00029139,58606,Fermilab,0,58606,2016
1,Bill Foster (D),N00029139,39843,University Of Chicago,0,39843,2016
2,Bill Foster (D),N00029139,37550,JStreetPAC,0,37550,2016
3,Bill Foster (D),N00029139,32750,Massachusetts Institute Of Technology,0,32750,2016
4,Bill Foster (D),N00029139,30305,Northwestern University,0,30305,2016
5,Bill Foster (D),N00029139,28758,Argonne National Laboratory,0,28758,2016
6,Bill Foster (D),N00029139,20400,Intellectual Ventures LLC,7000,27400,2016
7,Bill Foster (D),N00029139,26675,Stanford University,0,26675,2016
8,Bill Foster (D),N00029139,24250,Kirkland & Ellis,0,24250,2016
9,Bill Foster (D),N00029139,20820,Columbia University,0,20820,2016
0,Bill Foster (D),N00029139,28704,Fermilab,0,28704,2018
1,Bill Foster (D),N00029139,26440,Northwestern University,0,26440,2018
2,Bill Foster (D),N00029139,26140,University of Chicago,0,26140,2018
3,Bill Foster (D),N00029139,25660,Stanford University,0,25660,2018
4,Bill Foster (D),N00029139,20437,Argonne National Laboratory,0,20437,2018
5,Bill Foster (D),N00029139,17730,Massachusetts Institute of Technology,0,17730,2018
6,Bill Foster (D),N00029139,16840,Columbia University,0,16840,2018
7,Bill Foster (D),N00029139,11400,Exelon Corp,5000,16400,2018
8,Bill Foster (D),N00029139,15750,JStreetPAC,0,15750,2018
9,Bill Foster (D),N00029139,15195,University of Michigan,0,15195,2018
0,Dina Titus (D),N00030191,11250,MGM Resorts International,5000,16250,2012
1,Dina Titus (D),N00030191,15500,Women's Cancer Center of Nevada,0,15500,2012
2,Dina Titus (D),N00030191,15000,Rocky Research,0,15000,2012
3,Dina Titus (D),N00030191,0,Barrick Goldstrike Mines,12500,12500,2012
4,Dina Titus (D),N00030191,12300,University of Nevada/Las Vegas,0,12300,2012
5,Dina Titus (D),N00030191,10500,Frias Holding,0,10500,2012
6,Dina Titus (D),N00030191,0,American Assn for Justice,10000,10000,2012
7,Dina Titus (D),N00030191,0,American Federation of Teachers,10000,10000,2012
8,Dina Titus (D),N00030191,0,AmeriPAC: The Fund for a Greater America,10000,10000,2012
9,Dina Titus (D),N00030191,0,Boyd Gaming,10000,10000,2012
0,Dina Titus (D),N00030191,13500,MGM Resorts International,10000,23500,2014
1,Dina Titus (D),N00030191,0,American Resort Development Assn,12500,12500,2014
2,Dina Titus (D),N00030191,11000,Women's Cancer Center of Nevada,0,11000,2014
3,Dina Titus (D),N00030191,10500,Arcata Assoc,0,10500,2014
4,Dina Titus (D),N00030191,0,Carpenters & Joiners Union,10000,10000,2014
5,Dina Titus (D),N00030191,0,Communications Workers of America,10000,10000,2014
6,Dina Titus (D),N00030191,0,Laborers Union,10000,10000,2014
7,Dina Titus (D),N00030191,0,Machinists/Aerospace Workers Union,10000,10000,2014
8,Dina Titus (D),N00030191,0,Painters & Allied Trades Union,10000,10000,2014
9,Dina Titus (D),N00030191,0,Searchlight Leadership Fund,10000,10000,2014
0,Dina Titus (D),N00030191,18700,MGM Resorts International,10000,28700,2016
1,Dina Titus (D),N00030191,10800,Marcus & Millichap,0,10800,2016
2,Dina Titus (D),N00030191,10800,Saban Capital Group,0,10800,2016
3,Dina Titus (D),N00030191,10800,Switch Supernap,0,10800,2016
4,Dina Titus (D),N00030191,10400,Eglet Law,0,10400,2016
5,Dina Titus (D),N00030191,0,Barrick Goldstrike Mines,10000,10000,2016
6,Dina Titus (D),N00030191,0,Caesars Entertainment,10000,10000,2016
7,Dina Titus (D),N00030191,0,Carpenters & Joiners Union,10000,10000,2016
8,Dina Titus (D),N00030191,0,Cox Enterprises,10000,10000,2016
9,Dina Titus (D),N00030191,0,International Brotherhood of Electrical Workers,10000,10000,2016
