,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Al Green (D),N00026686,16200,Dannenbaum Engineering,0,16200,2016
1,Al Green (D),N00026686,11500,University of Houston,0,11500,2016
2,Al Green (D),N00026686,10800,Farouk Systems,0,10800,2016
3,Al Green (D),N00026686,0,International Brotherhood of Electrical Workers,10000,10000,2016
4,Al Green (D),N00026686,0,International Longshoremens Assn,10000,10000,2016
5,Al Green (D),N00026686,0,Laborers Union/Midwest Region,10000,10000,2016
6,Al Green (D),N00026686,0,Machinists/Aerospace Workers Union,10000,10000,2016
7,Al Green (D),N00026686,0,National Assn of Realtors,10000,10000,2016
8,Al Green (D),N00026686,0,United Auto Workers,10000,10000,2016
9,Al Green (D),N00026686,0,Transport Workers Union,9000,9000,2016
0,Al Green (D),N00026686,41500,Votesane PAC,0,41500,2018
1,Al Green (D),N00026686,10800,Bracewell LLP,0,10800,2018
2,Al Green (D),N00026686,500,National Assn of Realtors,10000,10500,2018
3,Al Green (D),N00026686,0,International Longshoremens Assn,10000,10000,2018
4,Al Green (D),N00026686,0,Machinists/Aerospace Workers Union,10000,10000,2018
5,Al Green (D),N00026686,8100,China Star Restaurant,0,8100,2018
6,Al Green (D),N00026686,7900,Greatland Lease & Management,0,7900,2018
7,Al Green (D),N00026686,0,Communications Workers of America,7500,7500,2018
8,Al Green (D),N00026686,6400,Hall Law Firm,0,6400,2018
9,Al Green (D),N00026686,0,American Federation of State/Cnty/Munic Employees,5500,5500,2018
0,Morgan Griffith (R),N00032029,0,Farm Credit Council,10000,10000,2010
1,Morgan Griffith (R),N00032029,0,Majority Cmte PAC,10000,10000,2010
2,Morgan Griffith (R),N00032029,7100,House Freedom Fund,50,7150,2010
3,Morgan Griffith (R),N00032029,0,Koch Industries,6000,6000,2010
4,Morgan Griffith (R),N00032029,5400,Third Security,0,5400,2010
5,Morgan Griffith (R),N00032029,0,Alliance for Pharmacy Compounding,5000,5000,2010
6,Morgan Griffith (R),N00032029,0,Altria Group,5000,5000,2010
7,Morgan Griffith (R),N00032029,0,American Academy of Dermatology Assn,5000,5000,2010
8,Morgan Griffith (R),N00032029,0,American Academy of Neurology,5000,5000,2010
9,Morgan Griffith (R),N00032029,0,American Academy of Ophthalmology,5000,5000,2010
0,Morgan Griffith (R),N00032029,14000,Alpha Natural Resources,10000,24000,2012
1,Morgan Griffith (R),N00032029,5250,MeadWestvaco Corp,9969,15219,2012
2,Morgan Griffith (R),N00032029,0,CONSOL Energy,15000,15000,2012
3,Morgan Griffith (R),N00032029,5500,Norfolk Southern,8500,14000,2012
4,Morgan Griffith (R),N00032029,7508,Murray Energy,5000,12508,2012
5,Morgan Griffith (R),N00032029,12500,Phillips Machine Service,0,12500,2012
6,Morgan Griffith (R),N00032029,3700,Eastman Chemical,8000,11700,2012
7,Morgan Griffith (R),N00032029,2500,Dominion Resources,9000,11500,2012
8,Morgan Griffith (R),N00032029,11000,K-VA-T Food Stores,250,11250,2012
9,Morgan Griffith (R),N00032029,10250,West River Conveyors,0,10250,2012
0,Morgan Griffith (R),N00032029,4000,Dominion Resources,10000,14000,2014
1,Morgan Griffith (R),N00032029,3800,Eastman Chemical,10000,13800,2014
2,Morgan Griffith (R),N00032029,3500,MeadWestvaco Corp,8000,11500,2014
3,Morgan Griffith (R),N00032029,1000,Norfolk Southern,10000,11000,2014
4,Morgan Griffith (R),N00032029,700,National Community Pharmacists Assn,10000,10700,2014
5,Morgan Griffith (R),N00032029,500,Alpha Natural Resources,10000,10500,2014
6,Morgan Griffith (R),N00032029,0,Altria Group,10000,10000,2014
7,Morgan Griffith (R),N00032029,0,BAE Systems,10000,10000,2014
8,Morgan Griffith (R),N00032029,0,CONSOL Energy,10000,10000,2014
9,Morgan Griffith (R),N00032029,0,Every Republican is Crucial PAC,10000,10000,2014
