,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Jeff Fortenberry (R),N00026631,0,National Air Traffic Controllers Assn,11000,11000,2018
1,Jeff Fortenberry (R),N00026631,10800,Sandhills Publishing,0,10800,2018
2,Jeff Fortenberry (R),N00026631,0,American Crystal Sugar,10000,10000,2018
3,Jeff Fortenberry (R),N00026631,0,Lockheed Martin,10000,10000,2018
4,Jeff Fortenberry (R),N00026631,0,National Assn of Insurance & Financial Advisors,10000,10000,2018
5,Jeff Fortenberry (R),N00026631,0,Northrop Grumman,10000,10000,2018
6,Jeff Fortenberry (R),N00026631,0,Prosperity Action,10000,10000,2018
7,Jeff Fortenberry (R),N00026631,0,Tuesday Group PAC,10000,10000,2018
8,Jeff Fortenberry (R),N00026631,8100,Bryanlgh,0,8100,2018
9,Jeff Fortenberry (R),N00026631,8100,Patton Holdings,0,8100,2018
0,Virginia Foxx (R),N00026166,11200,S&B Engineers & Constructors,5000,16200,2010
1,Virginia Foxx (R),N00026166,11200,HK Research,0,11200,2010
2,Virginia Foxx (R),N00026166,11200,Rentpath,0,11200,2010
3,Virginia Foxx (R),N00026166,0,Deere & Co,10000,10000,2010
4,Virginia Foxx (R),N00026166,0,Lowe's Companies,10000,10000,2010
5,Virginia Foxx (R),N00026166,10000,Page Interworks PA,0,10000,2010
6,Virginia Foxx (R),N00026166,8800,South College,0,8800,2010
7,Virginia Foxx (R),N00026166,8400,Full Sail,0,8400,2010
8,Virginia Foxx (R),N00026166,7900,Affinity Living Group,0,7900,2010
9,Virginia Foxx (R),N00026166,0,Branch Banking & Trust,7000,7000,2010
0,Virginia Foxx (R),N00026166,0,American Bankers Assn,10000,10000,2012
1,Virginia Foxx (R),N00026166,0,Career Education Colleges & Universities,10000,10000,2012
2,Virginia Foxx (R),N00026166,10000,Hittite Microwave,0,10000,2012
3,Virginia Foxx (R),N00026166,9650,MKM & Assoc,0,9650,2012
4,Virginia Foxx (R),N00026166,0,Bridgepoint Education,9000,9000,2012
5,Virginia Foxx (R),N00026166,8000,Cook Group,1000,9000,2012
6,Virginia Foxx (R),N00026166,0,AT&T Inc,8000,8000,2012
7,Virginia Foxx (R),N00026166,0,United Parcel Service,8000,8000,2012
8,Virginia Foxx (R),N00026166,7500,HK Research,0,7500,2012
9,Virginia Foxx (R),N00026166,7250,RH Barringer Distributing,0,7250,2012
0,Virginia Foxx (R),N00026166,21630,Full Sail,0,21630,2014
1,Virginia Foxx (R),N00026166,13500,Corinthian Colleges,5000,18500,2014
2,Virginia Foxx (R),N00026166,7500,Cook Group,3000,10500,2014
3,Virginia Foxx (R),N00026166,0,United Parcel Service,10500,10500,2014
4,Virginia Foxx (R),N00026166,10400,Autotrader.Com,0,10400,2014
5,Virginia Foxx (R),N00026166,10100,Marwood Group,0,10100,2014
6,Virginia Foxx (R),N00026166,0,Alex Lee Inc,10000,10000,2014
7,Virginia Foxx (R),N00026166,0,American Bankers Assn,10000,10000,2014
8,Virginia Foxx (R),N00026166,0,Branch Banking & Trust,10000,10000,2014
9,Virginia Foxx (R),N00026166,0,Deere & Co,10000,10000,2014
0,Virginia Foxx (R),N00026166,15800,SAS Institute,0,15800,2016
1,Virginia Foxx (R),N00026166,15000,Full Sail,0,15000,2016
2,Virginia Foxx (R),N00026166,4000,Alex Lee Inc,10000,14000,2016
3,Virginia Foxx (R),N00026166,13100,Dorsett's Technologies,0,13100,2016
4,Virginia Foxx (R),N00026166,10750,Cook Group,2000,12750,2016
5,Virginia Foxx (R),N00026166,12100,Pegasystems Inc,0,12100,2016
6,Virginia Foxx (R),N00026166,10800,Randy Marion Automotive Group,0,10800,2016
7,Virginia Foxx (R),N00026166,2250,Lowe's Companies,8500,10750,2016
8,Virginia Foxx (R),N00026166,10400,Captive-Aire Inc,0,10400,2016
9,Virginia Foxx (R),N00026166,10400,HK Research,0,10400,2016
