,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Chellie Pingree (D),N00013817,15700,Paloma Partners,0,15700,2014
1,Chellie Pingree (D),N00013817,10400,Project Management Inc,0,10400,2014
2,Chellie Pingree (D),N00013817,0,American Federation of Teachers,10000,10000,2014
3,Chellie Pingree (D),N00013817,0,Machinists/Aerospace Workers Union,10000,10000,2014
4,Chellie Pingree (D),N00013817,0,National Assn of Realtors,8000,8000,2014
5,Chellie Pingree (D),N00013817,5200,"Fried, Frank et al",0,5200,2014
6,Chellie Pingree (D),N00013817,5200,McArthurGlen Group,0,5200,2014
7,Chellie Pingree (D),N00013817,5200,Stony Brook University,0,5200,2014
8,Chellie Pingree (D),N00013817,5200,Young Democrats of America,0,5200,2014
9,Chellie Pingree (D),N00013817,0,Corning Inc,5000,5000,2014
0,Chellie Pingree (D),N00013817,12900,Paloma Partners,0,12900,2016
1,Chellie Pingree (D),N00013817,10800,Tishman Construction,0,10800,2016
2,Chellie Pingree (D),N00013817,0,American Federation of Teachers,10000,10000,2016
3,Chellie Pingree (D),N00013817,0,Machinists/Aerospace Workers Union,10000,10000,2016
4,Chellie Pingree (D),N00013817,0,Plumbers/Pipefitters Union,10000,10000,2016
5,Chellie Pingree (D),N00013817,0,National Assn of Realtors,9000,9000,2016
6,Chellie Pingree (D),N00013817,0,Painters & Allied Trades Union,6500,6500,2016
7,Chellie Pingree (D),N00013817,6400,Caremi Partners,0,6400,2016
8,Chellie Pingree (D),N00013817,6265,Farmer & Environmentalist,0,6265,2016
9,Chellie Pingree (D),N00013817,0,American Assn for Justice,6000,6000,2016
0,Chellie Pingree (D),N00013817,16050,Democracy Engine,0,16050,2018
1,Chellie Pingree (D),N00013817,1250,General Dynamics,10000,11250,2018
2,Chellie Pingree (D),N00013817,10800,Paloma Partners,0,10800,2018
3,Chellie Pingree (D),N00013817,10800,Project Management Inc,0,10800,2018
4,Chellie Pingree (D),N00013817,0,American Crystal Sugar,10000,10000,2018
5,Chellie Pingree (D),N00013817,0,Carpenters & Joiners Union,10000,10000,2018
6,Chellie Pingree (D),N00013817,0,Credit Union National Assn,10000,10000,2018
7,Chellie Pingree (D),N00013817,0,International Brotherhood of Electrical Workers,10000,10000,2018
8,Chellie Pingree (D),N00013817,0,Laborers Union,10000,10000,2018
9,Chellie Pingree (D),N00013817,0,Machinists/Aerospace Workers Union,10000,10000,2018
0,Rob Portman (R),N00003682,150900,Goldman Sachs,5500,156400,2010
1,Rob Portman (R),N00003682,123900,Votesane PAC,0,123900,2010
2,Rob Portman (R),N00003682,78785,Procter & Gamble,9500,88285,2010
3,Rob Portman (R),N00003682,74235,Marathon Petroleum,10000,84235,2010
4,Rob Portman (R),N00003682,69750,General Electric,9000,78750,2010
5,Rob Portman (R),N00003682,70450,JPMorgan Chase & Co,8000,78450,2010
6,Rob Portman (R),N00003682,74200,American Financial Group,0,74200,2010
7,Rob Portman (R),N00003682,71850,Sullivan & Cromwell,0,71850,2010
8,Rob Portman (R),N00003682,61000,Apple Inc,0,61000,2010
9,Rob Portman (R),N00003682,52750,Home Depot,5000,57750,2010
0,Rob Portman (R),N00003682,206500,Votesane PAC,0,206500,2016
1,Rob Portman (R),N00003682,154500,Goldman Sachs,10000,164500,2016
2,Rob Portman (R),N00003682,102750,Citigroup Inc,10000,112750,2016
3,Rob Portman (R),N00003682,88550,General Electric,10000,98550,2016
4,Rob Portman (R),N00003682,93100,Fidelity Investments,0,93100,2016
5,Rob Portman (R),N00003682,74235,Marathon Petroleum,10000,84235,2016
6,Rob Portman (R),N00003682,72985,Procter & Gamble,10000,82985,2016
7,Rob Portman (R),N00003682,67950,JPMorgan Chase & Co,10000,77950,2016
8,Rob Portman (R),N00003682,66050,Ernst & Young,10000,76050,2016
9,Rob Portman (R),N00003682,69050,Sullivan & Cromwell,0,69050,2016
