,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Vicky Hartzler (R),N00031005,0,Rely on Your Beliefs,20000,20000,2016
1,Vicky Hartzler (R),N00031005,13300,Ozarks Coca-Cola Bottling,0,13300,2016
2,Vicky Hartzler (R),N00031005,10800,Holekamp Capital,0,10800,2016
3,Vicky Hartzler (R),N00031005,10800,TC Jacoby & Co,0,10800,2016
4,Vicky Hartzler (R),N00031005,0,Ameren Corp,10000,10000,2016
5,Vicky Hartzler (R),N00031005,0,American Crystal Sugar,10000,10000,2016
6,Vicky Hartzler (R),N00031005,0,American Society of Anesthesiologists,10000,10000,2016
7,Vicky Hartzler (R),N00031005,0,Boeing Co,10000,10000,2016
8,Vicky Hartzler (R),N00031005,0,Emerson Electric,10000,10000,2016
9,Vicky Hartzler (R),N00031005,0,Farm Credit Council,10000,10000,2016
0,Vicky Hartzler (R),N00031005,5400,Boeing Co,10000,15400,2018
1,Vicky Hartzler (R),N00031005,2700,Northrop Grumman,10000,12700,2018
2,Vicky Hartzler (R),N00031005,10800,Bartlett & Co,0,10800,2018
3,Vicky Hartzler (R),N00031005,10800,Colt Energy,0,10800,2018
4,Vicky Hartzler (R),N00031005,10800,Midway Usa,0,10800,2018
5,Vicky Hartzler (R),N00031005,10800,Ms Management,0,10800,2018
6,Vicky Hartzler (R),N00031005,10800,Ozarks Coca-Cola & Dr Pepper Bottling,0,10800,2018
7,Vicky Hartzler (R),N00031005,10800,TC Jacoby & Co,0,10800,2018
8,Vicky Hartzler (R),N00031005,10800,Willard Asphalt,0,10800,2018
9,Vicky Hartzler (R),N00031005,0,Ameren Corp,10000,10000,2018
0,Alcee L Hastings (D),N00002884,0,National Air Traffic Controllers Assn,7500,7500,2010
1,Alcee L Hastings (D),N00002884,0,American Crystal Sugar,5000,5000,2010
2,Alcee L Hastings (D),N00002884,5000,Amscot Financial,0,5000,2010
3,Alcee L Hastings (D),N00002884,0,International Brotherhood of Electrical Workers,5000,5000,2010
4,Alcee L Hastings (D),N00002884,0,Jobs Education & Families First,5000,5000,2010
5,Alcee L Hastings (D),N00002884,5000,Keiser University,0,5000,2010
6,Alcee L Hastings (D),N00002884,0,National Beer Wholesalers Assn,5000,5000,2010
7,Alcee L Hastings (D),N00002884,0,Online Lenders Alliance,5000,5000,2010
8,Alcee L Hastings (D),N00002884,0,Service Employees International Union,5000,5000,2010
9,Alcee L Hastings (D),N00002884,1000,AT&T Inc,2500,3500,2010
0,Alcee L Hastings (D),N00002884,10000,Florida Crystals,1000,11000,2012
1,Alcee L Hastings (D),N00002884,0,American Crystal Sugar,10000,10000,2012
2,Alcee L Hastings (D),N00002884,0,Bridgepoint Education,10000,10000,2012
3,Alcee L Hastings (D),N00002884,0,Laborers Union,10000,10000,2012
4,Alcee L Hastings (D),N00002884,0,Machinists/Aerospace Workers Union,10000,10000,2012
5,Alcee L Hastings (D),N00002884,0,Medco Health Solutions,10000,10000,2012
6,Alcee L Hastings (D),N00002884,0,Teamsters Union,10000,10000,2012
7,Alcee L Hastings (D),N00002884,0,AT&T Inc,9000,9000,2012
8,Alcee L Hastings (D),N00002884,0,Operating Engineers Union,9000,9000,2012
9,Alcee L Hastings (D),N00002884,0,American Assn for Justice,8500,8500,2012
0,Alcee L Hastings (D),N00002884,14000,Amscot Financial,0,14000,2014
1,Alcee L Hastings (D),N00002884,0,American Crystal Sugar,10000,10000,2014
2,Alcee L Hastings (D),N00002884,0,AT&T Inc,10000,10000,2014
3,Alcee L Hastings (D),N00002884,0,Career Education Colleges & Universities,10000,10000,2014
4,Alcee L Hastings (D),N00002884,0,Laborers Union,10000,10000,2014
5,Alcee L Hastings (D),N00002884,0,Machinists/Aerospace Workers Union,10000,10000,2014
6,Alcee L Hastings (D),N00002884,0,National Air Traffic Controllers Assn,10000,10000,2014
7,Alcee L Hastings (D),N00002884,0,Service Employees International Union,10000,10000,2014
8,Alcee L Hastings (D),N00002884,0,United Auto Workers,10000,10000,2014
9,Alcee L Hastings (D),N00002884,0,Verizon Communications,10000,10000,2014
