,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Doug Collins (R),N00033518,3250,National Music Publishers Assn,11200,14450,2016
1,Doug Collins (R),N00033518,1000,Georgia Power,10000,11000,2016
2,Doug Collins (R),N00033518,1000,National Community Pharmacists Assn,10000,11000,2016
3,Doug Collins (R),N00033518,10800,Yancey Brothers,0,10800,2016
4,Doug Collins (R),N00033518,2700,Microsoft Corp,8000,10700,2016
5,Doug Collins (R),N00033518,6500,Recording Industry Assn of America,4000,10500,2016
6,Doug Collins (R),N00033518,250,AT&T Inc,10000,10250,2016
7,Doug Collins (R),N00033518,100,NCTA The Internet & Television Assn,10000,10100,2016
8,Doug Collins (R),N00033518,0,AFLAC Inc,10000,10000,2016
9,Doug Collins (R),N00033518,0,Cox Enterprises,10000,10000,2016
0,Doug Collins (R),N00033518,13500,Fieldale Farms,0,13500,2018
1,Doug Collins (R),N00033518,3050,AmerisourceBergen Corp,10000,13050,2018
2,Doug Collins (R),N00033518,1500,Microsoft Corp,10000,11500,2018
3,Doug Collins (R),N00033518,11200,Wilheit Packaging,0,11200,2018
4,Doug Collins (R),N00033518,10600,CMB Regional Centers,0,10600,2018
5,Doug Collins (R),N00033518,500,NCTA The Internet & Television Assn,10000,10500,2018
6,Doug Collins (R),N00033518,250,General Dynamics,10000,10250,2018
7,Doug Collins (R),N00033518,0,AFLAC Inc,10000,10000,2018
8,Doug Collins (R),N00033518,0,American Bankers Assn,10000,10000,2018
9,Doug Collins (R),N00033518,0,American Institute of CPAs,10000,10000,2018
0,Tulsi Gabbard (D),N00033281,24711,EMILY's List,5000,29711,2012
1,Tulsi Gabbard (D),N00033281,19900,Mitsunaga & Assoc,0,19900,2012
2,Tulsi Gabbard (D),N00033281,17500,Coastal Construction Group,0,17500,2012
3,Tulsi Gabbard (D),N00033281,15300,Environet Inc,0,15300,2012
4,Tulsi Gabbard (D),N00033281,14800,Top Seek LLC,0,14800,2012
5,Tulsi Gabbard (D),N00033281,14000,"Cronin, Fried et al",0,14000,2012
6,Tulsi Gabbard (D),N00033281,11550,Noni Connection,0,11550,2012
7,Tulsi Gabbard (D),N00033281,11000,Mele Assoc,0,11000,2012
8,Tulsi Gabbard (D),N00033281,10950,Down To Earth,0,10950,2012
9,Tulsi Gabbard (D),N00033281,10820,State of Hawaii,0,10820,2012
0,Tulsi Gabbard (D),N00033281,15500,Navatek Ltd,0,15500,2014
1,Tulsi Gabbard (D),N00033281,15200,Nan Inc,0,15200,2014
2,Tulsi Gabbard (D),N00033281,12900,Vedanta Capital,0,12900,2014
3,Tulsi Gabbard (D),N00033281,0,Time Warner Cable,12000,12000,2014
4,Tulsi Gabbard (D),N00033281,1500,New York Life Insurance,10000,11500,2014
5,Tulsi Gabbard (D),N00033281,11200,Grosvenor Capital Management,0,11200,2014
6,Tulsi Gabbard (D),N00033281,4000,Matson Inc,7000,11000,2014
7,Tulsi Gabbard (D),N00033281,10402,Star Pipe Products,0,10402,2014
8,Tulsi Gabbard (D),N00033281,10400,Mosaic Media Group,0,10400,2014
9,Tulsi Gabbard (D),N00033281,10300,At Last Sportswear,0,10300,2014
0,Tulsi Gabbard (D),N00033281,16710,Navatek Ltd,0,16710,2016
1,Tulsi Gabbard (D),N00033281,15200,Almex Usa,0,15200,2016
2,Tulsi Gabbard (D),N00033281,13300,At Last Sportswear,0,13300,2016
3,Tulsi Gabbard (D),N00033281,10800,Mosaic Media Group,0,10800,2016
4,Tulsi Gabbard (D),N00033281,10750,American Spraytech LLC,0,10750,2016
5,Tulsi Gabbard (D),N00033281,10570,Alqimi Group,0,10570,2016
6,Tulsi Gabbard (D),N00033281,10400,Sparta Group,0,10400,2016
7,Tulsi Gabbard (D),N00033281,10400,Upcountry Fitness,0,10400,2016
8,Tulsi Gabbard (D),N00033281,145,Boeing Co,10000,10145,2016
9,Tulsi Gabbard (D),N00033281,0,Air Line Pilots Assn,10000,10000,2016
