,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Mike Braun (R),N00041731,217112,Senate Conservatives Fund,0,217112,2018
1,Mike Braun (R),N00041731,82183,Club for Growth,0,82183,2018
2,Mike Braun (R),N00041731,0,National Republican Senatorial Cmte,47400,47400,2018
3,Mike Braun (R),N00041731,45800,Jasper Engines & Transmissions,0,45800,2018
4,Mike Braun (R),N00041731,28400,Alliance Coal,10000,38400,2018
5,Mike Braun (R),N00041731,37800,Reyes Holdings,0,37800,2018
6,Mike Braun (R),N00041731,29500,Wabash Valley Produce,0,29500,2018
7,Mike Braun (R),N00041731,27100,Streicher Construction,0,27100,2018
8,Mike Braun (R),N00041731,22100,Magnolia Health Systems,0,22100,2018
9,Mike Braun (R),N00041731,21600,Ackerman Oil,0,21600,2018
0,Josh Hawley (R),N00041620,299301,Club for Growth,0,299301,2018
1,Josh Hawley (R),N00041620,247189,Senate Conservatives Fund,0,247189,2018
2,Josh Hawley (R),N00041620,0,National Republican Senatorial Cmte,47400,47400,2018
3,Josh Hawley (R),N00041620,36900,Emerson Electric,10000,46900,2018
4,Josh Hawley (R),N00041620,39800,Herzog Contracting,5000,44800,2018
5,Josh Hawley (R),N00041620,43200,Diamond Pet Foods,0,43200,2018
6,Josh Hawley (R),N00041620,23466,Alliance Coal,10000,33466,2018
7,Josh Hawley (R),N00041620,29928,Kirkland & Ellis,0,29928,2018
8,Josh Hawley (R),N00041620,16000,Leggett & Platt,10000,26000,2018
9,Josh Hawley (R),N00041620,25600,Durham Co,0,25600,2018
0,Mitt Romney (R),N00000286,89100,Bain Capital,0,89100,2018
1,Mitt Romney (R),N00000286,48600,Gardner Co,0,48600,2018
2,Mitt Romney (R),N00000286,41100,Blackstone Group,0,41100,2018
3,Mitt Romney (R),N00000286,38800,AQR Capital Management,0,38800,2018
4,Mitt Romney (R),N00000286,32400,Sinclair Companies,0,32400,2018
5,Mitt Romney (R),N00000286,28000,Credit Suisse Group,0,28000,2018
6,Mitt Romney (R),N00000286,27000,Summit Partners,0,27000,2018
7,Mitt Romney (R),N00000286,27000,Vivint Inc,0,27000,2018
8,Mitt Romney (R),N00000286,24550,Goldman Sachs,0,24550,2018
9,Mitt Romney (R),N00000286,24550,Zions Bancorp,0,24550,2018
0,Martha McSally (R),N00033982,33200,Elliott Management,0,33200,2014
1,Martha McSally (R),N00033982,15600,Shamrock Foods,0,15600,2014
2,Martha McSally (R),N00033982,5200,Koch Industries,10000,15200,2014
3,Martha McSally (R),N00033982,0,CONA PAC,15000,15000,2014
4,Martha McSally (R),N00033982,0,Majority Cmte PAC,15000,15000,2014
5,Martha McSally (R),N00033982,14184,Wells Fargo Advisors,0,14184,2014
6,Martha McSally (R),N00033982,14000,Jim Click Automotive,0,14000,2014
7,Martha McSally (R),N00033982,14000,Royal Automotive Group,0,14000,2014
8,Martha McSally (R),N00033982,13900,Merrill Lynch,0,13900,2014
9,Martha McSally (R),N00033982,13750,Caid Industries,0,13750,2014
0,Martha McSally (R),N00033982,57066,Elliott Management,0,57066,2016
1,Martha McSally (R),N00033982,13101,Raytheon Co,15000,28101,2016
2,Martha McSally (R),N00033982,1341,Pinnacle West Capital,15000,16341,2016
3,Martha McSally (R),N00033982,16200,Royal Automotive Group,0,16200,2016
4,Martha McSally (R),N00033982,16200,Shamrock Foods,0,16200,2016
5,Martha McSally (R),N00033982,5650,Home Depot,10000,15650,2016
6,Martha McSally (R),N00033982,0,National Cattlemen's Beef Assn,15000,15000,2016
7,Martha McSally (R),N00033982,14550,Jim Click Automotive,0,14550,2016
8,Martha McSally (R),N00033982,0,Exxon Mobil,14500,14500,2016
9,Martha McSally (R),N00033982,13200,AegisPAC,0,13200,2016
