,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Anthony Brown (D),N00036999,6150,Comcast Corp,7500,13650,2016
1,Anthony Brown (D),N00036999,1500,MGM Resorts International,10000,11500,2016
2,Anthony Brown (D),N00036999,0,American Assn for Justice,10000,10000,2016
3,Anthony Brown (D),N00036999,0,American Federation of Government Employees,10000,10000,2016
4,Anthony Brown (D),N00036999,0,American Federation of Teachers,10000,10000,2016
5,Anthony Brown (D),N00036999,0,American Society of Anesthesiologists,10000,10000,2016
6,Anthony Brown (D),N00036999,0,AmeriPAC: The Fund for a Greater America,10000,10000,2016
7,Anthony Brown (D),N00036999,0,BRIDGE PAC,10000,10000,2016
8,Anthony Brown (D),N00036999,0,Machinists/Aerospace Workers Union,10000,10000,2016
9,Anthony Brown (D),N00036999,10000,Michael Companies,0,10000,2016
0,Anthony Brown (D),N00036999,10800,Ost Inc,0,10800,2018
1,Anthony Brown (D),N00036999,0,Exelon Corp,10500,10500,2018
2,Anthony Brown (D),N00036999,0,Amalgamated Transit Union,10000,10000,2018
3,Anthony Brown (D),N00036999,0,American Society of Anesthesiologists,10000,10000,2018
4,Anthony Brown (D),N00036999,0,Lockheed Martin,10000,10000,2018
5,Anthony Brown (D),N00036999,0,Machinists/Aerospace Workers Union,10000,10000,2018
6,Anthony Brown (D),N00036999,0,National Auto Dealers Assn,10000,10000,2018
7,Anthony Brown (D),N00036999,0,National Beer Wholesalers Assn,10000,10000,2018
8,Anthony Brown (D),N00036999,0,Northrop Grumman,10000,10000,2018
9,Anthony Brown (D),N00036999,0,Northrop Grumman Innovation Systems,10000,10000,2018
0,Jamie Raskin (D),N00037036,53913,American University,0,53913,2016
1,Jamie Raskin (D),N00037036,19257,Hogan Lovells,0,19257,2016
2,Jamie Raskin (D),N00037036,14748,"Skadden, Arps et al",0,14748,2016
3,Jamie Raskin (D),N00037036,14250,Promontory Financial Group,0,14250,2016
4,Jamie Raskin (D),N00037036,13755,US Government,0,13755,2016
5,Jamie Raskin (D),N00037036,12394,WilmerHale LLP,0,12394,2016
6,Jamie Raskin (D),N00037036,11850,American University Law School,0,11850,2016
7,Jamie Raskin (D),N00037036,10753,Paul Hastings LLP,0,10753,2016
8,Jamie Raskin (D),N00037036,10700,Katten Muchin Rosenman LLP,0,10700,2016
9,Jamie Raskin (D),N00037036,0,Amalgamated Transit Union,10000,10000,2016
0,Jamie Raskin (D),N00037036,14640,American University,0,14640,2018
1,Jamie Raskin (D),N00037036,350,American Federation of State/Cnty/Munic Employees,10000,10350,2018
2,Jamie Raskin (D),N00037036,0,Amalgamated Transit Union,10000,10000,2018
3,Jamie Raskin (D),N00037036,0,American Assn for Justice,10000,10000,2018
4,Jamie Raskin (D),N00037036,0,Machinists/Aerospace Workers Union,10000,10000,2018
5,Jamie Raskin (D),N00037036,0,National Active & Retired Federal Employees Assn,10000,10000,2018
6,Jamie Raskin (D),N00037036,0,UNITE HERE,10000,10000,2018
7,Jamie Raskin (D),N00037036,0,Thermo Fisher Scientific,8500,8500,2018
8,Jamie Raskin (D),N00037036,40,United Auto Workers,8000,8040,2018
9,Jamie Raskin (D),N00037036,3545,JStreetPAC,4000,7545,2018
0,John Bergman (R),N00039533,8100,Amway/Alticor Inc,5000,13100,2016
1,John Bergman (R),N00039533,10800,Rooney Holdings,0,10800,2016
2,John Bergman (R),N00039533,0,John Bolton PAC,10000,10000,2016
3,John Bergman (R),N00039533,0,Majority Cmte PAC,10000,10000,2016
4,John Bergman (R),N00039533,0,New Pioneers PAC,10000,10000,2016
5,John Bergman (R),N00039533,0,Prosperity Action,10000,10000,2016
6,John Bergman (R),N00039533,0,Support to Ensure Victory Everywhere PAC,10000,10000,2016
7,John Bergman (R),N00039533,9800,McKinley Assoc,0,9800,2016
8,John Bergman (R),N00039533,8100,RDV Corp,0,8100,2016
9,John Bergman (R),N00039533,7700,PVS Chemicals,0,7700,2016
