,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Mazie K Hirono (D),N00028139,42830,Emily's List,10000,52830,2010
1,Mazie K Hirono (D),N00028139,20500,Matson Inc,11346,31846,2010
2,Mazie K Hirono (D),N00028139,31050,"Kobayashi, Sugita & Goda",0,31050,2010
3,Mazie K Hirono (D),N00028139,14400,Alexander & Baldwin,10000,24400,2010
4,Mazie K Hirono (D),N00028139,20300,Nan Inc,0,20300,2010
5,Mazie K Hirono (D),N00028139,19600,RM Towill Corp,0,19600,2010
6,Mazie K Hirono (D),N00028139,7900,Comcast Corp,10000,17900,2010
7,Mazie K Hirono (D),N00028139,17200,Cooney & Conway,0,17200,2010
8,Mazie K Hirono (D),N00028139,17129,State of Hawaii,0,17129,2010
9,Mazie K Hirono (D),N00028139,8000,Intellectual Ventures LLC,9000,17000,2010
0,Mazie K Hirono (D),N00028139,205640,EMILY's List,10000,215640,2012
1,Mazie K Hirono (D),N00028139,0,Democratic Senatorial Campaign Cmte,43100,43100,2012
2,Mazie K Hirono (D),N00028139,25118,"Kobayashi, Sugita & Goda",0,25118,2012
3,Mazie K Hirono (D),N00028139,23000,RM Towill Corp,0,23000,2012
4,Mazie K Hirono (D),N00028139,22700,University of Hawaii,0,22700,2012
5,Mazie K Hirono (D),N00028139,22400,Weitz & Luxenberg,0,22400,2012
6,Mazie K Hirono (D),N00028139,16950,Council for a Livable World,3964,20914,2012
7,Mazie K Hirono (D),N00028139,20000,Nan Inc,0,20000,2012
8,Mazie K Hirono (D),N00028139,20000,Thornton Law Firm,0,20000,2012
9,Mazie K Hirono (D),N00028139,19000,"Cronin, Fried et al",0,19000,2012
0,Mazie K Hirono (D),N00028139,42830,EMILY's List,10000,52830,2018
1,Mazie K Hirono (D),N00028139,41050,"KOBAYASHI, SUGITA & GODA",0,41050,2018
2,Mazie K Hirono (D),N00028139,24100,Matson Inc,11346,35446,2018
3,Mazie K Hirono (D),N00028139,17900,Alexander & Baldwin,10000,27900,2018
4,Mazie K Hirono (D),N00028139,23800,Pop Fishing & Marine,0,23800,2018
5,Mazie K Hirono (D),N00028139,22100,RM Towill Corp,0,22100,2018
6,Mazie K Hirono (D),N00028139,20800,Nan Inc,0,20800,2018
7,Mazie K Hirono (D),N00028139,10650,Alston & Bird,10000,20650,2018
8,Mazie K Hirono (D),N00028139,10000,Intellectual Ventures LLC,10000,20000,2018
9,Mazie K Hirono (D),N00028139,19434,State of Hawaii,0,19434,2018
0,John Hoeven (R),N00031688,34700,Edison Chouest Offshore,0,34700,2010
1,John Hoeven (R),N00031688,22400,Hess Corp,10000,32400,2010
2,John Hoeven (R),N00031688,27875,Westport Properties,0,27875,2010
3,John Hoeven (R),N00031688,19990,BNSF Railway,4000,23990,2010
4,John Hoeven (R),N00031688,20433,Marvin Windows,0,20433,2010
5,John Hoeven (R),N00031688,0,Crop Insurance Professionals Assn,19000,19000,2010
6,John Hoeven (R),N00031688,18250,Jennmar Corp,0,18250,2010
7,John Hoeven (R),N00031688,16200,Select Energy Services,0,16200,2010
8,John Hoeven (R),N00031688,5800,MacAndrews & Forbes,10000,15800,2010
9,John Hoeven (R),N00031688,7700,Continental Resources,7750,15450,2010
0,John Hoeven (R),N00031688,34700,Edison Chouest Offshore,0,34700,2016
1,John Hoeven (R),N00031688,19990,BNSF Railway,10000,29990,2016
2,John Hoeven (R),N00031688,27875,Westport Properties,0,27875,2016
3,John Hoeven (R),N00031688,25750,Jennmar Corp,0,25750,2016
4,John Hoeven (R),N00031688,23020,MBI Energy Services,0,23020,2016
5,John Hoeven (R),N00031688,21800,Apollo Management,0,21800,2016
6,John Hoeven (R),N00031688,10800,Hess Corp,10000,20800,2016
7,John Hoeven (R),N00031688,20433,Marvin Windows,0,20433,2016
8,John Hoeven (R),N00031688,14450,"Brownstein, Hyatt et al",5000,19450,2016
9,John Hoeven (R),N00031688,16200,Select Energy Services,0,16200,2016
