,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Jodey Arrington (R),N00038285,18900,Reagor Dykes Auto Group,0,18900,2018
1,Jodey Arrington (R),N00038285,0,National Apartment Assn,15000,15000,2018
2,Jodey Arrington (R),N00038285,13600,Dian Graves Owen Foundation,0,13600,2018
3,Jodey Arrington (R),N00038285,11800,Enervest Ltd,0,11800,2018
4,Jodey Arrington (R),N00038285,10800,Key Animal Clinic,0,10800,2018
5,Jodey Arrington (R),N00038285,10800,Mansefeldt Investment,0,10800,2018
6,Jodey Arrington (R),N00038285,10800,Westex Well Services,0,10800,2018
7,Jodey Arrington (R),N00038285,500,Texas Farm Bureau,9607,10107,2018
8,Jodey Arrington (R),N00038285,0,American Wind Energy Assn,10000,10000,2018
9,Jodey Arrington (R),N00038285,0,Farm Credit Council,10000,10000,2018
0,Donald McEachin (D),N00039327,12525,Dominion Resources,5000,17525,2016
1,Donald McEachin (D),N00039327,2800,League of Conservation Voters,7999,10799,2016
2,Donald McEachin (D),N00039327,8250,McGuireWoods LLP,2500,10750,2016
3,Donald McEachin (D),N00039327,10000,"Allen, Allen et al",0,10000,2016
4,Donald McEachin (D),N00039327,0,American Assn for Justice,10000,10000,2016
5,Donald McEachin (D),N00039327,0,American Federation of Teachers,10000,10000,2016
6,Donald McEachin (D),N00039327,0,BRIDGE PAC,10000,10000,2016
7,Donald McEachin (D),N00039327,0,International Brotherhood of Electrical Workers,10000,10000,2016
8,Donald McEachin (D),N00039327,0,National Beer Wholesalers Assn,10000,10000,2016
9,Donald McEachin (D),N00039327,0,Operating Engineers Union,10000,10000,2016
0,Donald McEachin (D),N00039327,11539,Dominion Energy,10000,21539,2018
1,Donald McEachin (D),N00039327,2700,Norfolk Southern,10000,12700,2018
2,Donald McEachin (D),N00039327,7900,League of Conservation Voters,4655,12555,2018
3,Donald McEachin (D),N00039327,10800,Weinstein Properties,0,10800,2018
4,Donald McEachin (D),N00039327,5400,WinDem,5400,10800,2018
5,Donald McEachin (D),N00039327,0,American Assn for Justice,10000,10000,2018
6,Donald McEachin (D),N00039327,0,American Crystal Sugar,10000,10000,2018
7,Donald McEachin (D),N00039327,0,Carpenters & Joiners Union,10000,10000,2018
8,Donald McEachin (D),N00039327,0,Huntington Ingalls Industries,10000,10000,2018
9,Donald McEachin (D),N00039327,0,International Brotherhood of Electrical Workers,10000,10000,2018
0,Pramila Jayapal (D),N00038858,50651,EMILY's List,10000,60651,2016
1,Pramila Jayapal (D),N00038858,27275,Microsoft Corp,0,27275,2016
2,Pramila Jayapal (D),N00038858,17991,University of Washington,0,17991,2016
3,Pramila Jayapal (D),N00038858,15050,"Calvo, Fisher & Jacob",0,15050,2016
4,Pramila Jayapal (D),N00038858,13500,GMMB,0,13500,2016
5,Pramila Jayapal (D),N00038858,2950,National Education Assn,10000,12950,2016
6,Pramila Jayapal (D),N00038858,10800,Cheroo Family LLC,0,10800,2016
7,Pramila Jayapal (D),N00038858,10800,REAL CHANGE,0,10800,2016
8,Pramila Jayapal (D),N00038858,693,Service Employees International Union,10000,10693,2016
9,Pramila Jayapal (D),N00038858,550,United Food & Commercial Workers Union,10000,10550,2016
0,Pramila Jayapal (D),N00038858,29171,University of Washington,0,29171,2018
1,Pramila Jayapal (D),N00038858,24800,Valve Corp,0,24800,2018
2,Pramila Jayapal (D),N00038858,22915,Microsoft Corp,0,22915,2018
3,Pramila Jayapal (D),N00038858,17200,Second Avenue Partners,0,17200,2018
4,Pramila Jayapal (D),N00038858,16200,Nick & Leslie Hanauer Foundation,0,16200,2018
5,Pramila Jayapal (D),N00038858,16200,Tenants Together,0,16200,2018
6,Pramila Jayapal (D),N00038858,15400,Silly Goose Productions,0,15400,2018
7,Pramila Jayapal (D),N00038858,13800,Keller Rohrback,0,13800,2018
8,Pramila Jayapal (D),N00038858,13500,Partnership For Democracy & Education,0,13500,2018
9,Pramila Jayapal (D),N00038858,1000,National Education Assn,10000,11000,2018
