,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Lucille Roybal-Allard (D),N00006671,0,American Federation of State/Cnty/Munic Employees,10000,10000,2018
1,Lucille Roybal-Allard (D),N00006671,0,American Federation of Teachers,10000,10000,2018
2,Lucille Roybal-Allard (D),N00006671,0,Edison International,10000,10000,2018
3,Lucille Roybal-Allard (D),N00006671,0,International Brotherhood of Electrical Workers,10000,10000,2018
4,Lucille Roybal-Allard (D),N00006671,0,National Air Traffic Controllers Assn,10000,10000,2018
5,Lucille Roybal-Allard (D),N00006671,0,National Education Assn,10000,10000,2018
6,Lucille Roybal-Allard (D),N00006671,0,Parsons Corp,10000,10000,2018
7,Lucille Roybal-Allard (D),N00006671,0,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,2018
8,Lucille Roybal-Allard (D),N00006671,0,Teamsters Union,10000,10000,2018
9,Lucille Roybal-Allard (D),N00006671,0,United Food & Commercial Workers Union,10000,10000,2018
0,Marco Rubio (R),N00030612,275425,Club for Growth,25,275450,2010
1,Marco Rubio (R),N00030612,183600,Elliott Management,0,183600,2010
2,Marco Rubio (R),N00030612,93900,The Villages,0,93900,2010
3,Marco Rubio (R),N00030612,83000,Blackstone Group,0,83000,2010
4,Marco Rubio (R),N00030612,66900,Florida Crystals,0,66900,2010
5,Marco Rubio (R),N00030612,58675,Greenberg Traurig LLP,2500,61175,2010
6,Marco Rubio (R),N00030612,54000,Agree Realty,0,54000,2010
7,Marco Rubio (R),N00030612,54000,Dwd Mechanical Contractor,0,54000,2010
8,Marco Rubio (R),N00030612,54000,Pence Group,0,54000,2010
9,Marco Rubio (R),N00030612,1755,National Republican Senatorial Cmte,46800,48555,2010
0,Marco Rubio (R),N00030612,286255,Club for Growth,25,286280,2016
1,Marco Rubio (R),N00030612,183600,Elliott Management,0,183600,2016
2,Marco Rubio (R),N00030612,85700,Goldman Sachs,10000,95700,2016
3,Marco Rubio (R),N00030612,93512,The Villages,0,93512,2016
4,Marco Rubio (R),N00030612,90400,Blackstone Group,0,90400,2016
5,Marco Rubio (R),N00030612,72060,Florida Crystals,0,72060,2016
6,Marco Rubio (R),N00030612,58675,Greenberg Traurig LLP,2500,61175,2016
7,Marco Rubio (R),N00030612,54000,Agree Realty,0,54000,2016
8,Marco Rubio (R),N00030612,54000,Dwd Mechanical Contractor,0,54000,2016
9,Marco Rubio (R),N00030612,54000,Pence Group,0,54000,2016
0,Dutch Ruppersberger (D),N00025482,0,L3Harris Technologies,20000,20000,2010
1,Dutch Ruppersberger (D),N00025482,11200,Capital Funding Group,0,11200,2010
2,Dutch Ruppersberger (D),N00025482,10,Leidos Inc,10000,10010,2010
3,Dutch Ruppersberger (D),N00025482,0,American College of Radiology,10000,10000,2010
4,Dutch Ruppersberger (D),N00025482,0,Lockheed Martin,10000,10000,2010
5,Dutch Ruppersberger (D),N00025482,0,Parsons Corp,10000,10000,2010
6,Dutch Ruppersberger (D),N00025482,0,Raytheon Co,10000,10000,2010
7,Dutch Ruppersberger (D),N00025482,0,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,2010
8,Dutch Ruppersberger (D),N00025482,0,General Dynamics,8500,8500,2010
9,Dutch Ruppersberger (D),N00025482,8100,Sbgi LLC,0,8100,2010
0,Dutch Ruppersberger (D),N00025482,22400,Northrop Grumman,10000,32400,2012
1,Dutch Ruppersberger (D),N00025482,24500,Constellation Energy,6000,30500,2012
2,Dutch Ruppersberger (D),N00025482,18750,St John Properties,0,18750,2012
3,Dutch Ruppersberger (D),N00025482,5000,Mantech International,10000,15000,2012
4,Dutch Ruppersberger (D),N00025482,3000,Serco Inc,10000,13000,2012
5,Dutch Ruppersberger (D),N00025482,6500,TeleCommunication Systems Inc,5000,11500,2012
6,Dutch Ruppersberger (D),N00025482,1000,CSX Corp,10000,11000,2012
7,Dutch Ruppersberger (D),N00025482,750,Raytheon Co,10000,10750,2012
8,Dutch Ruppersberger (D),N00025482,500,Boeing Co,10000,10500,2012
9,Dutch Ruppersberger (D),N00025482,500,Leidos Inc,10000,10500,2012
