,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Mario Diaz-Balart (R),N00025337,25000,Leon Medical Centers,0,25000,2018
1,Mario Diaz-Balart (R),N00025337,11750,Harris Corp,10000,21750,2018
2,Mario Diaz-Balart (R),N00025337,8950,Florida East Coast Industries,10000,18950,2018
3,Mario Diaz-Balart (R),N00025337,18200,Florida Crystals,0,18200,2018
4,Mario Diaz-Balart (R),N00025337,7200,General Atomics,10000,17200,2018
5,Mario Diaz-Balart (R),N00025337,5400,Southern Glazer's Wine & Spirits,10000,15400,2018
6,Mario Diaz-Balart (R),N00025337,13500,Duty Free Americas,0,13500,2018
7,Mario Diaz-Balart (R),N00025337,13500,JW Childs Assoc,0,13500,2018
8,Mario Diaz-Balart (R),N00025337,0,L3 Technologies,12500,12500,2018
9,Mario Diaz-Balart (R),N00025337,6900,Greenberg Traurig LLP,5000,11900,2018
0,Lloyd Doggett (D),N00006023,6300,"Akin, Gump et al",1500,7800,2010
1,Lloyd Doggett (D),N00006023,5600,Asuragen,0,5600,2010
2,Lloyd Doggett (D),N00006023,5600,Central Austin Management Group,0,5600,2010
3,Lloyd Doggett (D),N00006023,5600,Engineering Micro Research Inc,0,5600,2010
4,Lloyd Doggett (D),N00006023,5600,Mobiletech Rx,0,5600,2010
5,Lloyd Doggett (D),N00006023,0,American Academy of Neurology,5000,5000,2010
6,Lloyd Doggett (D),N00006023,0,American Assn for Justice,5000,5000,2010
7,Lloyd Doggett (D),N00006023,0,American Assn of Clinical Urologists,5000,5000,2010
8,Lloyd Doggett (D),N00006023,0,American Assn of Nurse Anesthetists,5000,5000,2010
9,Lloyd Doggett (D),N00006023,0,American College of Radiology,5000,5000,2010
0,Lloyd Doggett (D),N00006023,25000,"Nix, Patterson & Roach",0,25000,2012
1,Lloyd Doggett (D),N00006023,20000,Williams Kherkher,0,20000,2012
2,Lloyd Doggett (D),N00006023,16000,"Graves, Dougherty et al",0,16000,2012
3,Lloyd Doggett (D),N00006023,12050,Blank,0,12050,2012
4,Lloyd Doggett (D),N00006023,11500,Baron & Budd,0,11500,2012
5,Lloyd Doggett (D),N00006023,0,American Assn for Justice,10000,10000,2012
6,Lloyd Doggett (D),N00006023,0,American Federation of Teachers,10000,10000,2012
7,Lloyd Doggett (D),N00006023,0,Argentum,10000,10000,2012
8,Lloyd Doggett (D),N00006023,10000,Asuragen,0,10000,2012
9,Lloyd Doggett (D),N00006023,0,Carpenters & Joiners Union,10000,10000,2012
0,Lloyd Doggett (D),N00006023,0,Democratic Party of Texas,15100,15100,2014
1,Lloyd Doggett (D),N00006023,10400,Asuragen,0,10400,2014
2,Lloyd Doggett (D),N00006023,10200,Wentwood Capital Advisors,0,10200,2014
3,Lloyd Doggett (D),N00006023,0,American Assn for Justice,10000,10000,2014
4,Lloyd Doggett (D),N00006023,0,American Federation of Teachers,10000,10000,2014
5,Lloyd Doggett (D),N00006023,0,Carpenters & Joiners Union,10000,10000,2014
6,Lloyd Doggett (D),N00006023,0,Communications Workers of America,10000,10000,2014
7,Lloyd Doggett (D),N00006023,0,International Brotherhood of Electrical Workers,10000,10000,2014
8,Lloyd Doggett (D),N00006023,0,International Longshoremens Assn,10000,10000,2014
9,Lloyd Doggett (D),N00006023,0,Ironworkers Union,10000,10000,2014
0,Lloyd Doggett (D),N00006023,10800,Asuragen,0,10800,2016
1,Lloyd Doggett (D),N00006023,10800,Engineering Micro Research Inc,0,10800,2016
2,Lloyd Doggett (D),N00006023,10800,Wentwood Capital Advisors,0,10800,2016
3,Lloyd Doggett (D),N00006023,0,American Assn for Justice,10000,10000,2016
4,Lloyd Doggett (D),N00006023,0,American Federation of Teachers,10000,10000,2016
5,Lloyd Doggett (D),N00006023,0,Carpenters & Joiners Union,10000,10000,2016
6,Lloyd Doggett (D),N00006023,0,International Brotherhood of Electrical Workers,10000,10000,2016
7,Lloyd Doggett (D),N00006023,0,International Longshoremens Assn,10000,10000,2016
8,Lloyd Doggett (D),N00006023,0,Ironworkers Union,10000,10000,2016
9,Lloyd Doggett (D),N00006023,0,Laborers Union/Midwest Region,10000,10000,2016
