,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Mike D Rogers (R),N00024759,13700,Aerojet Rocketdyne,10000,23700,2018
1,Mike D Rogers (R),N00024759,12500,Harris Corp,10000,22500,2018
2,Mike D Rogers (R),N00024759,3250,Balch & Bingham,10000,13250,2018
3,Mike D Rogers (R),N00024759,3000,Alabama Power,10000,13000,2018
4,Mike D Rogers (R),N00024759,2700,General Dynamics,10000,12700,2018
5,Mike D Rogers (R),N00024759,10800,Conference America,0,10800,2018
6,Mike D Rogers (R),N00024759,10800,Jim Wilson & Assoc,0,10800,2018
7,Mike D Rogers (R),N00024759,10800,McWane Inc,0,10800,2018
8,Mike D Rogers (R),N00024759,0,AFLAC Inc,10000,10000,2018
9,Mike D Rogers (R),N00024759,0,Alabama Farmers Federation,10000,10000,2018
0,Lucille Roybal-Allard (D),N00006671,0,Parsons Corp,10000,10000,2010
1,Lucille Roybal-Allard (D),N00006671,0,Lockheed Martin,6500,6500,2010
2,Lucille Roybal-Allard (D),N00006671,5600,CAST Real Estate Holdings,0,5600,2010
3,Lucille Roybal-Allard (D),N00006671,5600,DEL Records,0,5600,2010
4,Lucille Roybal-Allard (D),N00006671,5600,Nih,0,5600,2010
5,Lucille Roybal-Allard (D),N00006671,0,American Crystal Sugar,5000,5000,2010
6,Lucille Roybal-Allard (D),N00006671,0,American Dental Assn,5000,5000,2010
7,Lucille Roybal-Allard (D),N00006671,0,American Federation of State/Cnty/Munic Employees,5000,5000,2010
8,Lucille Roybal-Allard (D),N00006671,0,American Federation of Teachers,5000,5000,2010
9,Lucille Roybal-Allard (D),N00006671,0,Carpenters & Joiners Union,5000,5000,2010
0,Lucille Roybal-Allard (D),N00006671,0,Communications Workers of America,10000,10000,2012
1,Lucille Roybal-Allard (D),N00006671,10000,Community Commerce Bank,0,10000,2012
2,Lucille Roybal-Allard (D),N00006671,0,Ironworkers Union,10000,10000,2012
3,Lucille Roybal-Allard (D),N00006671,10000,Jerry Epstein Management,0,10000,2012
4,Lucille Roybal-Allard (D),N00006671,0,National Beer Wholesalers Assn,10000,10000,2012
5,Lucille Roybal-Allard (D),N00006671,0,National Education Assn,10000,10000,2012
6,Lucille Roybal-Allard (D),N00006671,0,Teamsters Union,10000,10000,2012
7,Lucille Roybal-Allard (D),N00006671,10000,Telacu Industries,0,10000,2012
8,Lucille Roybal-Allard (D),N00006671,0,United Food & Commercial Workers Union,10000,10000,2012
9,Lucille Roybal-Allard (D),N00006671,0,National Assn of Realtors,9000,9000,2012
0,Lucille Roybal-Allard (D),N00006671,10400,Jerry B Epstein Management,0,10400,2014
1,Lucille Roybal-Allard (D),N00006671,0,American Crystal Sugar,10000,10000,2014
2,Lucille Roybal-Allard (D),N00006671,0,American Federation of Teachers,10000,10000,2014
3,Lucille Roybal-Allard (D),N00006671,0,Carpenters & Joiners Union,10000,10000,2014
4,Lucille Roybal-Allard (D),N00006671,0,Communications Workers of America,10000,10000,2014
5,Lucille Roybal-Allard (D),N00006671,0,International Brotherhood of Electrical Workers,10000,10000,2014
6,Lucille Roybal-Allard (D),N00006671,0,National Air Traffic Controllers Assn,10000,10000,2014
7,Lucille Roybal-Allard (D),N00006671,0,National Beer Wholesalers Assn,10000,10000,2014
8,Lucille Roybal-Allard (D),N00006671,0,Teamsters Union,10000,10000,2014
9,Lucille Roybal-Allard (D),N00006671,0,United Food & Commercial Workers Union,10000,10000,2014
0,Lucille Roybal-Allard (D),N00006671,3500,Capital Group Companies,7500,11000,2016
1,Lucille Roybal-Allard (D),N00006671,10600,Jerry B Epstein Management,0,10600,2016
2,Lucille Roybal-Allard (D),N00006671,0,American Federation of Teachers,10000,10000,2016
3,Lucille Roybal-Allard (D),N00006671,0,Border Health,10000,10000,2016
4,Lucille Roybal-Allard (D),N00006671,0,Communications Workers of America,10000,10000,2016
5,Lucille Roybal-Allard (D),N00006671,0,International Brotherhood of Electrical Workers,10000,10000,2016
6,Lucille Roybal-Allard (D),N00006671,0,Ironworkers Union,10000,10000,2016
7,Lucille Roybal-Allard (D),N00006671,0,National Education Assn,10000,10000,2016
8,Lucille Roybal-Allard (D),N00006671,0,Operating Engineers Local 12,10000,10000,2016
9,Lucille Roybal-Allard (D),N00006671,0,Parsons Corp,10000,10000,2016
