,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Adam Kinzinger (R),N00030667,18300,Exelon Corp,10000,28300,2016
1,Adam Kinzinger (R),N00030667,16200,Kirkland & Ellis,0,16200,2016
2,Adam Kinzinger (R),N00030667,11250,State Farm Insurance,0,11250,2016
3,Adam Kinzinger (R),N00030667,10800,Road Ranger LLC,0,10800,2016
4,Adam Kinzinger (R),N00030667,10800,Supplycore Inc,0,10800,2016
5,Adam Kinzinger (R),N00030667,500,Boeing Co,10000,10500,2016
6,Adam Kinzinger (R),N00030667,500,NCTA The Internet & Television Assn,10000,10500,2016
7,Adam Kinzinger (R),N00030667,250,Caterpillar Inc,10000,10250,2016
8,Adam Kinzinger (R),N00030667,250,General Electric,10000,10250,2016
9,Adam Kinzinger (R),N00030667,0,Air Line Pilots Assn,10000,10000,2016
0,Adam Kinzinger (R),N00030667,10000,NCTA The Internet & Television Assn,10000,20000,2018
1,Adam Kinzinger (R),N00030667,6400,Exelon Corp,10000,16400,2018
2,Adam Kinzinger (R),N00030667,14000,Rockford Anesthesiology Assoc,0,14000,2018
3,Adam Kinzinger (R),N00030667,2000,DowDuPont,10000,12000,2018
4,Adam Kinzinger (R),N00030667,10800,Duchossois Group,0,10800,2018
5,Adam Kinzinger (R),N00030667,500,AT&T Inc,10000,10500,2018
6,Adam Kinzinger (R),N00030667,3500,National Assn of Home Builders,7000,10500,2018
7,Adam Kinzinger (R),N00030667,0,AECOM US,10000,10000,2018
8,Adam Kinzinger (R),N00030667,0,Air Line Pilots Assn,10000,10000,2018
9,Adam Kinzinger (R),N00030667,0,Ameren Corp,10000,10000,2018
0,Douglas L Lamborn (R),N00028133,0,L3Harris Technologies,12500,12500,2010
1,Douglas L Lamborn (R),N00028133,0,Honeywell International,10000,10000,2010
2,Douglas L Lamborn (R),N00028133,0,Lockheed Martin,8000,8000,2010
3,Douglas L Lamborn (R),N00028133,0,Boeing Co,6000,6000,2010
4,Douglas L Lamborn (R),N00028133,0,Northrop Grumman,6000,6000,2010
5,Douglas L Lamborn (R),N00028133,0,Raytheon Co,6000,6000,2010
6,Douglas L Lamborn (R),N00028133,0,Sierra Nevada Corp,5500,5500,2010
7,Douglas L Lamborn (R),N00028133,0,T-Mobile USA,5500,5500,2010
8,Douglas L Lamborn (R),N00028133,5000,Total Military Management,0,5000,2010
9,Douglas L Lamborn (R),N00028133,0,American Society of Anesthesiologists,3500,3500,2010
0,Douglas L Lamborn (R),N00028133,7500,IDT Corp,5000,12500,2012
1,Douglas L Lamborn (R),N00028133,500,Honeywell International,10000,10500,2012
2,Douglas L Lamborn (R),N00028133,0,American Crystal Sugar,10000,10000,2012
3,Douglas L Lamborn (R),N00028133,10000,Bogosian & Co,0,10000,2012
4,Douglas L Lamborn (R),N00028133,0,Every Republican is Crucial PAC,10000,10000,2012
5,Douglas L Lamborn (R),N00028133,0,Koch Industries,10000,10000,2012
6,Douglas L Lamborn (R),N00028133,0,Lockheed Martin,10000,10000,2012
7,Douglas L Lamborn (R),N00028133,0,National Auto Dealers Assn,10000,10000,2012
8,Douglas L Lamborn (R),N00028133,0,Northrop Grumman,10000,10000,2012
9,Douglas L Lamborn (R),N00028133,0,Solers Inc,10000,10000,2012
0,Douglas L Lamborn (R),N00028133,12600,Duty Free Americas,0,12600,2014
1,Douglas L Lamborn (R),N00028133,10400,Anschutz Corp,0,10400,2014
2,Douglas L Lamborn (R),N00028133,10400,Bogosian & Co,0,10400,2014
3,Douglas L Lamborn (R),N00028133,0,Honeywell International,10000,10000,2014
4,Douglas L Lamborn (R),N00028133,0,Koch Industries,10000,10000,2014
5,Douglas L Lamborn (R),N00028133,0,Lockheed Martin,10000,10000,2014
6,Douglas L Lamborn (R),N00028133,0,National Auto Dealers Assn,10000,10000,2014
7,Douglas L Lamborn (R),N00028133,0,Northrop Grumman,10000,10000,2014
8,Douglas L Lamborn (R),N00028133,0,Serco Inc,8000,8000,2014
9,Douglas L Lamborn (R),N00028133,5953,"Brownstein, Hyatt et al",2000,7953,2014
