,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Mark Desaulnier (D),N00030709,10400,Reynolds & Brown,0,10400,2014
1,Mark Desaulnier (D),N00030709,0,American Assn for Justice,10000,10000,2014
2,Mark Desaulnier (D),N00030709,0,American Crystal Sugar,10000,10000,2014
3,Mark Desaulnier (D),N00030709,0,American Federation of State/Cnty/Munic Employees,10000,10000,2014
4,Mark Desaulnier (D),N00030709,0,American Federation of Teachers,10000,10000,2014
5,Mark Desaulnier (D),N00030709,0,Boilermakers Union,10000,10000,2014
6,Mark Desaulnier (D),N00030709,0,Carpenters & Joiners Union,10000,10000,2014
7,Mark Desaulnier (D),N00030709,0,International Assn of Fire Fighters,10000,10000,2014
8,Mark Desaulnier (D),N00030709,0,International Brotherhood of Electrical Workers,10000,10000,2014
9,Mark Desaulnier (D),N00030709,0,Machinists/Aerospace Workers Union,10000,10000,2014
0,Mark Desaulnier (D),N00030709,14900,Mackenzie Capital Management,0,14900,2016
1,Mark Desaulnier (D),N00030709,10800,Reynolds & Brown,0,10800,2016
2,Mark Desaulnier (D),N00030709,10600,R&L Brosamer,0,10600,2016
3,Mark Desaulnier (D),N00030709,0,American Crystal Sugar,10000,10000,2016
4,Mark Desaulnier (D),N00030709,0,American Federation of Teachers,10000,10000,2016
5,Mark Desaulnier (D),N00030709,0,Boilermakers Union,10000,10000,2016
6,Mark Desaulnier (D),N00030709,0,Carpenters & Joiners Union,10000,10000,2016
7,Mark Desaulnier (D),N00030709,0,International Brotherhood of Electrical Workers,10000,10000,2016
8,Mark Desaulnier (D),N00030709,0,Machinists/Aerospace Workers Union,10000,10000,2016
9,Mark Desaulnier (D),N00030709,0,National Education Assn,10000,10000,2016
0,Mark Desaulnier (D),N00030709,0,Boilermakers Union,10000,10000,2018
1,Mark Desaulnier (D),N00030709,0,Carpenters & Joiners Union,10000,10000,2018
2,Mark Desaulnier (D),N00030709,0,International Brotherhood of Electrical Workers,10000,10000,2018
3,Mark Desaulnier (D),N00030709,0,Machinists/Aerospace Workers Union,10000,10000,2018
4,Mark Desaulnier (D),N00030709,0,National Education Assn,10000,10000,2018
5,Mark Desaulnier (D),N00030709,0,Painters & Allied Trades Union,10000,10000,2018
6,Mark Desaulnier (D),N00030709,0,Teamsters Union,10000,10000,2018
7,Mark Desaulnier (D),N00030709,9100,Mackenzie Capital Management,0,9100,2018
8,Mark Desaulnier (D),N00030709,0,Enterprise Rent-A-Car,8500,8500,2018
9,Mark Desaulnier (D),N00030709,0,"Sheet Metal, Air, Rail & Transportation Union",8000,8000,2018
0,Pete Aguilar (D),N00033997,47905,JStreetPAC,5486,53391,2014
1,Pete Aguilar (D),N00033997,20620,League of Conservation Voters,9139,29759,2014
2,Pete Aguilar (D),N00033997,12225,Democratic Congressional Campaign Cmte,9992,22217,2014
3,Pete Aguilar (D),N00033997,17600,San Manuel Band of Mission Indians,0,17600,2014
4,Pete Aguilar (D),N00033997,0,United Parcel Service,15000,15000,2014
5,Pete Aguilar (D),N00033997,13700,Matich Corp,0,13700,2014
6,Pete Aguilar (D),N00033997,13450,Latham & Watkins,0,13450,2014
7,Pete Aguilar (D),N00033997,3000,Credit Union National Assn,10000,13000,2014
8,Pete Aguilar (D),N00033997,12900,ESRI,0,12900,2014
9,Pete Aguilar (D),N00033997,2600,Democrats Win Seats PAC,10000,12600,2014
0,Pete Aguilar (D),N00033997,30250,JStreetPAC,0,30250,2016
1,Pete Aguilar (D),N00033997,9350,League of Conservation Voters,9998,19348,2016
2,Pete Aguilar (D),N00033997,4700,New Democrat Coalition,10000,14700,2016
3,Pete Aguilar (D),N00033997,13130,Esri,0,13130,2016
4,Pete Aguilar (D),N00033997,2650,SchoolsFirst Federal Credit Union,10000,12650,2016
5,Pete Aguilar (D),N00033997,12000,Howard Industrial Partners,0,12000,2016
6,Pete Aguilar (D),N00033997,0,International Brotherhood of Electrical Workers,11000,11000,2016
7,Pete Aguilar (D),N00033997,10800,"Buchanan, Ingersoll & Rooney",0,10800,2016
8,Pete Aguilar (D),N00033997,10800,Rising Realty Partners,0,10800,2016
9,Pete Aguilar (D),N00033997,10800,Saban Capital Group,0,10800,2016
