,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Ben Ray Lujan (D),N00029562,32000,Votesane PAC,0,32000,2010
1,Ben Ray Lujan (D),N00029562,21750,National Assn of Broadcasters,5000,26750,2010
2,Ben Ray Lujan (D),N00029562,17850,"Akin, Gump et al",5000,22850,2010
3,Ben Ray Lujan (D),N00029562,16800,Centerbridge Partners,0,16800,2010
4,Ben Ray Lujan (D),N00029562,12200,Medquest Pharmacy,0,12200,2010
5,Ben Ray Lujan (D),N00029562,11200,Bad Robot Productions,0,11200,2010
6,Ben Ray Lujan (D),N00029562,11200,Bain Capital,0,11200,2010
7,Ben Ray Lujan (D),N00029562,11200,Brender Law Firm,0,11200,2010
8,Ben Ray Lujan (D),N00029562,11200,DISH Network,0,11200,2010
9,Ben Ray Lujan (D),N00029562,11200,Patagonia Inc,0,11200,2010
0,Ben R Lujan (D),N00029562,0,American Federation of Teachers,10000,10000,2012
1,Ben R Lujan (D),N00029562,0,Carpenters & Joiners Union,10000,10000,2012
2,Ben R Lujan (D),N00029562,0,Honeywell International,10000,10000,2012
3,Ben R Lujan (D),N00029562,0,International Brotherhood of Electrical Workers,10000,10000,2012
4,Ben R Lujan (D),N00029562,0,Ironworkers Union,10000,10000,2012
5,Ben R Lujan (D),N00029562,0,Laborers Union,10000,10000,2012
6,Ben R Lujan (D),N00029562,0,Machinists/Aerospace Workers Union,10000,10000,2012
7,Ben R Lujan (D),N00029562,0,National Auto Dealers Assn,10000,10000,2012
8,Ben R Lujan (D),N00029562,0,National Beer Wholesalers Assn,10000,10000,2012
9,Ben R Lujan (D),N00029562,0,New York Life Insurance,10000,10000,2012
0,Ben R Lujan (D),N00029562,14300,Votesane PAC,0,14300,2014
1,Ben R Lujan (D),N00029562,12500,L&F Distributors,0,12500,2014
2,Ben R Lujan (D),N00029562,1250,New York Life Insurance,10000,11250,2014
3,Ben R Lujan (D),N00029562,0,Air Line Pilots Assn,10000,10000,2014
4,Ben R Lujan (D),N00029562,0,American Crystal Sugar,10000,10000,2014
5,Ben R Lujan (D),N00029562,0,American Physical Therapy Assn,10000,10000,2014
6,Ben R Lujan (D),N00029562,0,AT&T Inc,10000,10000,2014
7,Ben R Lujan (D),N00029562,0,Carpenters & Joiners Union,10000,10000,2014
8,Ben R Lujan (D),N00029562,0,Comcast Corp,10000,10000,2014
9,Ben R Lujan (D),N00029562,0,Enterprise Rent-A-Car,10000,10000,2014
0,Ben R Lujan (D),N00029562,52050,Votesane PAC,0,52050,2016
1,Ben R Lujan (D),N00029562,5400,Google Inc,9500,14900,2016
2,Ben R Lujan (D),N00029562,7250,"Akin, Gump et al",4943,12193,2016
3,Ben R Lujan (D),N00029562,1500,Comcast Corp,10000,11500,2016
4,Ben R Lujan (D),N00029562,10800,Representative Irrigation Or Conservan,0,10800,2016
5,Ben R Lujan (D),N00029562,2000,National Assn of Broadcasters,8500,10500,2016
6,Ben R Lujan (D),N00029562,0,AES Corp,10000,10000,2016
7,Ben R Lujan (D),N00029562,0,Air Line Pilots Assn,10000,10000,2016
8,Ben R Lujan (D),N00029562,0,America's Communication Assn,10000,10000,2016
9,Ben R Lujan (D),N00029562,0,American Crystal Sugar,10000,10000,2016
0,Ben R Lujan (D),N00029562,12500,"Akin, Gump et al",7500,20000,2018
1,Ben R Lujan (D),N00029562,10800,L&F Distributors,0,10800,2018
2,Ben R Lujan (D),N00029562,500,Health Care Service Corp,10000,10500,2018
3,Ben R Lujan (D),N00029562,0,AFLAC Inc,10000,10000,2018
4,Ben R Lujan (D),N00029562,0,Air Line Pilots Assn,10000,10000,2018
5,Ben R Lujan (D),N00029562,0,America's Communication Assn,10000,10000,2018
6,Ben R Lujan (D),N00029562,0,American Assn for Justice,10000,10000,2018
7,Ben R Lujan (D),N00029562,0,American Crystal Sugar,10000,10000,2018
8,Ben R Lujan (D),N00029562,0,American Federation of State/Cnty/Munic Employees,10000,10000,2018
9,Ben R Lujan (D),N00029562,0,American Federation of Teachers,10000,10000,2018
