,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Ed Markey (D),N00000270,66439,WilmerHale Llp,0,66439,2010
1,Ed Markey (D),N00000270,33149,"Akin, Gump et al",750,33899,2010
2,Ed Markey (D),N00000270,33400,Granite Telecommunications,0,33400,2010
3,Ed Markey (D),N00000270,31050,Democracy Engine,0,31050,2010
4,Ed Markey (D),N00000270,30000,Blackstone Group,0,30000,2010
5,Ed Markey (D),N00000270,27039,Bain Capital,0,27039,2010
6,Ed Markey (D),N00000270,15900,DLA Piper,10000,25900,2010
7,Ed Markey (D),N00000270,25250,"Robbins, Geller et al",0,25250,2010
8,Ed Markey (D),N00000270,14200,DISH Network,10000,24200,2010
9,Ed Markey (D),N00000270,22965,"Mintz, Levin et al",0,22965,2010
0,Ed Markey (D),N00000270,19000,WilmerHale LLP,0,19000,2012
1,Ed Markey (D),N00000270,9000,DLA Piper,7500,16500,2012
2,Ed Markey (D),N00000270,2400,Fresenius Medical Care North America,10000,12400,2012
3,Ed Markey (D),N00000270,11750,Enernoc Inc,0,11750,2012
4,Ed Markey (D),N00000270,11300,Cassidy & Assoc,0,11300,2012
5,Ed Markey (D),N00000270,0,Holcim US,10500,10500,2012
6,Ed Markey (D),N00000270,10500,Partners HealthCare,0,10500,2012
7,Ed Markey (D),N00000270,0,American Assn for Justice,10000,10000,2012
8,Ed Markey (D),N00000270,0,Laborers Union,10000,10000,2012
9,Ed Markey (D),N00000270,0,National Assn of Realtors,10000,10000,2012
0,Ed Markey (D),N00000270,19000,WilmerHale LLP,0,19000,2012
1,Ed Markey (D),N00000270,9000,DLA Piper,7500,16500,2012
2,Ed Markey (D),N00000270,2400,Fresenius Medical Care North America,10000,12400,2012
3,Ed Markey (D),N00000270,11750,Enernoc Inc,0,11750,2012
4,Ed Markey (D),N00000270,11300,Cassidy & Assoc,0,11300,2012
5,Ed Markey (D),N00000270,0,Holcim US,10500,10500,2012
6,Ed Markey (D),N00000270,10500,Partners HealthCare,0,10500,2012
7,Ed Markey (D),N00000270,0,American Assn for Justice,10000,10000,2012
8,Ed Markey (D),N00000270,0,Laborers Union,10000,10000,2012
9,Ed Markey (D),N00000270,0,National Assn of Realtors,10000,10000,2012
0,Ed Markey (D),N00000270,198940,League of Conservation Voters,13481,212421,2014
1,Ed Markey (D),N00000270,79750,WilmerHale LLP,0,79750,2014
2,Ed Markey (D),N00000270,67000,Granite Telecommunications,0,67000,2014
3,Ed Markey (D),N00000270,64600,"Mintz, Levin et al",0,64600,2014
4,Ed Markey (D),N00000270,35500,DLA Piper,20000,55500,2014
5,Ed Markey (D),N00000270,50250,"Akin, Gump et al",3513,53763,2014
6,Ed Markey (D),N00000270,52000,Bain Capital,0,52000,2014
7,Ed Markey (D),N00000270,47750,Thornton Law Firm,0,47750,2014
8,Ed Markey (D),N00000270,0,Democratic Senatorial Campaign Cmte,45400,45400,2014
9,Ed Markey (D),N00000270,28200,Covington & Burling,10000,38200,2014
0,Doris O Matsui (D),N00027459,0,American Crystal Sugar,10000,10000,2010
1,Doris O Matsui (D),N00027459,0,America's Communication Assn,9000,9000,2010
2,Doris O Matsui (D),N00027459,6250,"Akin, Gump et al",2000,8250,2010
3,Doris O Matsui (D),N00027459,5500,Sac Soccer Entertainment & Holdings,0,5500,2010
4,Doris O Matsui (D),N00027459,5400,Odin,0,5400,2010
5,Doris O Matsui (D),N00027459,5400,Promontory Financial Group,0,5400,2010
6,Doris O Matsui (D),N00027459,5400,Thomas Law Group,0,5400,2010
7,Doris O Matsui (D),N00027459,250,PG&E Corp,5000,5250,2010
8,Doris O Matsui (D),N00027459,250,T-Mobile USA,5000,5250,2010
9,Doris O Matsui (D),N00027459,0,American Assn for Justice,5000,5000,2010
