,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Scott Perry (R),N00034120,91394,House Freedom Fund,10000,101394,2018
1,Scott Perry (R),N00034120,96817,Club for Growth,0,96817,2018
2,Scott Perry (R),N00034120,10350,Sutliff Chevrolet,0,10350,2018
3,Scott Perry (R),N00034120,0,Amazon.com,10000,10000,2018
4,Scott Perry (R),N00034120,0,Auto Care Assn,10000,10000,2018
5,Scott Perry (R),N00034120,0,Comcast Corp,10000,10000,2018
6,Scott Perry (R),N00034120,0,Exelon Corp,10000,10000,2018
7,Scott Perry (R),N00034120,0,Koch Industries,10000,10000,2018
8,Scott Perry (R),N00034120,0,Majority Cmte PAC,10000,10000,2018
9,Scott Perry (R),N00034120,0,National Assn of Home Builders,10000,10000,2018
0,Matt Cartwright (D),N00034128,29250,"Munley, Munley & Cartwright",0,29250,2012
1,Matt Cartwright (D),N00034128,11750,Foley Law Firm,0,11750,2012
2,Matt Cartwright (D),N00034128,1000,American Assn for Justice,10000,11000,2012
3,Matt Cartwright (D),N00034128,0,Amalgamated Transit Union,10000,10000,2012
4,Matt Cartwright (D),N00034128,0,American Federation of Teachers,10000,10000,2012
5,Matt Cartwright (D),N00034128,0,American Postal Workers Union,10000,10000,2012
6,Matt Cartwright (D),N00034128,0,International Assn of Fire Fighters,10000,10000,2012
7,Matt Cartwright (D),N00034128,0,International Brotherhood of Electrical Workers,10000,10000,2012
8,Matt Cartwright (D),N00034128,0,Laborers Union/Mid-Atlantic,10000,10000,2012
9,Matt Cartwright (D),N00034128,0,Machinists/Aerospace Workers Union,10000,10000,2012
0,Matt Cartwright (D),N00034128,14250,"Anapol, Schwartz et al",0,14250,2014
1,Matt Cartwright (D),N00034128,1000,Boeing Co,10000,11000,2014
2,Matt Cartwright (D),N00034128,750,American Assn for Justice,10000,10750,2014
3,Matt Cartwright (D),N00034128,500,Comcast Corp,10000,10500,2014
4,Matt Cartwright (D),N00034128,10300,O'Donnell Law Offices,0,10300,2014
5,Matt Cartwright (D),N00034128,0,American Federation of State/Cnty/Munic Employees,10000,10000,2014
6,Matt Cartwright (D),N00034128,0,Bricklayers Union,10000,10000,2014
7,Matt Cartwright (D),N00034128,0,Carpenters & Joiners Union,10000,10000,2014
8,Matt Cartwright (D),N00034128,0,Communications Workers Local 13000,10000,10000,2014
9,Matt Cartwright (D),N00034128,0,International Brotherhood of Electrical Workers,10000,10000,2014
0,Matt Cartwright (D),N00034128,11600,Medico Industries,0,11600,2016
1,Matt Cartwright (D),N00034128,10800,Nimeks Organics,0,10800,2016
2,Matt Cartwright (D),N00034128,10798,"Levin, Fishbein et al",0,10798,2016
3,Matt Cartwright (D),N00034128,0,American Assn for Justice,10000,10000,2016
4,Matt Cartwright (D),N00034128,0,American Federation of Teachers,10000,10000,2016
5,Matt Cartwright (D),N00034128,0,Boeing Co,10000,10000,2016
6,Matt Cartwright (D),N00034128,0,Border Health,10000,10000,2016
7,Matt Cartwright (D),N00034128,0,Carpenters & Joiners Union,10000,10000,2016
8,Matt Cartwright (D),N00034128,0,Comcast Corp,10000,10000,2016
9,Matt Cartwright (D),N00034128,0,Communications Workers Local 13000,10000,10000,2016
0,Matt Cartwright (D),N00034128,18800,Munley Law,0,18800,2018
1,Matt Cartwright (D),N00034128,15000,Lexus of the Lehigh Valley,0,15000,2018
2,Matt Cartwright (D),N00034128,12550,Anapol Weiss,0,12550,2018
3,Matt Cartwright (D),N00034128,2500,Boeing Co,10000,12500,2018
4,Matt Cartwright (D),N00034128,12400,Liberty Truck Center,0,12400,2018
5,Matt Cartwright (D),N00034128,10800,Ej Leizerman & Assoc,0,10800,2018
6,Matt Cartwright (D),N00034128,10800,Fried Rogers Goldberg,0,10800,2018
7,Matt Cartwright (D),N00034128,10800,Metier Law Firm,0,10800,2018
8,Matt Cartwright (D),N00034128,10800,Milestone Consulting,0,10800,2018
9,Matt Cartwright (D),N00034128,10800,O'Donnell Law Offices,0,10800,2018
